source,target,temporal_weight
belamaulidiah,esemm0212,10
kelvin.shagufta7,laksitaanggi_,11
belamaulidiah,kelvin.shagufta7,9
kelvin.shagufta7,miraakhumaida,11
kelvin.shagufta7,mukar___,3
belamaulidiah,laksitaanggi_,14
all_aboutvi,belamaulidiah,11
belamaulidiah,miraakhumaida,15
belamaulidiah,mukar___,10
salsabila_shanaya,user2688061358768,2
__bynrr,hillan_ra,2
ajie.wardhana,pipolilw,2
pipolilw,tyeline2,2
i.frdaaa,pipolilw,2
nurhikmah_ar,vidiaayuuu,2
irmhawati906,sulistian_1,2
belamaulidiah,sulistian_1,14
sulistian_1,zelinurrafinsia,8
sulistian_1,vidiaayuuu,12
riscana,sulistian_1,9
irmhawati906,vidiaayuuu,2
belamaulidiah,kenapakepo88,7
kenapakepo88,zelinurrafinsia,5
kenapakepo88,vidiaayuuu,8
kenapakepo88,riscana,5
dira0556,kenapakepo88,6
i.frdaaa,kenapakepo88,8
belamaulidiah,zelinurrafinsia,10
belamaulidiah,vidiaayuuu,13
belamaulidiah,riscana,8
belamaulidiah,nindhie82,9
belamaulidiah,dira0556,13
belamaulidiah,i.frdaaa,10
belamaulidiah,dlameyy,13
riscana,zelinurrafinsia,7
nindhie82,zelinurrafinsia,5
dira0556,zelinurrafinsia,6
i.frdaaa,zelinurrafinsia,8
dlameyy,zelinurrafinsia,8
riscana,vidiaayuuu,12
nindhie82,vidiaayuuu,9
dira0556,vidiaayuuu,8
shalwa_nisya,vidiaayuuu,2
sukarti713,vidiaayuuu,2
dlameyy,vidiaayuuu,11
nindhie82,riscana,5
dira0556,riscana,6
i.frdaaa,riscana,9
dlameyy,riscana,9
dira0556,nindhie82,6
i.frdaaa,nindhie82,6
dira0556,sulistian_1,14
dira0556,i.frdaaa,10
dira0556,dlameyy,12
dira0556,mukar___,3
i.frdaaa,sulistian_1,13
dlameyy,sulistian_1,19
mukar___,sulistian_1,5
i.frdaaa,shalwa_nisya,2
i.frdaaa,sukarti713,2
dlameyy,i.frdaaa,13
i.frdaaa,mukar___,5
dlameyy,shalwa_nisya,2
dlameyy,sukarti713,2
dlameyy,mukar___,6
dlameyy,heiakubakul,2
dlameyy,jenkalin09,2
ayuasnidar271,bolonemasehongkong2,2
keashp,nabellaolivia,2
dwe.sharah,rismawati08081,2
