mass_network_position,n_pairs,n_community_accounts,n_mass_accounts,total_final_weight,mean_final_weight
LCN Non-HCC,25602,218,506,3836.125,0.14983692680259356
Outside LCN,432026,218,26798,54664.53571428572,0.12653066184508738
