model_id,seed,family,feature_kind,classifier_kind,class_weight_policy,calibration_method,threshold_selection_status,positive_threshold,margin_positive_neutral,margin_positive_negative,abstention_threshold,accuracy,macro_f1,weighted_f1,balanced_accuracy,mcc,coverage,abstention_rate,class_collapse,minimum_recall,positive_precision,positive_recall,positive_f1,neutral_recall,negative_recall,positive_to_neutral,positive_to_negative,positive_to_uncertain,neutral_to_positive,negative_to_positive,all_evaluable_accuracy_abstain_wrong,negative_precision,negative_f1,negative_support,neutral_precision,neutral_f1,neutral_support,positive_support,all_ece,all_brier_score,all_mean_confidence,covered_ece,covered_brier_score,covered_mean_confidence
char_wb_3_6_linearsvc_balanced,42,TF-IDF character n-gram + LinearSVC,char,linearsvc,balanced,decision_softmax,SAFETY_CONSTRAINTS_ONLY,0.3,0.05,0.05,0.4,0.7454545454545455,0.7057468448508356,0.7437363912207304,0.6993808891783385,0.5655962541236823,0.9065934065934066,0.09340659340659341,False,0.6236559139784946,0.6904761904761905,0.6236559139784946,0.655367231638418,0.8388278388278388,0.6356589147286822,19,16,20,14,12,0.6758241758241759,0.640625,0.6381322957198443,129,0.8091872791519434,0.8237410071942446,273,93,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.17082124694684792,0.42203847134659256,0.5705928944672936
char_wb_3_6_linearsvc_balanced,52,TF-IDF character n-gram + LinearSVC,char,linearsvc,balanced,decision_softmax,SAFETY_CONSTRAINTS_ONLY,0.3,0.05,0.05,0.4,0.7454545454545455,0.7057468448508356,0.7437363912207304,0.6993808891783385,0.5655962541236823,0.9065934065934066,0.09340659340659341,False,0.6236559139784946,0.6904761904761905,0.6236559139784946,0.655367231638418,0.8388278388278388,0.6356589147286822,19,16,20,14,12,0.6758241758241759,0.640625,0.6381322957198443,129,0.8091872791519434,0.8237410071942446,273,93,0.15467168231422274,0.4416548877002078,0.5522880246454842,0.17082109065637274,0.42203840624258443,0.5705930507577688
char_wb_3_6_linearsvc_balanced,62,TF-IDF character n-gram + LinearSVC,char,linearsvc,balanced,decision_softmax,SAFETY_CONSTRAINTS_ONLY,0.3,0.05,0.05,0.4,0.7454545454545455,0.7057468448508356,0.7437363912207304,0.6993808891783385,0.5655962541236823,0.9065934065934066,0.09340659340659341,False,0.6236559139784946,0.6904761904761905,0.6236559139784946,0.655367231638418,0.8388278388278388,0.6356589147286822,19,16,20,14,12,0.6758241758241759,0.640625,0.6381322957198443,129,0.8091872791519434,0.8237410071942446,273,93,0.15467180431170688,0.44165499892168003,0.5522879026480001,0.1708212260199735,0.42203852824441873,0.5705929153941679
char_wb_3_6_linearsvc_balanced,72,TF-IDF character n-gram + LinearSVC,char,linearsvc,balanced,decision_softmax,SAFETY_CONSTRAINTS_ONLY,0.3,0.05,0.05,0.4,0.7454545454545455,0.7057468448508356,0.7437363912207304,0.6993808891783385,0.5655962541236823,0.9065934065934066,0.09340659340659341,False,0.6236559139784946,0.6904761904761905,0.6236559139784946,0.655367231638418,0.8388278388278388,0.6356589147286822,19,16,20,14,12,0.6758241758241759,0.640625,0.6381322957198443,129,0.8091872791519434,0.8237410071942446,273,93,0.15467172888013728,0.44165481071938245,0.5522879780795696,0.17082113665460041,0.42203832769600463,0.570593004759541
char_wb_3_6_linearsvc_balanced,82,TF-IDF character n-gram + LinearSVC,char,linearsvc,balanced,decision_softmax,SAFETY_CONSTRAINTS_ONLY,0.3,0.05,0.05,0.4,0.7454545454545455,0.7057468448508356,0.7437363912207304,0.6993808891783385,0.5655962541236823,0.9065934065934066,0.09340659340659341,False,0.6236559139784946,0.6904761904761905,0.6236559139784946,0.655367231638418,0.8388278388278388,0.6356589147286822,19,16,20,14,12,0.6758241758241759,0.640625,0.6381322957198443,129,0.8091872791519434,0.8237410071942446,273,93,0.15467176326746437,0.44165497433051165,0.5522879436922427,0.1708211890787698,0.42203850405231236,0.5705929523353717
word_1_2_linearsvc_balanced,42,TF-IDF word n-gram + LinearSVC,word,linearsvc,balanced,decision_softmax,NO_THRESHOLD_POLICY_MET_SAFETY_CONSTRAINTS,0.45,-0.05,-0.05,0.5,0.8115942028985508,0.7584587905525203,0.8101835424819003,0.755072463768116,0.6598743797991277,0.6318681318681318,0.36813186813186816,False,0.6666666666666666,0.6885245901639344,0.7,0.6942148760330579,0.8985507246376812,0.6666666666666666,11,7,53,8,11,0.5128205128205128,0.7222222222222222,0.6933333333333334,78,0.8773584905660378,0.8878281622911695,207,60,0.12041799393369212,0.459699243565024,0.5535539677082818,0.18419053212967745,0.35741118432346325,0.6274036707688733
word_1_2_linearsvc_balanced,52,TF-IDF word n-gram + LinearSVC,word,linearsvc,balanced,decision_softmax,NO_THRESHOLD_POLICY_MET_SAFETY_CONSTRAINTS,0.45,-0.05,-0.05,0.5,0.8115942028985508,0.7584587905525203,0.8101835424819003,0.755072463768116,0.6598743797991277,0.6318681318681318,0.36813186813186816,False,0.6666666666666666,0.6885245901639344,0.7,0.6942148760330579,0.8985507246376812,0.6666666666666666,11,7,53,8,11,0.5128205128205128,0.7222222222222222,0.6933333333333334,78,0.8773584905660378,0.8878281622911695,207,60,0.12041782152816058,0.4596990928543135,0.553554136694116,0.1841903109402213,0.35741097501946156,0.6274038919583294
word_1_2_linearsvc_balanced,62,TF-IDF word n-gram + LinearSVC,word,linearsvc,balanced,decision_softmax,NO_THRESHOLD_POLICY_MET_SAFETY_CONSTRAINTS,0.45,-0.05,-0.05,0.5,0.8115942028985508,0.7584587905525203,0.8101835424819003,0.755072463768116,0.6598743797991277,0.6318681318681318,0.36813186813186816,False,0.6666666666666666,0.6885245901639344,0.7,0.6942148760330579,0.8985507246376812,0.6666666666666666,11,7,53,8,11,0.5128205128205128,0.7222222222222222,0.6933333333333334,78,0.8773584905660378,0.8878281622911695,207,60,0.12041792559870991,0.4596992678144705,0.5535540149360867,0.1841903910912551,0.35741110354612415,0.6274038118072957
word_1_2_linearsvc_balanced,72,TF-IDF word n-gram + LinearSVC,word,linearsvc,balanced,decision_softmax,NO_THRESHOLD_POLICY_MET_SAFETY_CONSTRAINTS,0.45,-0.05,-0.05,0.5,0.8115942028985508,0.7584587905525203,0.8101835424819003,0.755072463768116,0.6598743797991277,0.6318681318681318,0.36813186813186816,False,0.6666666666666666,0.6885245901639344,0.7,0.6942148760330579,0.8985507246376812,0.6666666666666666,11,7,53,8,11,0.5128205128205128,0.7222222222222222,0.6933333333333334,78,0.8773584905660378,0.8878281622911695,207,60,0.12041791790420507,0.4596992665600208,0.5535540118561249,0.18419042456724466,0.3574111231993497,0.6274037783313061
word_1_2_linearsvc_balanced,82,TF-IDF word n-gram + LinearSVC,word,linearsvc,balanced,decision_softmax,NO_THRESHOLD_POLICY_MET_SAFETY_CONSTRAINTS,0.45,-0.05,-0.05,0.5,0.8115942028985508,0.7584587905525203,0.8101835424819003,0.755072463768116,0.6598743797991277,0.6318681318681318,0.36813186813186816,False,0.6666666666666666,0.6885245901639344,0.7,0.6942148760330579,0.8985507246376812,0.6666666666666666,11,7,53,8,11,0.5128205128205128,0.7222222222222222,0.6933333333333334,78,0.8773584905660378,0.8878281622911695,207,60,0.12041782406527195,0.45969914269810347,0.553554103905343,0.1841902570074399,0.35741097824256296,0.6274039458911108
