model_id,family,feature_kind,classifier_kind,class_weight_policy,calibration_method,n_seeds,mean_accuracy,median_accuracy,min_accuracy,std_accuracy,mean_macro_f1,median_macro_f1,min_macro_f1,std_macro_f1,mean_weighted_f1,median_weighted_f1,min_weighted_f1,std_weighted_f1,mean_balanced_accuracy,median_balanced_accuracy,min_balanced_accuracy,std_balanced_accuracy,mean_mcc,median_mcc,min_mcc,std_mcc,mean_coverage,median_coverage,min_coverage,std_coverage,mean_positive_precision,median_positive_precision,min_positive_precision,std_positive_precision,mean_positive_recall,median_positive_recall,min_positive_recall,std_positive_recall,mean_positive_f1,median_positive_f1,min_positive_f1,std_positive_f1,mean_neutral_recall,median_neutral_recall,min_neutral_recall,std_neutral_recall,mean_negative_recall,median_negative_recall,min_negative_recall,std_negative_recall,mean_minimum_recall,median_minimum_recall,min_minimum_recall,std_minimum_recall,mean_all_ece,median_all_ece,min_all_ece,std_all_ece,mean_all_brier_score,median_all_brier_score,min_all_brier_score,std_all_brier_score,n_class_collapse_seeds,stability_gate_passed,selection_safety_passed,selected_for_ensemble_basis,selected_for_freeze,mean_abstention_rate,mean_class_collapse,mean_positive_to_neutral,mean_positive_to_negative,mean_positive_to_uncertain,mean_neutral_to_positive,mean_negative_to_positive,mean_all_evaluable_accuracy_abstain_wrong,mean_negative_precision,mean_negative_f1,mean_negative_support,mean_neutral_precision,mean_neutral_f1,mean_neutral_support,mean_positive_support,mean_all_mean_confidence,mean_covered_ece,mean_covered_brier_score,mean_covered_mean_confidence,median_abstention_rate,median_class_collapse,median_positive_to_neutral,median_positive_to_negative,median_positive_to_uncertain,median_neutral_to_positive,median_negative_to_positive,median_all_evaluable_accuracy_abstain_wrong,median_negative_precision,median_negative_f1,median_negative_support,median_neutral_precision,median_neutral_f1,median_neutral_support,median_positive_support,median_all_mean_confidence,median_covered_ece,median_covered_brier_score,median_covered_mean_confidence,min_abstention_rate,min_class_collapse,min_positive_to_neutral,min_positive_to_negative,min_positive_to_uncertain,min_neutral_to_positive,min_negative_to_positive,min_all_evaluable_accuracy_abstain_wrong,min_negative_precision,min_negative_f1,min_negative_support,min_neutral_precision,min_neutral_f1,min_neutral_support,min_positive_support,min_all_mean_confidence,min_covered_ece,min_covered_brier_score,min_covered_mean_confidence,selection_notes
char_3_5_linearsvc_balanced,TF-IDF character n-gram + LinearSVC,char,linearsvc,balanced,decision_softmax,5,0.7629482071713147,0.7629482071713147,0.7629482071713147,0.0,0.7193751574703956,0.7193751574703956,0.7193751574703956,0.0,0.7573834668883046,0.7573834668883046,0.7573834668883046,0.0,0.7075659080189488,0.7075659080189488,0.7075659080189488,0.0,0.5985452244478761,0.5985452244478761,0.5985452244478761,0.0,0.9194139194139194,0.9194139194139194,0.9194139194139194,0.0,0.7111111111111111,0.7111111111111111,0.7111111111111111,0.0,0.6274509803921569,0.6274509803921569,0.6274509803921569,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.8921933085501859,0.8921933085501859,0.8921933085501859,0.0,0.6030534351145038,0.6030534351145038,0.6030534351145038,0.0,0.6030534351145038,0.6030534351145038,0.6030534351145038,0.0,0.2190504401205696,0.2190505006390211,0.21905008973931928,1.782470321768832e-07,0.4510194390502633,0.45101951263707335,0.45101915883988297,1.421073278934069e-07,0.0,True,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
char_wb_3_6_linearsvc_balanced,TF-IDF character n-gram + LinearSVC,char,linearsvc,balanced,decision_softmax,5,0.7454545454545455,0.7454545454545455,0.7454545454545455,0.0,0.7057468448508356,0.7057468448508356,0.7057468448508356,0.0,0.7437363912207304,0.7437363912207304,0.7437363912207304,0.0,0.6993808891783385,0.6993808891783385,0.6993808891783385,0.0,0.5655962541236823,0.5655962541236823,0.5655962541236823,0.0,0.9065934065934066,0.9065934065934066,0.9065934065934066,0.0,0.6904761904761905,0.6904761904761905,0.6904761904761905,0.0,0.6236559139784946,0.6236559139784946,0.6236559139784946,0.0,0.655367231638418,0.655367231638418,0.655367231638418,0.0,0.8388278388278388,0.8388278388278388,0.8388278388278388,0.0,0.6356589147286822,0.6356589147286822,0.6356589147286822,0.0,0.6236559139784946,0.6236559139784946,0.6236559139784946,0.0,0.15467176069013458,0.15467176326746437,0.15467168231422274,5.13000599604679e-08,0.44165492518301763,0.44165495424330586,0.44165481071938245,6.812378683888084e-08,0.0,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
char_wb_3_6_linearsvc_inverse_frequency,TF-IDF character n-gram + LinearSVC,char,linearsvc,inverse_frequency,decision_softmax,5,0.7454545454545455,0.7454545454545455,0.7454545454545455,0.0,0.7057468448508356,0.7057468448508356,0.7057468448508356,0.0,0.7437363912207304,0.7437363912207304,0.7437363912207304,0.0,0.6993808891783385,0.6993808891783385,0.6993808891783385,0.0,0.5655962541236823,0.5655962541236823,0.5655962541236823,0.0,0.9065934065934066,0.9065934065934066,0.9065934065934066,0.0,0.6904761904761905,0.6904761904761905,0.6904761904761905,0.0,0.6236559139784946,0.6236559139784946,0.6236559139784946,0.0,0.655367231638418,0.655367231638418,0.655367231638418,0.0,0.8388278388278388,0.8388278388278388,0.8388278388278388,0.0,0.6356589147286822,0.6356589147286822,0.6356589147286822,0.0,0.6236559139784946,0.6236559139784946,0.6236559139784946,0.0,0.15467176069013458,0.15467176326746437,0.15467168231422274,5.13000599604679e-08,0.44165492518301763,0.44165495424330586,0.44165481071938245,6.812378683888084e-08,0.0,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word_char_calibrated_isotonic_balanced,calibrated LinearSVC,word_char,calibrated_linearsvc,balanced,isotonic,5,0.75,0.75,0.75,0.0,0.7036052009456265,0.7036052009456265,0.7036052009456265,0.0,0.7443090825897964,0.7443090825897964,0.7443090825897964,0.0,0.6921781716417911,0.6921781716417911,0.6921781716417911,0.0,0.5742530648086671,0.5742530648086671,0.5742530648086671,0.0,0.9084249084249084,0.9084249084249084,0.9084249084249084,0.0,0.6931818181818182,0.6931818181818182,0.6931818181818182,0.0,0.61,0.61,0.61,0.0,0.648936170212766,0.648936170212766,0.648936170212766,0.0,0.8805970149253731,0.8805970149253731,0.8805970149253731,0.0,0.5859375,0.5859375,0.5859375,0.0,0.5859375,0.5859375,0.5859375,0.0,0.061703252692132074,0.06170331233939957,0.061703054930752496,1.5498008307440598e-07,0.4060383284410903,0.4060383526399458,0.40603805467664694,1.924209983602251e-07,0.0,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word_char_calibrated_sigmoid_manual_moderate_1,calibrated LinearSVC,word_char,calibrated_linearsvc,manual_moderate_1,sigmoid,5,0.7505070993914807,0.7505070993914807,0.7505070993914807,0.0,0.7021888680425264,0.7021888680425264,0.7021888680425264,0.0,0.7426865421720217,0.7426865421720217,0.7426865421720217,0.0,0.6858407960199004,0.6858407960199004,0.6858407960199004,0.0,0.5711313173065189,0.5711313173065189,0.5711313173065189,0.0,0.9029304029304029,0.9029304029304029,0.9029304029304029,0.0,0.7439024390243902,0.7439024390243902,0.7439024390243902,0.0,0.61,0.61,0.61,0.0,0.6703296703296703,0.6703296703296703,0.6703296703296703,0.0,0.8955223880597016,0.8955223880597015,0.8955223880597015,1.1102230246251565e-16,0.552,0.552,0.552,0.0,0.552,0.552,0.552,0.0,0.10849873161575425,0.1084987296873402,0.10849872116191195,1.0344617625458602e-08,0.4136000346869553,0.41360003160091574,0.41360001935533874,1.3744660919789387e-08,0.0,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word_char_calibrated_sigmoid_balanced,calibrated LinearSVC,word_char,calibrated_linearsvc,balanced,sigmoid,5,0.7484909456740443,0.7484909456740443,0.7484909456740443,0.0,0.7011494252873564,0.7011494252873564,0.7011494252873564,0.0,0.7417262193852772,0.7417262193852772,0.7417262193852772,0.0,0.688729034921055,0.688729034921055,0.688729034921055,0.0,0.5672791800399144,0.5672791800399144,0.5672791800399144,0.0,0.9102564102564102,0.9102564102564102,0.9102564102564102,0.0,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.0,0.6326530612244898,0.6326530612244898,0.6326530612244898,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.8823529411764707,0.8823529411764706,0.8823529411764706,1.1102230246251565e-16,0.5511811023622047,0.5511811023622047,0.5511811023622047,0.0,0.5511811023622047,0.5511811023622047,0.5511811023622047,0.0,0.10714408910093483,0.10714409460383562,0.10714407282876984,1.1363520220048528e-08,0.41310898384109096,0.4131089947317547,0.4131089612922438,1.7695766551371256e-08,0.0,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word_char_linearsvc_manual_moderate_2,TF-IDF word-character FeatureUnion + LinearSVC,word_char,linearsvc,manual_moderate_2,decision_softmax,5,0.7469635627530364,0.7469635627530364,0.7469635627530364,0.0,0.7006474879508057,0.7006474879508057,0.7006474879508057,0.0,0.7413053238915026,0.7413053238915026,0.7413053238915026,0.0,0.6863074866659308,0.6863074866659308,0.6863074866659308,0.0,0.5670294966164475,0.5670294966164475,0.5670294966164475,0.0,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.0,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.0,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.0,0.6440677966101694,0.6440677966101694,0.6440677966101694,0.0,0.8768656716417912,0.8768656716417911,0.8768656716417911,1.1102230246251565e-16,0.6062992125984252,0.6062992125984252,0.6062992125984252,0.0,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.0,0.14106444387242525,0.14106445113733815,0.14106438679790673,3.3988751942873015e-08,0.4266393553395754,0.4266393715036058,0.4266392876601241,3.39326862173422e-08,0.0,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
char_wb_3_6_linearsvc_manual_moderate_2,TF-IDF character n-gram + LinearSVC,char,linearsvc,manual_moderate_2,decision_softmax,5,0.744421906693712,0.744421906693712,0.744421906693712,0.0,0.6988622251780147,0.6988622251780147,0.6988622251780147,0.0,0.739398770785554,0.739398770785554,0.739398770785554,0.0,0.6871937799510048,0.6871937799510048,0.6871937799510048,0.0,0.5592279431724394,0.5592279431724394,0.5592279431724394,0.0,0.9029304029304029,0.9029304029304029,0.9029304029304029,0.0,0.6896551724137931,0.6896551724137931,0.6896551724137931,0.0,0.6122448979591837,0.6122448979591837,0.6122448979591837,0.0,0.6486486486486487,0.6486486486486487,0.6486486486486487,0.0,0.8639705882352942,0.8639705882352942,0.8639705882352942,0.0,0.5853658536585366,0.5853658536585366,0.5853658536585366,0.0,0.5853658536585366,0.5853658536585366,0.5853658536585366,0.0,0.14731486022021206,0.1473148830272618,0.14731476817820066,6.809787742830064e-08,0.43829933482279637,0.43829930946129403,0.43829929121935185,4.436185419784159e-08,0.0,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
char_wb_3_6_linearsvc_manual_moderate_1,TF-IDF character n-gram + LinearSVC,char,linearsvc,manual_moderate_1,decision_softmax,5,0.7409638554216867,0.7409638554216867,0.7409638554216867,0.0,0.6975435280163826,0.6975435280163826,0.6975435280163826,0.0,0.7370952020351721,0.7370952020351721,0.7370952020351721,0.0,0.6876659688995216,0.6876659688995216,0.6876659688995216,0.0,0.5539524028415908,0.5539524028415908,0.5539524028415908,0.0,0.9120879120879121,0.9120879120879121,0.9120879120879121,0.0,0.6823529411764706,0.6823529411764706,0.6823529411764706,0.0,0.6105263157894737,0.6105263157894737,0.6105263157894737,0.0,0.6444444444444445,0.6444444444444445,0.6444444444444445,0.0,0.850909090909091,0.850909090909091,0.850909090909091,0.0,0.6015625,0.6015625,0.6015625,0.0,0.6015625,0.6015625,0.6015625,0.0,0.14797516484956258,0.14795304710077034,0.14795289924866212,4.433084918833563e-05,0.43873215962511913,0.4387321854471499,0.43873204165447655,6.875864604079684e-08,0.0,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word_char_logreg_balanced,Logistic Regression word-character,word_char,logistic_regression,balanced,native_probability,5,0.7459349593495935,0.7459349593495935,0.7459349593495935,0.0,0.696011691634611,0.696011691634611,0.696011691634611,0.0,0.7379923855273057,0.7379923855273057,0.7379923855273057,0.0,0.6760864729477,0.6760864729477,0.6760864729477,0.0,0.5600385367912138,0.5600385367912138,0.5600385367912138,0.0,0.9010989010989011,0.9010989010989011,0.9010989010989011,0.0,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.0,0.5567010309278351,0.5567010309278351,0.5567010309278351,0.0,0.6467065868263473,0.6467065868263473,0.6467065868263473,0.0,0.8921933085501859,0.8921933085501859,0.8921933085501859,0.0,0.5793650793650794,0.5793650793650794,0.5793650793650794,0.0,0.5567010309278351,0.5567010309278351,0.5567010309278351,0.0,0.17231665854511666,0.17231665854511666,0.17231665854511666,0.0,0.4463506629066315,0.44635066290663156,0.44635066290663156,5.551115123125783e-17,0.0,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
