model_id,seed,positive_threshold,margin_positive_neutral,margin_positive_negative,abstention_threshold,safety_constraints_passed,full_development_constraints_passed,accuracy,macro_f1,weighted_f1,balanced_accuracy,mcc,coverage,abstention_rate,class_collapse,minimum_recall,positive_precision,positive_recall,positive_f1,neutral_recall,negative_recall,positive_to_neutral,positive_to_negative,positive_to_uncertain,neutral_to_positive,negative_to_positive,all_evaluable_accuracy_abstain_wrong,negative_precision,negative_f1,negative_support,neutral_precision,neutral_f1,neutral_support,positive_support,all_ece,all_brier_score,all_mean_confidence,covered_ece,covered_brier_score,covered_mean_confidence
char_wb_3_6_linearsvc_balanced,42,0.3,-0.05,-0.05,0.35,False,False,0.7014652014652014,0.6645919205727818,0.7014723978838812,0.6687988931983875,0.513687691589067,1.0,0.0,False,0.5578231292517006,0.5736434108527132,0.6548672566371682,0.6115702479338843,0.7937062937062938,0.5578231292517006,20,19,0,27,28,0.7014652014652014,0.6165413533834586,0.5857142857142857,147,0.7992957746478874,0.7964912280701755,286,113,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.15467182467714166,0.44165495424330586,0.5522878822825653
char_wb_3_6_linearsvc_balanced,42,0.3,-0.05,-0.05,0.4,False,False,0.7094339622641509,0.6718750713058114,0.7096500379232827,0.6777316548742321,0.5255105074785744,0.9706959706959707,0.02930402930402931,False,0.5571428571428572,0.5736434108527132,0.6788990825688074,0.6218487394957983,0.797153024911032,0.5571428571428572,19,16,4,27,28,0.6886446886446886,0.6290322580645161,0.5909090909090909,140,0.8086642599277978,0.8028673835125448,281,109,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.1582493410665029,0.43573950889572766,0.557359559291223
char_wb_3_6_linearsvc_balanced,42,0.3,-0.05,-0.05,0.42,False,False,0.71875,0.6781300452476526,0.718225110521519,0.6834100478960292,0.5391274337847032,0.9377289377289377,0.06227106227106227,False,0.5454545454545454,0.5736434108527132,0.6915887850467289,0.6271186440677966,0.8131868131868132,0.5454545454545454,18,15,6,27,28,0.673992673992674,0.6486486486486487,0.5925925925925926,132,0.8161764705882353,0.8146788990825689,273,107,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.1625579122153747,0.4283512044447444,0.5625841135455525
char_wb_3_6_linearsvc_balanced,42,0.3,-0.05,-0.05,0.45,False,False,0.7291666666666666,0.6859482343157914,0.729544750826065,0.6947039683416373,0.5551021641904085,0.8791208791208791,0.1208791208791209,False,0.5384615384615384,0.5736434108527132,0.7326732673267327,0.6434782608695652,0.8129770992366412,0.5384615384615384,15,12,12,27,28,0.6410256410256411,0.6494845360824743,0.5887850467289719,117,0.8385826771653543,0.8255813953488372,262,101,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.1649576021416243,0.4151983210260883,0.571027225336698
char_wb_3_6_linearsvc_balanced,42,0.3,-0.05,-0.05,0.5,False,False,0.7598039215686274,0.7139365031521038,0.7597080566646152,0.7246356033452809,0.6097237581429026,0.7472527472527473,0.25274725274725274,False,0.5161290322580645,0.5736434108527132,0.8222222222222222,0.6757990867579908,0.8355555555555556,0.5161290322580645,10,6,23,27,28,0.5677655677655677,0.75,0.6114649681528662,93,0.8744186046511628,0.8545454545454545,225,90,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.18015118093437943,0.38669662749222156,0.5876741062950195
char_wb_3_6_linearsvc_balanced,42,0.3,-0.05,0.0,0.35,False,False,0.7060998151571165,0.6692669172932332,0.7057388156157491,0.6692662660731347,0.5172760228297796,0.9908424908424909,0.009157509157509125,False,0.5958904109589042,0.6017699115044248,0.6126126126126126,0.6071428571428571,0.7992957746478874,0.5958904109589042,20,23,2,25,20,0.6996336996336996,0.6126760563380281,0.6041666666666666,146,0.7937062937062938,0.7964912280701755,284,111,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.1574253414482468,0.4395610833849532,0.5542197602153391
char_wb_3_6_linearsvc_balanced,42,0.3,-0.05,0.0,0.4,False,False,0.7214700193423598,0.6845685453333686,0.7217231908902968,0.6876871860899422,0.5385102136469865,0.9468864468864469,0.05311355311355315,False,0.6,0.6017699115044248,0.6601941747572816,0.6296296296296297,0.8028673835125448,0.6,19,16,10,25,20,0.6831501831501832,0.6377952755905512,0.6183206106870229,135,0.8086642599277978,0.8057553956834532,279,103,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.1649662308449634,0.43046255670634803,0.5623064964277638
char_wb_3_6_linearsvc_balanced,42,0.3,-0.05,0.0,0.42,False,False,0.7303822937625755,0.6897424439923001,0.7299442565757095,0.6921518395381975,0.5502447109806149,0.9102564102564102,0.08974358974358976,False,0.584,0.6017699115044248,0.6732673267326733,0.6355140186915887,0.8191881918819188,0.584,18,15,12,25,20,0.6648351648351648,0.6517857142857143,0.6160337552742616,125,0.8161764705882353,0.8176795580110497,271,101,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.16790888876566729,0.42218744536638797,0.568509622300731
char_wb_3_6_linearsvc_balanced,42,0.3,-0.05,0.0,0.45,False,False,0.7413793103448276,0.6980968045340377,0.7419648035581105,0.7043339647637089,0.5659520972189936,0.8498168498168498,0.1501831501831502,False,0.5779816513761468,0.6017699115044248,0.7157894736842105,0.6538461538461539,0.8192307692307692,0.5779816513761468,15,12,18,25,20,0.63003663003663,0.6494845360824743,0.6116504854368932,109,0.8385826771653543,0.8287937743190662,260,95,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.16990748853758328,0.4079893698111109,0.5779373390486235
char_wb_3_6_linearsvc_balanced,42,0.3,-0.05,0.0,0.5,False,False,0.7755102040816326,0.7310327068490454,0.7759916794418747,0.739093006410337,0.6246724528149493,0.717948717948718,0.28205128205128205,False,0.5647058823529412,0.6017699115044248,0.8095238095238095,0.6903553299492385,0.8430493273542601,0.5647058823529412,10,6,29,25,20,0.5567765567765568,0.75,0.6442953020134228,85,0.8744186046511628,0.8584474885844748,223,84,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.18663037621093312,0.37700024876698845,0.5965328890951893
char_wb_3_6_linearsvc_balanced,42,0.3,-0.05,0.05,0.35,False,False,0.7094972067039106,0.672241648183415,0.7088813083636297,0.6701615286122328,0.5200730866432227,0.9835164835164835,0.016483516483516536,False,0.5818181818181818,0.6213592233009708,0.5818181818181818,0.6009389671361502,0.7992957746478874,0.6293706293706294,21,25,3,25,14,0.6978021978021978,0.6122448979591837,0.6206896551724138,143,0.7909407665505227,0.7950963222416813,284,110,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.15945175406192819,0.4381131265982117,0.5556320448207532
char_wb_3_6_linearsvc_balanced,42,0.3,-0.05,0.05,0.4,False,False,0.7283464566929134,0.6916925589162565,0.7286891487750765,0.6933670869154741,0.5446580138949072,0.9304029304029304,0.06959706959706957,False,0.6307692307692307,0.6213592233009708,0.6464646464646465,0.6336633663366337,0.8028673835125448,0.6307692307692307,19,16,14,25,14,0.6776556776556777,0.640625,0.6356589147286822,130,0.8086642599277978,0.8057553956834532,279,99,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.1685241230232503,0.4270622727194517,0.5657278454806867
char_wb_3_6_linearsvc_balanced,42,0.3,-0.05,0.05,0.42,False,False,0.7371663244353183,0.6965713966818939,0.7369266559201554,0.6974757948220563,0.5553517817678985,0.891941391941392,0.10805860805860801,False,0.6134453781512605,0.6213592233009708,0.6597938144329897,0.64,0.8191881918819188,0.6134453781512605,18,15,16,25,14,0.6575091575091575,0.6517857142857143,0.6320346320346321,119,0.8161764705882353,0.8176795580110497,271,97,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.1729001333105919,0.4181946141850224,0.5724797434861228
char_wb_3_6_linearsvc_balanced,42,0.3,-0.05,0.05,0.45,False,False,0.748898678414097,0.7061958629173519,0.7498185428113641,0.7113926526547886,0.5717742972525858,0.8315018315018315,0.16849816849816845,False,0.6116504854368932,0.6213592233009708,0.7032967032967034,0.6597938144329897,0.8192307692307692,0.6116504854368932,15,12,22,25,14,0.6227106227106227,0.6494845360824743,0.63,103,0.8385826771653543,0.8287937743190662,260,91,0.15467182467714166,0.44165495424330586,0.5522878822825653,0.17530555481753354,0.4033935778708514,0.5824036962837881
