group,label,count,percentage_of_total,ci_low,ci_high,denominator
Observational,Positive,2718,8.220669630705018,0.07929419531796462,0.08521627307826708,33063
Observational,Neutral,23977,72.51913014547983,0.72035333838405,0.7299769405138292,33063
Observational,Negative,4771,14.43002752321326,0.14055386210304263,0.14812933647616489,33063
Observational,Uncertain,1593,4.818074584883404,0.04592443850898413,0.05054203502322041,33063
Observational,No Text,4,0.012098115718476847,4.7047422554647473e-05,0.00031106358614840324,33063
Observational,Evaluable coverage,31466,95.16982729939812,,,33063
