hcc_id,community_size,n_accounts,n_comments,evaluable_comments,coverage,positive_count,neutral_count,negative_count,uncertain_count,no_text_count,positive_ratio,neutral_ratio,negative_ratio,soft_positive_share,soft_neutral_share,soft_negative_share,effective_sample_size,dominant_sentiment,goal_orientation,goal_orientation_status,goal_confidence,goal_stability,goal_method,goal_validation_status,small_sample_warning,primary_brand,brand_label_auto,brand_combo,brand_confidence,narrative_similarity_level,negative_ratio_ci_low,negative_ratio_ci_high,neutral_ratio_ci_low,neutral_ratio_ci_high,positive_ratio_ci_low,positive_ratio_ci_high
42,5,5,23,23,1.0,21,2,0,0,0,0.9130434782608695,0.08695652173913043,0.0,0.6392975577883493,0.16964540381076243,0.1910570384008884,15.955728733552398,Positive,Promotional / Supportive,Assigned,High,0.826086956521739,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Daviena,Daviena,Daviena,High,Medium,0.0,0.14312112541726274,0.02417949540723341,0.2679640429809401,0.7320359570190598,0.9758205045927666
45,4,4,24,24,1.0,2,19,3,0,0,0.08333333333333333,0.7916666666666666,0.125,0.18411395412175122,0.6299451791783507,0.18594086669989798,16.501667652492944,Neutral,Neutral Engagement,Assigned,High,0.6666666666666666,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Maryame,Mixed_3plus_Brands,Maryame + Azarine + The Originote,Medium,Low,0.043442550393155845,0.3100428814785757,0.5952915551476453,0.9075531089521192,0.023158327842973517,0.2584921520145059
46,7,7,21,21,1.0,2,17,2,0,0,0.09523809523809523,0.8095238095238095,0.09523809523809523,0.16075649531322783,0.6219446165921675,0.21729888809460476,14.001098998551806,Neutral,Neutral Engagement,Assigned,High,0.7142857142857143,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,The Originote,The Originote,The Originote + Daviena,Medium,Low,0.026518208796947225,0.2891458386074067,0.599990134607267,0.923325593848227,0.026518208796947225,0.2891458386074067
48,5,5,30,29,0.9666666666666667,2,24,3,1,0,0.06896551724137931,0.8275862068965517,0.10344827586206896,0.18904070138042275,0.604572606786017,0.2063866918335603,19.873408435701382,Neutral,Neutral Engagement,Assigned,High,0.7241379310344828,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,The Originote,Mixed_3plus_Brands,The Originote + Azarine + Maryame,Medium,Low,0.03581424038130106,0.26385447247069155,0.6545119942718489,0.9240225472852006,0.019120864097994437,0.21964947595851925
49,6,6,16,16,1.0,0,13,3,0,0,0.0,0.8125,0.1875,0.15064068902885414,0.6090633111400164,0.24029599983112937,10.688379831849915,Neutral,Neutral Engagement,Assigned,High,0.625,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Daviena,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,Low,0.06591478773586763,0.4300935986845823,0.5699064013154177,0.9340852122641323,0.0,0.19361341827271994
50,6,6,18,17,0.9444444444444444,1,16,0,1,0,0.058823529411764705,0.9411764705882353,0.0,0.21955437765027863,0.602067352920296,0.1783782694294253,11.551592735321966,Neutral,Neutral Engagement,Assigned,High,0.8823529411764706,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Maryame,Maryame,Maryame,High,Low,0.0,0.18432366037156456,0.730174547964372,0.9895398693548358,0.010460130645164236,0.26982545203562797
52,5,5,40,38,0.95,5,27,6,2,0,0.13157894736842105,0.7105263157894737,0.15789473684210525,0.2281072810898635,0.532502739050042,0.23938997986009455,25.21101281185137,Neutral,Neutral Engagement,Assigned,High,0.5526315789473684,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low,0.07443762223722684,0.30417122637276883,0.5524256173381022,0.8299689373634387,0.05753782875731436,0.2732717005149888
54,11,11,66,63,0.9545454545454546,9,46,8,3,0,0.14285714285714285,0.7301587301587301,0.12698412698412698,0.2066230338747784,0.5762006246825266,0.217176341442695,45.361062837157554,Neutral,Neutral Engagement,Assigned,High,0.5873015873015872,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Azarine,Azarine,Azarine + Daviena,High,Low,0.06577246340780173,0.2310726151061776,0.6096985641796893,0.8241629831201958,0.07701861407975047,0.24974795045491058
60,3,3,4,4,1.0,0,4,0,0,0,0.0,1.0,0.0,0.11837814917751836,0.6899320248484887,0.19168982597399292,2.759728099393955,Neutral,Neutral Engagement,LOW_EVIDENCE_GOAL_ORIENTATION,Low,1.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,True,Daviena,Daviena,Daviena,High,Low,0.0,0.48990002040399916,0.5100999795960008,1.0,0.0,0.48990002040399916
63,3,3,10,10,1.0,0,8,2,0,0,0.0,0.8,0.2,0.1436803368589407,0.6095750660794949,0.24674459706156454,6.623900401841491,Neutral,Neutral Engagement,Assigned,Medium,0.6000000000000001,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Maryame,Mixed_3plus_Brands,Maryame + Daviena + The Originote,Medium,Low,0.05668094798069328,0.5098431532792767,0.49015684672072346,0.9433190520193067,0.0,0.2775401687666165
74,3,3,12,11,0.9166666666666666,0,8,3,1,0,0.0,0.7272727272727273,0.2727272727272727,0.1959525624730732,0.517019434452905,0.2870280030740218,7.375095024670181,Neutral,Neutral Engagement,Assigned,Medium,0.4545454545454546,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Daviena,Daviena,Daviena + Maryame,Medium,Low,0.09745880573921469,0.5656502930102462,0.4343497069897538,0.9025411942607853,2.057132194452876e-17,0.2588400172488141
75,4,4,16,16,1.0,3,12,1,0,0,0.1875,0.75,0.0625,0.238947121760127,0.5739995325222993,0.1870533457175737,11.137858666290002,Neutral,Neutral Engagement,Assigned,High,0.5625,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,Low,0.011119057308331216,0.2832926836802987,0.5050123107060135,0.8981809801576265,0.06591478773586763,0.4300935986845823
87,5,5,20,20,1.0,3,17,0,0,0,0.15,0.85,0.0,0.22608317319814913,0.6061952501013277,0.1677215767005232,13.989370380295142,Neutral,Neutral Engagement,Assigned,High,0.7,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Daviena,Mixed_2_Brands,Daviena + Maryame,Medium,Low,0.0,0.1611301254949332,0.6395767041130426,0.9476322080405041,0.05236779195949582,0.36042329588695743
90,4,4,12,11,0.9166666666666666,0,11,0,1,0,0.0,1.0,0.0,0.14927839342827612,0.6998524169196186,0.15086918965210527,8.401394449784304,Neutral,Neutral Engagement,Assigned,Medium,1.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Azarine,Mixed_3plus_Brands,Azarine + Daviena + Maryame,Low,Low,2.057132194452876e-17,0.2588400172488141,0.7411599827511859,1.0,2.057132194452876e-17,0.2588400172488141
99,6,6,28,28,1.0,25,3,0,0,0,0.8928571428571429,0.10714285714285714,0.0,0.6208813111541124,0.20499049795244675,0.1741281908934409,18.44993151122924,Positive,Promotional / Supportive,Assigned,High,0.7857142857142858,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,The Originote,The Originote,The Originote,High,Medium,0.0,0.12064720365810762,0.0371176920547995,0.2719622536765708,0.7280377463234292,0.9628823079452006
103,5,5,30,29,0.9666666666666667,0,27,2,1,0,0.0,0.9310344827586207,0.06896551724137931,0.14918677645348866,0.6474433433472604,0.20336988019925095,20.68870440012571,Neutral,Neutral Engagement,Assigned,High,0.8620689655172413,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Daviena,Daviena,Daviena,High,Low,0.019120864097994437,0.21964947595851925,0.7803505240414808,0.9808791359020056,0.0,0.11697359446555587
113,6,6,28,27,0.9642857142857143,26,1,0,1,0,0.9629629629629629,0.037037037037037035,0.0,0.6696312477210803,0.16290151379910214,0.16746723847981757,19.20711381977225,Positive,Promotional / Supportive,Assigned,High,0.9259259259259258,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Maryame,Maryame,Maryame,High,Medium,0.0,0.12455903714463581,0.006567976533097584,0.18283853934156521,0.8171614606584349,0.9934320234669024
114,6,6,28,24,0.8571428571428571,23,1,0,4,0,0.9583333333333334,0.041666666666666664,0.0,0.6337492268820423,0.17938230659316975,0.18686846652478803,18.20241723627918,Positive,Promotional / Supportive,Assigned,High,0.9166666666666667,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Maryame,Maryame,Maryame,High,Medium,0.0,0.13798057582897535,0.007393265354805109,0.2024222624884223,0.7975777375115778,0.9926067346451949
117,6,6,18,18,1.0,1,16,1,0,0,0.05555555555555555,0.8888888888888888,0.05555555555555555,0.1372858269271627,0.6925423184745875,0.1701718545982499,13.588832093355734,Neutral,Neutral Engagement,Assigned,High,0.8333333333333333,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,The Originote,The Originote,The Originote,High,Low,0.009874935830924522,0.2575779980200754,0.6719975513339578,0.9689811315464172,0.009874935830924522,0.2575779980200754
132,4,4,12,11,0.9166666666666666,0,11,0,1,0,0.0,1.0,0.0,0.2243447070125112,0.5926826535388178,0.18297263944867104,7.151899802893309,Neutral,Neutral Engagement,Assigned,Medium,1.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,False,Azarine,Mixed_3plus_Brands,Azarine + Maryame + The Originote,Medium,Low,2.057132194452876e-17,0.2588400172488141,0.7411599827511859,1.0,2.057132194452876e-17,0.2588400172488141
134,3,3,6,6,1.0,2,4,0,0,0,0.3333333333333333,0.6666666666666666,0.0,0.3295184895729713,0.45085384099559983,0.2196276694314289,3.465225756523188,Neutral,Neutral Engagement,Assigned,Low,0.3333333333333333,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v2,FINAL_MODEL_VALIDATED_SENTIMENT_V2,True,Daviena,Daviena,Daviena + The Originote,Medium,Low,0.0,0.3903430336530645,0.2999883213415286,0.903230667440783,0.09676933255921684,0.7000116786584712
