group,total_comments,evaluable_comments,coverage,uncertain_count,no_text_count,negative_count,negative_ratio_evaluable,negative_ratio_total,negative_ci_low,negative_ci_high,neutral_count,neutral_ratio_evaluable,neutral_ratio_total,neutral_ci_low,neutral_ci_high,positive_count,positive_ratio_evaluable,positive_ratio_total,positive_ci_low,positive_ci_high,negative_hcc_minus_nonhcc,neutral_hcc_minus_nonhcc,positive_hcc_minus_nonhcc
HCC,945,917,0.9703703703703703,28,0,87,0.09487459105779716,0.09206349206349207,0.07756191228744493,0.11556750323852608,541,0.5899672846237731,0.5724867724867725,0.5578219617579645,0.6213619500027551,289,0.31515812431842966,0.3058201058201058,0.28591231747498436,0.3459461910893549,-0.058452850102306275,-0.1771936699082901,0.23564652001059633
Non-HCC,32118,30549,0.951148888473753,1565,4,4684,0.15332744116010344,0.14583722523195716,0.14933064102182603,0.1574114199195693,23436,0.7671609545320632,0.7296842891836354,0.7623880831569213,0.7718666422693381,2429,0.07951160430783331,0.07562737405816053,0.07653043961882364,0.08259851027237075,-0.058452850102306275,-0.1771936699082901,0.23564652001059633
