exact_group_id,normalized_text,representative_comment_text,n_comments,n_unique_accounts,n_unique_videos,n_unique_brands,n_actor_types,actor_types,actor_pair_scope,accounts,platform_usernames,comment_ids,video_ids,video_urls,brands,hcc_ids,contains_community_actor,contains_mass_actor,contains_lcn_edge_account_pair,presentation_eligible
EXACT_GROUP_00204,boleh ka,Boleh ka,3,3,2,2,2,Individual Actor;Mass Actor,Individual–Individual;Mass–Individual,MASS_3fa205eca282;namicwn_;susiyuliani30,namicwn_;rsyahputri10;susiyuliani30,7188888591882961690;7252311470997062406;7365115184564142854,7182401543491128602;7242204399928593669,https://www.tiktok.com/@namicwn_/video/7242204399928593669?_r=1&_t=ZS-9701v2mMfZa;https://www.tiktok.com/@susiyuliani30/video/7182401543491128602?_r=1&_t=ZS-977UoX2jLJ2,Maryame;The Originote,,False,True,False,True
EXACT_GROUP_00205,boleh kaa,Boleh kaa,6,2,2,2,1,Individual Actor,Individual–Individual,adilana.na;namicwn_,adilana.na;namicwn_,7251511567539405574;7270839658254615302;7272274607711716102;7329874956178326278;7338657759859147526;7346815088134931205,7242204399928593669;7313744314927041797,https://www.tiktok.com/@adilana.na/video/7313744314927041797?_r=1&_t=ZS-9707RUeyEm9;https://www.tiktok.com/@namicwn_/video/7242204399928593669?_r=1&_t=ZS-9701v2mMfZa,Daviena;The Originote,,False,False,False,False
EXACT_GROUP_00206,boleh kaak,Boleh kaak,2,2,2,1,1,Individual Actor,Individual–Individual,deswitatata2;rikut02,deswitatata2;rikut02,7374391612619539205;7532092936253014792,7279666593129434374;7429265515434036485,https://www.tiktok.com/@deswitatata2/video/7279666593129434374?_r=1&_t=ZS-9702EZVUuGo;https://www.tiktok.com/@rikut02/video/7429265515434036485?_r=1&_t=ZS-97026zwQb3A,Maryame,,False,False,False,False
EXACT_GROUP_00207,boleh kak,Boleh kak,13,9,9,3,2,Individual Actor;Mass Actor,Individual–Individual;Mass–Individual;Mass–Mass,MASS_24455df87e01;MASS_460f21d865f8;MASS_86853bb98729;MASS_c2deac8ce6ab;MASS_c9a9a18a62da;ansyashine;cellynstore_;dicannnns;vivianmarguerre,ansyashine;cellynstore_;dicannnns;nazwa26126;pakai.skincare;pridaea;siti_aisyah035;vivianmarguerre;zakiyaheva,7217696824290984730;7222370603801412357;7225913076820984603;7227773481806709530;7234004139235361563;7241169611743396614;7256342374321996549;7290001129856959238;7324980674875228933;7332078312799814405;7421872295499186950;7614653514790994695;...(+1),7188119070884056347;7194330759329631514;7235406683676167430;7237379067773766917;7242204399928593669;7284446766534102277;7289028668863663365;7313383346447322373;7459337971108515090,https://www.tiktok.com/@ansyashine/video/7313383346447322373?_r=1&_t=ZS-97070Klua9J;https://www.tiktok.com/@cellynstore_/video/7235406683676167430?_r=1&_t=ZS-9701gToMRNv;https://www.tiktok.com/@dicannnns/video/7194330759329631514?_r=1&_t=ZS-9701cuVmRfz;https://www.tiktok.com/@faniabsaa/video/7284446766534102277?_r=1&_t=ZS-9707DfFuSW1;https://www.tiktok.com/@nabellaolivia/video/7289028668863663365?_r=1&_t=ZS-977c7OOaZtJ;...(+4),Azarine;Daviena;The Originote,,False,True,False,True
EXACT_GROUP_00208,boleh kakak,Boleh kakak,3,1,1,1,1,Individual Actor,Individual–Individual,dicannnns,dicannnns,7202933413417009946;7225798187155751706;7226204967785628442,7194330759329631514,https://www.tiktok.com/@dicannnns/video/7194330759329631514?_r=1&_t=ZS-9701cuVmRfz,The Originote,,False,False,False,False
EXACT_GROUP_00209,boleh kok kak,boleh kok kak,4,1,1,1,1,Individual Actor,Individual–Individual,rikut02,rikut02,7445989596544189191;7446677529009603346;7449886749197730568;7456724671321703189,7429265515434036485,https://www.tiktok.com/@rikut02/video/7429265515434036485?_r=1&_t=ZS-97026zwQb3A,Maryame,,False,False,False,False
EXACT_GROUP_00210,boleh yaaa,Boleh yaaa,2,2,2,2,1,Individual Actor,Individual–Individual,mputrizahro;namicwn_,mputrizahro;namicwn_,7251595878279447301;7430475841630487302,7242204399928593669;7424146834534239493,https://www.tiktok.com/@mputrizahro/video/7424146834534239493?_r=1&_t=ZS-977UpyoFBWq;https://www.tiktok.com/@namicwn_/video/7242204399928593669?_r=1&_t=ZS-9701v2mMfZa,Maryame;The Originote,,False,False,False,False
EXACT_GROUP_00211,bolehh,Bolehh,6,4,4,2,2,Individual Actor;Mass Actor,Individual–Individual;Mass–Individual,MASS_618fa38fc17e;cellynstore_;tiarach18;vivianmarguerre,cellynstore_;shasaa4444;tiarach18;vivianmarguerre,7130594161484710682;7324290888140915462;7327508415033869061;7387306765606748934;7388829729443463942;7418512371817906950,7122773893844061466;7129446710400601371;7235406683676167430;7237379067773766917,https://www.tiktok.com/@cellynstore_/video/7235406683676167430?_r=1&_t=ZS-9701gToMRNv;https://www.tiktok.com/@soufberry/video/7122773893844061466?_r=1&_t=ZS-9701Dc5EXB4;https://www.tiktok.com/@tiarach18/video/7129446710400601371?_r=1&_t=ZS-9701fw1pX2F;https://www.tiktok.com/@vivianmarguerre/video/7237379067773766917?_r=1&_t=ZS-9706fNQFwJ7,Azarine;The Originote,,False,True,False,True
EXACT_GROUP_00212,bolehhh,bolehhh,2,2,2,2,2,Individual Actor;Mass Actor,Mass–Individual,MASS_f2fa9114eb6b;skinby_sindy,skinby_sindy;suciulan29,7211058729284813594;7624166199757030164,7188119070884056347;7586827398084136200,https://www.tiktok.com/@skinby_sindy/video/7586827398084136200?_r=1&_t=ZS-9706sCoYVV3;https://www.tiktok.com/@theoriginote/video/7188119070884056347?_r=1&_t=ZS-9701SLa3cpE,Azarine;The Originote,,False,True,False,False
EXACT_GROUP_00213,bpom kah?,bpom kah?,2,2,2,2,1,Mass Actor,Mass–Mass,MASS_52ec8e0e1524;MASS_fae4bd3c1bdc,elongpesegk5;inspirasii.outhfit,7226601313717535515;7314631302728057606,7194330759329631514;7312025661835578629,https://www.tiktok.com/@dicannnns/video/7194330759329631514?_r=1&_t=ZS-9701cuVmRfz;https://www.tiktok.com/@maharajasp8/video/7312025661835578629?_r=1&_t=ZS-9707B1CL1aS,Daviena;The Originote,,False,True,False,False
