threshold_version,threshold,coverage,abstention_rate,n_covered,n_abstained,class_collapse,macro_f1_covered,balanced_accuracy_covered,mcc_covered,minimum_per_class_recall,precision_negative,recall_negative,f1_negative,covered_true_negative,covered_pred_negative,abstained_true_negative,precision_neutral,recall_neutral,f1_neutral,covered_true_neutral,covered_pred_neutral,abstained_true_neutral,precision_positive,recall_positive,f1_positive,covered_true_positive,covered_pred_positive,abstained_true_positive,eligible,selection_reason,coverage_delta_vs_old,abstention_delta_vs_old,macro_f1_delta_vs_old,balanced_accuracy_delta_vs_old,mcc_delta_vs_old
old,0.46,0.825062034739454,0.17493796526054592,665,141,False,0.749451054299422,0.7224641702456208,0.6442650091738419,0.6037735849056604,0.7394366197183099,0.625,0.6774193548387096,168,142,48,0.8265765765765766,0.9386189258312021,0.8790419161676647,391,444,42,0.810126582278481,0.6037735849056604,0.6918918918918919,106,79,51,False,Previous frozen development threshold.,0.0,0.0,0.0,0.0,0.0
new,0.42,0.9156327543424317,0.08436724565756824,738,68,False,0.7229230919199292,0.7035955130692102,0.5990060565782525,0.5905511811023622,0.7100591715976331,0.6185567010309279,0.6611570247933884,194,169,22,0.8034188034188035,0.9016786570743405,0.8497175141242937,417,468,16,0.7425742574257426,0.5905511811023622,0.6578947368421053,127,101,30,True,"Selected by MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90: highest macro-F1 covered among thresholds with coverage >= 0.90; tie-breakers balanced accuracy, MCC, coverage, then lower threshold.",0.09057071960297769,-0.09057071960297768,-0.026527962379492842,-0.01886865717641062,-0.04525895259558943
