label,precision,recall,f1,support
Negative,0.7100591715976331,0.6185567010309279,0.6611570247933884,194
Neutral,0.8034188034188035,0.9016786570743405,0.8497175141242937,417
Positive,0.7425742574257426,0.5905511811023622,0.6578947368421053,127
