macro_f1,weighted_f1,accuracy,balanced_accuracy,mcc,ece,brier_score,status,fold,n_train,n_validation,n_train_groups,n_validation_groups
0.572922502334267,0.680360391579312,0.6958762886597938,0.568290889146504,0.4109003386770616,0.11277672781085148,0.14506622136780536,AVAILABLE,1,612,194,41,13
0.6243936243936244,0.7095937770095073,0.7078651685393258,0.6209150326797386,0.49595538944146683,0.12471920284315506,0.13837211640149888,AVAILABLE,2,717,89,45,9
0.5098649842835888,0.5211010995894717,0.5555555555555556,0.5451033529943142,0.3430363506647462,0.0981545904068729,0.1790316244578999,AVAILABLE,3,590,216,46,8
0.5904273119739832,0.6515352667045433,0.6538461538461539,0.5871794871794872,0.4194953889786165,0.10873803797062202,0.15272232604577185,AVAILABLE,4,676,130,41,13
0.6618294051627385,0.7409549354182122,0.7457627118644068,0.6530191777426652,0.5366285363263553,0.15377547311158282,0.12692371090184407,AVAILABLE,5,629,177,43,11
