model_id,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_mcc,std_mcc,mean_ece,std_ece,mean_brier_score,std_brier_score,mean_coverage,mean_abstention_rate,class_collapse_folds,mean_precision_Negative,mean_recall_Negative,mean_f1_Negative,mean_precision_Neutral,mean_recall_Neutral,mean_f1_Neutral,mean_precision_Positive,mean_recall_Positive,mean_f1_Positive,rank,selection_eligible,selection_notes,support_Negative,support_Neutral,support_Positive,ensemble_components,selected_for_freeze,model_family_name,selection_status
tfidf_char_linearsvc_social_C1_balanced,0.6804035059077866,0.026947640366066023,0.7213507928389007,0.022409219318028577,0.7274391023183291,0.020722340737382838,0.6699083644125939,0.028513916334722587,0.5368353062130516,0.03719301371226555,0.17112647388780214,0.018754328042172048,0.13946561982473588,0.004737484167404391,1.0,0.0,0.0,0.6384451095637076,0.5710711768851304,0.6011182477099565,0.7793626124819942,0.8590840238795331,0.8170032172076922,0.6808193900607692,0.5795698924731184,0.6230890528057114,1,True,Human-supervised V2 development candidate.,,,,,False,,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
calibrated_linearsvc_word_char_social_C1_balanced,0.677768369837382,0.026281106981491203,0.7243693531031798,0.021452375594060446,0.7345014441632799,0.020783823777909622,0.6624262256786767,0.02624622803927219,0.5457983167445751,0.037718273647556824,0.09548750558751697,0.017755851646763417,0.12365822792591848,0.004669487713057981,1.0,0.0,0.0,0.6686866379701846,0.5846370683579986,0.6213752074480343,0.7712422950272331,0.8892007484629778,0.8256144661707189,0.6988693798427409,0.5134408602150536,0.5863154358933926,2,True,Human-supervised V2 development candidate.,,,,,False,,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
tfidf_word_char_logreg_social_C1_balanced,0.6670331988024096,0.032582611117592246,0.7166915715160395,0.025370850231580235,0.7311939268461009,0.024343851018576772,0.6464810478351041,0.030950162468430922,0.5370781731577986,0.04467910760700571,0.18819243046063694,0.021425008871436724,0.14344423543357204,0.003193708575866065,1.0,0.0,0.0,0.6940614419218145,0.5738900634249472,0.6258226176071248,0.7482366145793737,0.9091686714782146,0.8206619613510668,0.7235997465440192,0.45638440860215046,0.5546150174490379,3,True,Human-supervised V2 development candidate.,,,,,False,,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
tfidf_char_logreg_social_C1_balanced,0.6526701481003997,0.030236002026842665,0.7032582232820517,0.023859472564260027,0.7187920149272806,0.02228356750429468,0.6308643666489594,0.028780803692728764,0.513736412713749,0.040611641490394534,0.21475852604869006,0.020985953386808517,0.15454605853397238,0.0029758110289403584,1.0,0.0,0.0,0.6678581584720157,0.5368921775898521,0.5932523355874186,0.7367677761554656,0.9075826427871336,0.8131077794200624,0.72680472062051,0.4481182795698924,0.5516503292937177,4,True,Human-supervised V2 development candidate.,,,,,False,,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
tfidf_word_linearsvc_social_C1_balanced,0.6510756390711637,0.02779129718343851,0.7046425894515507,0.021182106012486546,0.7167139534289293,0.02220427711810361,0.6357654809034895,0.024326025004148554,0.5140850226204757,0.03795366156930372,0.18414150779001373,0.024874908721362148,0.14725144242559363,0.004103278663545571,1.0,0.0,0.0,0.6355501237345119,0.5908033826638478,0.6103068622152122,0.7602467052545744,0.8815468234874813,0.8158381898097106,0.6841208576998049,0.4349462365591397,0.5270818651885685,5,True,Human-supervised V2 development candidate.,,,,,False,,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
tfidf_word_logreg_social_C2_balanced,0.6236326579568363,0.02808853491323615,0.6828788908670074,0.02131903702630955,0.703478772077806,0.02033939910680811,0.605036493471156,0.02256835307705336,0.4855432877652418,0.037496540220394815,0.17609906955121118,0.017241487870231307,0.15176805580971953,0.0031522608601889145,1.0,0.0,0.0,0.647760574285048,0.5553911205073996,0.5956795744190064,0.7225120949499277,0.9030651340996169,0.8023806101643005,0.7179281001649422,0.3566532258064516,0.47283778928720227,6,True,Human-supervised V2 development candidate.,,,,,False,,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
tfidf_word_logreg_social_C1_balanced,0.5740811170905306,0.02924469448606138,0.6439481689047769,0.02182600765163968,0.6769956291695421,0.01929749898014839,0.5573803706499595,0.02222099739367854,0.43340491543953047,0.03887805882336856,0.20848231612082604,0.014922824244130864,0.16614218759381558,0.00213454729006127,1.0,0.0,0.0,0.6509738358452413,0.47371388301620854,0.5454546466173487,0.6810488164707158,0.9246369063530252,0.7840350338822657,0.7241516086252928,0.2737903225806451,0.39275367077197737,7,True,Human-supervised V2 development candidate.,,,,,False,,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
tfidf_word_logreg_raw_C1_balanced,0.570210666023106,0.033137568965321454,0.6414724908647037,0.02486882238813543,0.6757610612683076,0.02124682955597216,0.5546120785464564,0.025662615685839853,0.4306010671774532,0.04277547684797122,0.20975704919029875,0.015432335043377461,0.16769755925820978,0.0024228202990916425,1.0,0.0,0.0,0.6628162416408385,0.47519379844961235,0.5501074562012993,0.6781443109088234,0.9254031898779294,0.7824332448265369,0.6992353507059391,0.2632392473118279,0.378091297041482,8,True,Human-supervised V2 development candidate.,,,,,False,,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
baseline_v1_existing_pipeline,0.7300363863196067,,0.7407379578083326,,0.7357320099255583,,0.7316256530283244,,0.5754243137820277,,0.120318483957028,,0.13388578396436424,,1.0,0.0,0.0,0.5749128919860628,0.7638888888888888,0.6560636182902585,0.8221649484536082,0.7367205542725174,0.7771010962241169,0.8320610687022901,0.6942675159235668,0.7569444444444444,,False,Diagnostic legacy V1 baseline; not frozen as the V2 development model.,216.0,433.0,157.0,,False,,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
ensemble_top2_human_supervised_development_only,0.6915644467904087,,0.7328619457211945,,0.7406947890818859,,0.67496328404033,,0.5560458994295197,,0.1305644232107584,,0.12779625935399994,,1.0,0.0,,,,,,,,,,,,True,Eligible because averaged top-2 human-supervised OOF probabilities improved development macro-F1.,,,,tfidf_char_linearsvc_social_C1_balanced;calibrated_linearsvc_word_char_social_C1_balanced,True,model_C_human_supervised,DEVELOPMENT_MODEL_FROZEN_PENDING_LOCKED_TEST
