threshold,coverage,abstention_rate,macro_f1,balanced_accuracy,mcc,minimum_per_class_recall,objective,selected,n_covered,n_abstained,class_collapse,macro_f1_covered,balanced_accuracy_covered,mcc_covered,precision_negative,recall_negative,f1_negative,covered_true_negative,covered_pred_negative,abstained_true_negative,precision_neutral,recall_neutral,f1_neutral,covered_true_neutral,covered_pred_neutral,abstained_true_neutral,precision_positive,recall_positive,f1_positive,covered_true_positive,covered_pred_positive,abstained_true_positive,eligible,selection_reason,selection_policy,target_minimum_coverage,threshold_selection_data_scope,locked_test_used_for_threshold_selection
0.0,1.0,0.0,0.6915644467904087,0.67496328404033,0.5560458994295197,0.5477707006369427,0.6915644467904087,False,806,0,False,0.6915644467904087,0.67496328404033,0.5560458994295197,0.6808510638297872,0.5925925925925926,0.6336633663366337,216,188,0,0.7721774193548387,0.8845265588914549,0.8245425188374597,433,496,0,0.7049180327868853,0.5477707006369427,0.6164874551971327,157,122,0,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.01,1.0,0.0,0.6915644467904087,0.67496328404033,0.5560458994295197,0.5477707006369427,0.6915644467904087,False,806,0,False,0.6915644467904087,0.67496328404033,0.5560458994295197,0.6808510638297872,0.5925925925925926,0.6336633663366337,216,188,0,0.7721774193548387,0.8845265588914549,0.8245425188374597,433,496,0,0.7049180327868853,0.5477707006369427,0.6164874551971327,157,122,0,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.02,1.0,0.0,0.6915644467904087,0.67496328404033,0.5560458994295197,0.5477707006369427,0.6915644467904087,False,806,0,False,0.6915644467904087,0.67496328404033,0.5560458994295197,0.6808510638297872,0.5925925925925926,0.6336633663366337,216,188,0,0.7721774193548387,0.8845265588914549,0.8245425188374597,433,496,0,0.7049180327868853,0.5477707006369427,0.6164874551971327,157,122,0,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.03,1.0,0.0,0.6915644467904087,0.67496328404033,0.5560458994295197,0.5477707006369427,0.6915644467904087,False,806,0,False,0.6915644467904087,0.67496328404033,0.5560458994295197,0.6808510638297872,0.5925925925925926,0.6336633663366337,216,188,0,0.7721774193548387,0.8845265588914549,0.8245425188374597,433,496,0,0.7049180327868853,0.5477707006369427,0.6164874551971327,157,122,0,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.04,1.0,0.0,0.6915644467904087,0.67496328404033,0.5560458994295197,0.5477707006369427,0.6915644467904087,False,806,0,False,0.6915644467904087,0.67496328404033,0.5560458994295197,0.6808510638297872,0.5925925925925926,0.6336633663366337,216,188,0,0.7721774193548387,0.8845265588914549,0.8245425188374597,433,496,0,0.7049180327868853,0.5477707006369427,0.6164874551971327,157,122,0,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.05,1.0,0.0,0.6915644467904087,0.67496328404033,0.5560458994295197,0.5477707006369427,0.6915644467904087,False,806,0,False,0.6915644467904087,0.67496328404033,0.5560458994295197,0.6808510638297872,0.5925925925925926,0.6336633663366337,216,188,0,0.7721774193548387,0.8845265588914549,0.8245425188374597,433,496,0,0.7049180327868853,0.5477707006369427,0.6164874551971327,157,122,0,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.06,1.0,0.0,0.6915644467904087,0.67496328404033,0.5560458994295197,0.5477707006369427,0.6915644467904087,False,806,0,False,0.6915644467904087,0.67496328404033,0.5560458994295197,0.6808510638297872,0.5925925925925926,0.6336633663366337,216,188,0,0.7721774193548387,0.8845265588914549,0.8245425188374597,433,496,0,0.7049180327868853,0.5477707006369427,0.6164874551971327,157,122,0,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.07,1.0,0.0,0.6915644467904087,0.67496328404033,0.5560458994295197,0.5477707006369427,0.6915644467904087,False,806,0,False,0.6915644467904087,0.67496328404033,0.5560458994295197,0.6808510638297872,0.5925925925925926,0.6336633663366337,216,188,0,0.7721774193548387,0.8845265588914549,0.8245425188374597,433,496,0,0.7049180327868853,0.5477707006369427,0.6164874551971327,157,122,0,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.08,1.0,0.0,0.6915644467904087,0.67496328404033,0.5560458994295197,0.5477707006369427,0.6915644467904087,False,806,0,False,0.6915644467904087,0.67496328404033,0.5560458994295197,0.6808510638297872,0.5925925925925926,0.6336633663366337,216,188,0,0.7721774193548387,0.8845265588914549,0.8245425188374597,433,496,0,0.7049180327868853,0.5477707006369427,0.6164874551971327,157,122,0,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
0.09,1.0,0.0,0.6915644467904087,0.67496328404033,0.5560458994295197,0.5477707006369427,0.6915644467904087,False,806,0,False,0.6915644467904087,0.67496328404033,0.5560458994295197,0.6808510638297872,0.5925925925925926,0.6336633663366337,216,188,0,0.7721774193548387,0.8845265588914549,0.8245425188374597,433,496,0,0.7049180327868853,0.5477707006369427,0.6164874551971327,157,122,0,True,Eligible under coverage>=0.90 and non-collapse gates.,MAXIMIZE_MACRO_F1_SUBJECT_TO_COVERAGE_GTE_0_90,0.9,DEVELOPMENT_OOF_ONLY,False
