macro_f1,weighted_f1,accuracy,balanced_accuracy,mcc,ece,brier_score,model_id,fold,preprocessing,feature_kind,classifier_kind,class_weight,C,coverage,abstention_rate,class_collapse,precision_Negative,recall_Negative,f1_Negative,support_Negative,precision_Neutral,recall_Neutral,f1_Neutral,support_Neutral,precision_Positive,recall_Positive,f1_Positive,support_Positive
0.6162162162162163,0.6808141474808141,0.7098765432098766,0.5939727568386349,0.4974606998673584,0.2279008377433862,0.1662879968248149,tfidf_word_logreg_social_C1_balanced,1,social_normalized,word,logreg,balanced,1.0,1.0,0.0,False,0.7741935483870968,0.5581395348837209,0.6486486486486487,43,0.6949152542372882,0.9425287356321839,0.8,87,0.6923076923076923,0.28125,0.4,32
0.5513541394894125,0.6352992375290665,0.6708074534161491,0.5454926950128337,0.41730985755730976,0.20128712869884305,0.16581691930012335,tfidf_word_logreg_social_C1_balanced,2,social_normalized,word,logreg,balanced,1.0,1.0,0.0,False,0.6388888888888888,0.5348837209302325,0.5822784810126582,43,0.6929824561403509,0.9080459770114943,0.7860696517412935,87,0.5454545454545454,0.1935483870967742,0.2857142857142857,31
0.5615479859698698,0.6330840892379921,0.6583850931677019,0.5468321103264322,0.39631214516450897,0.20343906102206902,0.1704832298904501,tfidf_word_logreg_social_C1_balanced,3,social_normalized,word,logreg,balanced,1.0,1.0,0.0,False,0.5263157894736842,0.46511627906976744,0.49382716049382713,43,0.7,0.8850574712643678,0.7817258883248731,87,0.6923076923076923,0.2903225806451613,0.4090909090909091,31
0.609940984940985,0.6698196558445005,0.7018633540372671,0.5807474595921708,0.4869893512145486,0.21818079979032293,0.16108819972630958,tfidf_word_logreg_social_C1_balanced,4,social_normalized,word,logreg,balanced,1.0,1.0,0.0,False,0.7142857142857143,0.45454545454545453,0.5555555555555556,44,0.680327868852459,0.9651162790697675,0.7980769230769231,86,0.9090909090909091,0.3225806451612903,0.47619047619047616,31
0.5571417173312908,0.6155288126027875,0.6521739130434783,0.533187984496124,0.3875415904147725,0.1778698104041211,0.16689558699336207,tfidf_word_logreg_social_C1_balanced,5,social_normalized,word,logreg,balanced,1.0,1.0,0.0,False,0.6086956521739131,0.32558139534883723,0.42424242424242425,43,0.64,0.9302325581395349,0.7582938388625592,86,0.8461538461538461,0.34375,0.4888888888888889,32
0.5694657355362517,0.6470588853771729,0.6851851851851852,0.5576355475363094,0.4489165127430832,0.23867529351321107,0.16569838590749986,tfidf_word_logreg_social_C1_balanced,6,social_normalized,word,logreg,balanced,1.0,1.0,0.0,False,0.6666666666666666,0.5116279069767442,0.5789473684210527,43,0.6890756302521008,0.9425287356321839,0.7961165048543689,87,0.7,0.21875,0.3333333333333333,32
0.5898910075491614,0.6481267222695627,0.6708074534161491,0.570418466685637,0.42011310293504844,0.18701681791106764,0.16642178368852154,tfidf_word_logreg_social_C1_balanced,7,social_normalized,word,logreg,balanced,1.0,1.0,0.0,False,0.5666666666666667,0.3953488372093023,0.4657534246575342,43,0.6964285714285714,0.896551724137931,0.7839195979899497,87,0.6842105263157895,0.41935483870967744,0.52,31
0.5384582668793195,0.6210399516578007,0.6645962732919255,0.5308194864808157,0.4033976885537361,0.19615279120458284,0.16894166755169082,tfidf_word_logreg_social_C1_balanced,8,social_normalized,word,logreg,balanced,1.0,1.0,0.0,False,0.6875,0.5116279069767442,0.5866666666666667,43,0.6557377049180327,0.9195402298850575,0.7655502392344498,87,0.7142857142857143,0.16129032258064516,0.2631578947368421,31
0.5796345141193265,0.6486269573214997,0.6832298136645962,0.5590659028393462,0.4478512236971386,0.20052516060909792,0.16535848153145413,tfidf_word_logreg_social_C1_balanced,9,social_normalized,word,logreg,balanced,1.0,1.0,0.0,False,0.7241379310344828,0.4772727272727273,0.5753424657534246,44,0.6694214876033058,0.9418604651162791,0.782608695652174,86,0.7272727272727273,0.25806451612903225,0.38095238095238093,31
0.6074775372369294,0.6611242599339366,0.6894409937888198,0.5784883720930233,0.46139911060801897,0.2204573545332871,0.16476916619164161,tfidf_word_logreg_social_C1_balanced,10,social_normalized,word,logreg,balanced,1.0,1.0,0.0,False,0.6666666666666666,0.4186046511627907,0.5142857142857142,43,0.675,0.9418604651162791,0.7864077669902912,86,0.8571428571428571,0.375,0.5217391304347826,32
