model_id,model_family,text_mode,max_length,learning_rate,warmup_ratio,weight_decay,classifier_dropout,loss,label_smoothing,focal_gamma,trial_id,model_revision,seed,fold,training_mode,device,mixed_precision,n,accuracy,macro_f1,weighted_f1,balanced_accuracy,min_class_recall,selection_score,negative_precision,negative_recall,negative_f1,negative_support,neutral_precision,neutral_recall,neutral_f1,neutral_support,positive_precision,positive_recall,positive_f1,positive_support,ece,brier_score,mean_confidence,best_epoch,max_epochs,early_stopping_patience,per_device_batch_size,gradient_accumulation_steps,effective_batch_size,optimizer_steps,best_state_restored,best_state_restore_note,best_selection_score,checkpoint_path,best_checkpoint_saved,best_checkpoint_restored,checkpoint_cleanup_status
indobenchmark/indobert-base-p2,base,context_sep_comment,128,1e-05,0.06,0.01,0.1,cross_entropy,0.0,2.0,indobenchmark__indobert-base-p2__context_sep_comment__len128__lr1p0em05__warm0p06__wd0p01__drop0p1__cross_entropy__ls0p0,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,52,5,full_fine_tuning,cuda,bf16,468,0.9166666666666666,0.8998624832627655,0.9151758117152755,0.8930071825450603,0.8191489361702128,0.8954613234311395,0.8651685393258427,0.8191489361702128,0.8415300546448088,94,0.9440559440559441,0.8598726114649682,0.9,157,0.9194915254237288,1.0,0.9580573951434879,217,0.041607801858176564,0.13877082741698157,0.9504333734512329,7,15,3,12,6,72,190,True,best_validation_state_restored,,,,,
indobenchmark/indobert-base-p2,base,context_sep_comment,128,1e-05,0.06,0.01,0.1,cross_entropy,0.0,2.0,indobenchmark__indobert-base-p2__context_sep_comment__len128__lr1p0em05__warm0p06__wd0p01__drop0p1__cross_entropy__ls0p0,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,52,ALL_OOF,full_fine_tuning,cuda,bf16,1824,0.8612938596491229,0.8563871728369996,0.8620724587662278,0.8613749255650536,0.8489361702127659,0.8581116291638241,0.7932405566600398,0.8489361702127659,0.8201438848920863,470,0.9220246238030095,0.8553299492385786,0.8874259381171824,788,0.8440677966101695,0.8798586572438163,0.8615916955017301,566,0.044920340278431004,0.2138924222820146,0.8966667350512325,6,,,,,,,,,,,,,
indobenchmark/indobert-base-p2,base,context_sep_comment,128,1e-05,0.06,0.01,0.1,cross_entropy,0.0,2.0,indobenchmark__indobert-base-p2__context_sep_comment__len128__lr1p0em05__warm0p06__wd0p01__drop0p1__cross_entropy__ls0p0,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,62,1,full_fine_tuning,cuda,bf16,339,0.7935103244837758,0.7756638067220344,0.7895985749836333,0.770588730508774,0.6136363636363636,0.7638000024993377,0.7938144329896907,0.8191489361702128,0.806282722513089,94,0.8070175438596491,0.8789808917197452,0.8414634146341463,157,0.7605633802816901,0.6136363636363636,0.6792452830188679,88,0.12061567239705087,0.3390890001801384,0.9060186147689819,6,15,3,12,6,72,189,True,best_validation_state_restored,,,,,
indobenchmark/indobert-base-p2,base,context_sep_comment,128,1e-05,0.06,0.01,0.1,cross_entropy,0.0,2.0,indobenchmark__indobert-base-p2__context_sep_comment__len128__lr1p0em05__warm0p06__wd0p01__drop0p1__cross_entropy__ls0p0,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,62,2,full_fine_tuning,cuda,bf16,339,0.8643067846607669,0.8575362232391145,0.8651306700627763,0.8633345819235099,0.8505747126436781,0.8600309123429457,0.8118811881188119,0.8723404255319149,0.841025641025641,94,0.9256756756756757,0.8670886075949367,0.8954248366013072,158,0.8222222222222222,0.8505747126436781,0.8361581920903954,87,0.10313500696930558,0.23893266695556137,0.9553880095481873,14,15,3,12,6,72,315,True,best_validation_state_restored,,,,,
indobenchmark/indobert-base-p2,base,context_sep_comment,128,1e-05,0.06,0.01,0.1,cross_entropy,0.0,2.0,indobenchmark__indobert-base-p2__context_sep_comment__len128__lr1p0em05__warm0p06__wd0p01__drop0p1__cross_entropy__ls0p0,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,62,3,full_fine_tuning,cuda,bf16,339,0.9085545722713865,0.9026894432705189,0.9087104144960816,0.9044642774222907,0.8275862068965517,0.8972936251637369,0.8272727272727273,0.9680851063829787,0.8921568627450981,94,0.9477124183006536,0.9177215189873418,0.932475884244373,158,0.9473684210526315,0.8275862068965517,0.8834355828220859,87,0.0419625780575395,0.14888233603784085,0.9391283392906189,8,15,3,12,6,72,231,True,best_validation_state_restored,,,,,
indobenchmark/indobert-base-p2,base,context_sep_comment,128,1e-05,0.06,0.01,0.1,cross_entropy,0.0,2.0,indobenchmark__indobert-base-p2__context_sep_comment__len128__lr1p0em05__warm0p06__wd0p01__drop0p1__cross_entropy__ls0p0,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,62,4,full_fine_tuning,cuda,bf16,339,0.831858407079646,0.821823614274478,0.8335106418180054,0.8260590056888245,0.8045977011494253,0.8239585390863925,0.7333333333333333,0.8191489361702128,0.7738693467336684,94,0.9121621621621622,0.8544303797468354,0.8823529411764706,158,0.813953488372093,0.8045977011494253,0.8092485549132948,87,0.07277322325382964,0.25147809948928773,0.9023764133453369,6,15,3,12,6,72,189,True,best_validation_state_restored,,,,,
indobenchmark/indobert-base-p2,base,context_sep_comment,128,1e-05,0.06,0.01,0.1,cross_entropy,0.0,2.0,indobenchmark__indobert-base-p2__context_sep_comment__len128__lr1p0em05__warm0p06__wd0p01__drop0p1__cross_entropy__ls0p0,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,62,5,full_fine_tuning,cuda,bf16,468,0.9337606837606838,0.9155346370003906,0.9328735233411131,0.911415277589556,0.8297872340425532,0.9116038388505279,0.8666666666666667,0.8297872340425532,0.8478260869565217,94,0.9342105263157895,0.9044585987261147,0.919093851132686,157,0.9601769911504425,1.0,0.9796839729119639,217,0.05775314754145777,0.09906000816561499,0.9312987327575684,5,15,3,12,6,72,152,True,best_validation_state_restored,,,,,
indobenchmark/indobert-base-p2,base,context_sep_comment,128,1e-05,0.06,0.01,0.1,cross_entropy,0.0,2.0,indobenchmark__indobert-base-p2__context_sep_comment__len128__lr1p0em05__warm0p06__wd0p01__drop0p1__cross_entropy__ls0p0,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,62,ALL_OOF,full_fine_tuning,cuda,bf16,1824,0.8711622807017544,0.8665364067096494,0.8716216894782033,0.8688813074751959,0.8604240282685512,0.8677819112162805,0.805168986083499,0.8617021276595744,0.8324768756423433,470,0.9028497409326425,0.8845177664974619,0.8935897435897436,788,0.8870673952641166,0.8604240282685512,0.873542600896861,566,0.05951239616332349,0.20725417578081506,0.9271572371127835,6,,,,,,,,,,,,,
indobenchmark/indobert-base-p2,base,context_sep_comment,192,2e-05,0.1,0.05,0.2,weighted_cross_entropy,0.03,2.0,indobenchmark__indobert-base-p2__context_sep_comment__len192__lr2p0em05__warm0p1__wd0p05__drop0p2__weighted_cross_entropy__ls0p03,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,42,1,full_fine_tuning,cuda,bf16,339,0.8525073746312685,0.8388580605692567,0.8527373591813521,0.8399709831770532,0.7701149425287356,0.8363011275053674,0.7843137254901961,0.851063829787234,0.8163265306122449,94,0.9161290322580645,0.8987341772151899,0.9073482428115016,158,0.8170731707317073,0.7701149425287356,0.7928994082840237,87,0.09694937671531971,0.24492366929238205,0.9450523257255554,7,15,3,8,8,64,240,True,best_validation_state_restored,,,,,
indobenchmark/indobert-base-p2,base,context_sep_comment,192,2e-05,0.1,0.05,0.2,weighted_cross_entropy,0.03,2.0,indobenchmark__indobert-base-p2__context_sep_comment__len192__lr2p0em05__warm0p1__wd0p05__drop0p2__weighted_cross_entropy__ls0p03,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,42,2,full_fine_tuning,cuda,bf16,339,0.8672566371681416,0.8594005496990572,0.8680168581766786,0.8599938292816066,0.8045977011494253,0.8563957470013293,0.7757009345794392,0.8829787234042553,0.8258706467661692,94,0.9155844155844156,0.8924050632911392,0.9038461538461539,158,0.8974358974358975,0.8045977011494253,0.8484848484848485,87,0.0915526265943297,0.236635809023781,0.947128415107727,8,15,3,8,8,64,264,True,best_validation_state_restored,,,,,
