trial_id,model_id,text_mode,max_length,learning_rate,loss,seed,fold_count,all_oof_macro_f1,all_oof_selection_score,all_oof_balanced_accuracy,all_oof_accuracy,all_oof_min_class_recall,negative_f1,neutral_f1,positive_f1,fold_macro_f1_mean,fold_macro_f1_std,best_checkpoint_restored_all_folds,checkpoint_cleanup_ok_all_folds
indobenchmark__indobert-base-p2__context_sep_comment__len256__lr3p0em05__warm0p06__wd0p05__drop0p3__focal_loss__ls0p05,indobenchmark/indobert-base-p2,context_sep_comment,256,3e-05,focal_loss,42,5,0.8844353150233735,0.8848378680704895,0.8875695007092707,0.8881578947368421,0.8710247349823321,0.8530901722391084,0.9062901155327344,0.8939256572982774,0.8737655017405153,0.034808844275850084,False,False
indobenchmark__indobert-large-p2__context_sep_comment__len128__lr8p0em06__warm0p06__wd0p01__drop0p1__cross_entropy__ls0p0,indobenchmark/indobert-large-p2,context_sep_comment,128,8e-06,cross_entropy,42,5,0.8440625259272897,0.8433114335255791,0.8462121278618416,0.8470394736842105,0.823321554770318,0.8249744114636642,0.8622448979591837,0.8449682683590208,0.8292963729475957,0.03766360105960209,True,True
indobenchmark__indobert-large-p2__context_sep_comment__len192__lr1p0em05__warm0p1__wd0p05__drop0p2__weighted_cross_entropy__ls0p03,indobenchmark/indobert-large-p2,context_sep_comment,192,1e-05,weighted_cross_entropy,42,5,0.8449080852702412,0.8405781504831847,0.8476390462607865,0.8470394736842105,0.7897526501766784,0.8430583501006036,0.8600379987333756,0.8316279069767442,0.827633778681375,0.03944199151854945,True,True
