trial_id,model_id,model_family,text_mode,max_length,learning_rate,warmup_ratio,weight_decay,classifier_dropout,loss,label_smoothing,focal_gamma,training_mode,device,mixed_precision,model_revision,n_seeds,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_macro_f1,std_macro_f1,min_macro_f1,max_macro_f1,mean_weighted_f1,std_weighted_f1,min_weighted_f1,max_weighted_f1,mean_balanced_accuracy,std_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy,mean_min_class_recall,std_min_class_recall,min_min_class_recall,max_min_class_recall,mean_selection_score,std_selection_score,min_selection_score,max_selection_score,mean_negative_recall,std_negative_recall,min_negative_recall,max_negative_recall,mean_negative_f1,std_negative_f1,min_negative_f1,max_negative_f1,mean_neutral_recall,std_neutral_recall,min_neutral_recall,max_neutral_recall,mean_neutral_f1,std_neutral_f1,min_neutral_f1,max_neutral_f1,mean_positive_recall,std_positive_recall,min_positive_recall,max_positive_recall,mean_positive_f1,std_positive_f1,min_positive_f1,max_positive_f1,mean_ece,std_ece,min_ece,max_ece,mean_brier_score,std_brier_score,min_brier_score,max_brier_score,mean_mean_confidence,std_mean_confidence,min_mean_confidence,max_mean_confidence,selected_for_final_training
indobenchmark__indobert-base-p2__context_sep_comment__len256__lr3p0em05__warm0p06__wd0p05__drop0p3__focal_loss__ls0p05,indobenchmark/indobert-base-p2,base,context_sep_comment,256,3e-05,0.06,0.05,0.3,focal_loss,0.05,2.0,full_fine_tuning,cuda,bf16,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,3,0.8832236842105264,0.004270219826589184,0.8777412280701754,0.8881578947368421,0.8793080026199229,0.004435081979933354,0.8736157798308991,0.8844353150233735,0.883833085139827,0.004242184123096534,0.8783940208197712,0.8887450186529608,0.8825816182923792,0.004350189539348828,0.8769688639621132,0.8875695007092707,0.8645465253239104,0.010435833419711013,0.8498233215547704,0.872791519434629,0.8796612825019942,0.004866796930785952,0.8731447853013119,0.8848378680704895,0.8914893617021277,0.0034744535358626687,0.8872340425531915,0.8957446808510638,0.8476207343750821,0.004441581910738238,0.842211055276382,0.8530901722391084,0.8917089678510998,0.0029911454364912877,0.8895939086294417,0.8959390862944162,0.9027844565154193,0.0028560023088139426,0.8992944194996793,0.9062901155327344,0.8645465253239104,0.010435833419711013,0.8498233215547704,0.872791519434629,0.8875188169692677,0.006083952864308637,0.8793418647166362,0.8939256572982774,0.03540579331439663,0.0169985340566826,0.0227635052512612,0.059434411883877,0.19686326874111992,0.011595119851570664,0.1831593783607533,0.2115141079484446,0.8694397752058872,0.025167548909204116,0.8467510616439476,0.9045333421805448,True
indolem__indobertweet-base-uncased__comment_only__len128__lr2p0em05__warm0p1__wd0p01__drop0p2__weighted_cross_entropy__ls0p0,indolem/indobertweet-base-uncased,tweet_base,comment_only,128,2e-05,0.1,0.01,0.2,weighted_cross_entropy,0.0,2.0,full_fine_tuning,cuda,bf16,32e28c05b47e33b6675d2670a1745c50a65e987a,3,0.8801169590643275,0.0031758309936006524,0.8766447368421053,0.8843201754385965,0.8779185284926121,0.0032430043099403952,0.8740752654804166,0.8820075576308382,0.8803944319415793,0.003105045800332502,0.8770720295023204,0.8845422363979453,0.8831724185803703,0.002964924127252224,0.8799098728121276,0.8870847019758955,0.8582910321489002,0.002607620136619719,0.8553299492385786,0.8616751269035533,0.8776660860473072,0.003099660667929272,0.8741384967310817,0.8816835287694487,0.8836879432624114,0.0020059766842171066,0.8808510638297873,0.8851063829787233,0.8572741253504054,0.004715932903627905,0.8507157464212679,0.8616024973985432,0.8582910321489002,0.002607620136619719,0.8553299492385786,0.8616751269035533,0.8893337770929012,0.0035547469616179894,0.885396201702685,0.8940092165898618,0.9075382803297997,0.008202819951227468,0.8992932862190812,0.9187279151943464,0.8871476830345296,0.0031365217076893843,0.8829141370338248,0.8904109589041096,0.049761944864359094,0.005434586379250618,0.0455767218873166,0.0574371207407429,0.19120599604254676,0.004147082170282108,0.1877712345170843,0.1970403229717963,0.9217340809766922,0.004059689048098881,0.9159928368763964,0.9246188411489128,False
indolem__indobertweet-base-uncased__context_sep_comment__len192__lr2p0em05__warm0p1__wd0p05__drop0p2__weighted_cross_entropy__ls0p03,indolem/indobertweet-base-uncased,tweet_base,context_sep_comment,192,2e-05,0.1,0.05,0.2,weighted_cross_entropy,0.03,2.0,full_fine_tuning,cuda,bf16,32e28c05b47e33b6675d2670a1745c50a65e987a,3,0.8775584795321637,0.005755853709072989,0.8695175438596491,0.8826754385964912,0.8756084517638394,0.00548333433131104,0.8679365200618475,0.8804224416704601,0.8778564154618881,0.005726672890493433,0.8698538212859341,0.8829352274840117,0.8808236856780399,0.0042784351716088475,0.874800636467291,0.8843348801045581,0.8616751269035534,0.01469014835379469,0.8413705583756346,0.8756345177664975,0.8758431743911482,0.006240725728206965,0.8671270543136554,0.8814020360446928,0.898581560283688,0.0026536577211162546,0.8957446808510638,0.902127659574468,0.8622259270576281,0.005042021330177911,0.8551165146909828,0.8662551440329218,0.8616751269035534,0.01469014835379469,0.8413705583756346,0.8756345177664975,0.888291169842419,0.007288676710310222,0.8781456953642384,0.8949416342412452,0.8822143698468787,0.0022035673655912157,0.8798586572438163,0.8851590106007067,0.8763082583914711,0.004136720083840681,0.8705473501303215,0.8800705467372134,0.052342630312805234,0.001957561861530259,0.050601364979357,0.0550771484216838,0.19171523661728998,0.006039971450470808,0.1849663975856652,0.199624163987067,0.9235842836399871,0.005459464994689714,0.9159344027570464,0.9283137288630792,False
indobenchmark__indobert-base-p2__context_sep_comment__len192__lr2p0em05__warm0p1__wd0p05__drop0p2__weighted_cross_entropy__ls0p03,indobenchmark/indobert-base-p2,base,context_sep_comment,192,2e-05,0.1,0.05,0.2,weighted_cross_entropy,0.03,2.0,full_fine_tuning,cuda,bf16,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,3,0.8777412280701755,0.002492357766262057,0.8744517543859649,0.8804824561403509,0.8733647935477727,0.0022417570464794154,0.8702573242514414,0.8754625299536828,0.8783954933441818,0.002357155916702686,0.8753073291963447,0.8810266392020982,0.8776947358766328,0.0011325879073456626,0.8761521626492468,0.8788394979653069,0.8648297056911233,0.002445504143243882,0.8621908127208481,0.8680851063829788,0.8746902035846005,0.0019420963619049183,0.8720902083431697,0.8767567688649451,0.8808510638297872,0.010423360607587962,0.8680851063829788,0.8936170212765957,0.8420138167247213,0.005791306450125665,0.837782340862423,0.8502024291497976,0.8794416243654822,0.011949616659750901,0.8642131979695431,0.8934010152284264,0.9011409316272209,0.0028978766684402933,0.8978246539222149,0.9048843187660668,0.872791519434629,0.00865544078721968,0.8621908127208481,0.8833922261484098,0.8769396322913758,0.004918640760876754,0.872207327971403,0.8837209302325582,0.06069177973536197,0.0010486101927629742,0.0592384498337643,0.0616738838225342,0.2016284635597454,0.0015025359175864068,0.2005265480085015,0.2037528754541458,0.9361401548587351,0.0013363982722636768,0.9344186290216288,0.9376763451288928,False
indobenchmark__indobert-base-p2__comment_only__len192__lr2p0em05__warm0p1__wd0p01__drop0p1__weighted_cross_entropy__ls0p0,indobenchmark/indobert-base-p2,base,comment_only,192,2e-05,0.1,0.01,0.1,weighted_cross_entropy,0.0,2.0,full_fine_tuning,cuda,bf16,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,3,0.8744517543859649,0.004841974159170956,0.8695175438596491,0.8810307017543859,0.8705901116573634,0.005082476684115824,0.8652403601291002,0.8774222067813864,0.8749482905879317,0.004751699755465481,0.8702014807215721,0.8814410186352419,0.8746976074340682,0.004157180627685424,0.8708103063634899,0.8804609299378404,0.8595780681859092,0.007570374283138763,0.8531914893617021,0.8702127659574468,0.8714688992841394,0.005019627747229921,0.8666464634060906,0.8783915558221832,0.8609929078014185,0.007020918394760053,0.8531914893617021,0.8702127659574468,0.8346532689567749,0.0067425095063945156,0.8293691830403309,0.8441692466460269,0.8667512690355329,0.010515907694294495,0.8553299492385786,0.8807106598984772,0.8908575957569128,0.004285546014311066,0.8855656697009102,0.8960619754680439,0.8963486454652533,0.0044071347311824905,0.8904593639575972,0.901060070671378,0.8862594702584023,0.0084192758266407,0.8743545611015491,0.8923884514435696,0.0801848298897258,0.010910052247360705,0.0657608383580257,0.0921407914312,0.21075722721350854,0.003635411218913451,0.2057798157767778,0.2143609906155967,0.9535209204816417,0.014753809158245963,0.9370121953257344,0.972825569133356,False
indolem__indobertweet-base-uncased__context_sep_comment__len128__lr1p0em05__warm0p06__wd0p01__drop0p1__cross_entropy__ls0p0,indolem/indobertweet-base-uncased,tweet_base,context_sep_comment,128,1e-05,0.06,0.01,0.1,cross_entropy,0.0,2.0,full_fine_tuning,cuda,bf16,32e28c05b47e33b6675d2670a1745c50a65e987a,3,0.8733552631578947,0.002722891890670905,0.8711622807017544,0.8771929824561403,0.8707873118781215,0.0023185574925764655,0.8690248117299789,0.8740630886675212,0.8735164175816169,0.002723748928597994,0.8714159854192449,0.8773629438901406,0.8731602817034353,0.002357994629318094,0.8701339008516973,0.8758863085622228,0.8634037541037015,0.0033510872748362714,0.8604240282685512,0.8680851063829788,0.8712939354496743,0.002459706027605863,0.8694197649257795,0.874768902554593,0.8751773049645392,0.014774940890779912,0.8617021276595744,0.8957446808510638,0.8557235128572906,0.002472577123551919,0.8535564853556485,0.8591836734693877,0.8756345177664975,0.008224290226405931,0.8642131979695431,0.883248730964467,0.8866961591626984,0.0039910570555909556,0.8833652007648184,0.8923076923076924,0.8686690223792697,0.006504924038390612,0.8604240282685512,0.8763250883392226,0.8699422636143753,0.005246292558118953,0.8634751773049646,0.8763250883392226,0.027498274861851232,0.002328681719260562,0.0249874502289714,0.0305992108361239,0.19160010292115834,0.003716662846603182,0.1871530713392069,0.1962502020415966,0.8938337503306087,0.008181998299434083,0.8878958763783438,0.905403494475442,False
indobenchmark__indobert-base-p2__comment_only__len128__lr3p0em05__warm0p06__wd0p01__drop0p2__focal_loss__ls0p03,indobenchmark/indobert-base-p2,base,comment_only,128,3e-05,0.06,0.01,0.2,focal_loss,0.03,2.0,full_fine_tuning,cuda,bf16,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,3,0.8735380116959064,0.003175830993600644,0.8700657894736842,0.8777412280701754,0.8697353629574406,0.0033354427387535857,0.866261472226847,0.8742357897844407,0.8740990070040094,0.0031328148661364037,0.8709471290217686,0.8783714330370099,0.8741322410737747,0.0036934524480712245,0.8701835071876712,0.8790676909271481,0.8543183209129855,0.009952310513518012,0.8446808510638298,0.868020304568528,0.8702138289978016,0.0038406282530111624,0.8671788114648049,0.8756322529771114,0.8673758865248228,0.016047813473737217,0.8446808510638298,0.8787234042553191,0.8365129656874813,0.0026771520938680756,0.8343434343434344,0.8402848423194303,0.8663282571912013,0.01249139006787935,0.850253807106599,0.8807106598984772,0.8912215638719699,0.0017897461644489855,0.8891736066623959,0.8935336381450033,0.8886925795053003,0.002498610534228101,0.8851590106007067,0.8904593639575972,0.8814715593128706,0.006302142331428427,0.8734835355285961,0.8888888888888888,0.0284890786183682,0.005142415188689889,0.0217814809691749,0.0342765477763718,0.19678695038497585,0.005389500634172026,0.1897590041939644,0.2028555379094702,0.8668998412962198,0.027234993363038872,0.8357892416973125,0.902120217746287,False
indolem__indobertweet-base-uncased__comment_only__len256__lr3p0em05__warm0p06__wd0p05__drop0p3__focal_loss__ls0p05,indolem/indobertweet-base-uncased,tweet_base,comment_only,256,3e-05,0.06,0.05,0.3,focal_loss,0.05,2.0,full_fine_tuning,cuda,bf16,32e28c05b47e33b6675d2670a1745c50a65e987a,3,0.8702485380116959,0.0022971135032851626,0.8678728070175439,0.8733552631578947,0.867393698211905,0.0020820184362433055,0.8652679282692769,0.8702209606276877,0.8706573869251488,0.0022304019849149386,0.8683974799894428,0.8736930305574645,0.8722218914709118,0.0016418766457362657,0.8705782715979652,0.8744640970088505,0.8557529610829103,0.004187603611087844,0.8527918781725888,0.8616751269035533,0.8680517150907442,0.0022551780234739784,0.8658638555498259,0.871155295290569,0.8716312056737588,0.00657703439396861,0.8659574468085106,0.8808510638297873,0.8415137429090042,0.002250845908827357,0.8389057750759878,0.8443983402489627,0.8557529610829103,0.004187603611087844,0.8527918781725888,0.8616751269035533,0.8830175383194646,0.0033621517604472714,0.8795811518324608,0.8875816993464052,0.8892815076560661,0.007945075125578356,0.8780918727915195,0.8957597173144877,0.8776498134072465,0.0007456788328003731,0.8769497400346621,0.878682842287695,0.040350266955575004,0.004719204927285215,0.0343010179502399,0.045816465248272,0.19440962351134836,0.0030152719879733597,0.1901558276210035,0.1967948103154541,0.83270187479885,0.007777173570103338,0.8220563417692718,0.8404186156235243,False
indobenchmark__indobert-base-p2__context_sep_comment__len256__lr1p0em05__warm0p1__wd0p05__drop0p1__cross_entropy__ls0p05,indobenchmark/indobert-base-p2,base,context_sep_comment,256,1e-05,0.1,0.05,0.1,cross_entropy,0.05,2.0,full_fine_tuning,cuda,bf16,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,3,0.8709795321637426,0.004828159654101921,0.8667763157894737,0.8777412280701754,0.8662542197076748,0.0048837670282232916,0.861801571708396,0.8730529845133641,0.8714031870219704,0.004748974272966806,0.8672537661408962,0.8780512840339368,0.8690278854309686,0.004302781697005091,0.8647298378771566,0.8749073228467358,0.8560283687943263,0.005584402747526125,0.851063829787234,0.8638297872340426,0.8672039614978191,0.00481680445503175,0.8628058739743553,0.8739080055191497,0.8560283687943263,0.005584402747526125,0.851063829787234,0.8638297872340426,0.8338563614167723,0.006105655814944082,0.8281573498964804,0.8423236514522822,0.8794416243654822,0.010205023757880571,0.8692893401015228,0.8934010152284264,0.8945493637858218,0.00447302621374271,0.8907672301690507,0.9008317338451696,0.8716136631330977,0.0058300912465322355,0.8674911660777385,0.8798586572438163,0.8703569339204303,0.004424730037795559,0.8651982378854626,0.8760035682426405,0.03957944770196547,0.007114390079232119,0.0312267318367958,0.0486133690727384,0.20346158835700626,0.004375659266945871,0.1991397668814924,0.2094579893347396,0.9082022659230041,0.006947252622425984,0.8985400169826391,0.9145752034689252,False
indobenchmark__indobert-base-p2__context_sep_comment__len128__lr1p0em05__warm0p06__wd0p01__drop0p1__cross_entropy__ls0p0,indobenchmark/indobert-base-p2,base,context_sep_comment,128,1e-05,0.06,0.01,0.1,cross_entropy,0.0,2.0,full_fine_tuning,cuda,bf16,,3,0.8684210526315789,0.005084220666390178,0.8612938596491229,0.8728070175438597,0.8633635682626707,0.0049397720135011475,0.8563871728369996,0.8671671252413627,0.8689145691265692,0.004873093375992612,0.8620724587662278,0.8730495591352763,0.8662353033517447,0.0034413205203396315,0.8613749255650536,0.8688813074751959,0.8499285767987369,0.008194454109364572,0.8404255319148937,0.8604240282685512,0.8641116614447646,0.0042778112510512105,0.8581116291638241,0.8677819112162805,0.8503546099290779,0.008743849649601355,0.8404255319148937,0.8617021276595744,0.8271939785901754,0.005187671487960483,0.8201438848920863,0.8324768756423433,0.8773265651438239,0.015861534060281467,0.8553299492385786,0.8921319796954315,0.8933308879347042,0.00471924492156727,0.8874259381171824,0.8989769820971867,0.8710247349823321,0.00803190912661123,0.8604240282685512,0.8798586572438163,0.8695658382631318,0.005638576703074208,0.8615916955017301,0.8735632183908046,0.0443840604711171,0.012576887738965526,0.0287194449715969,0.0595123961633234,0.20634992859262755,0.0065588186305329255,0.197903187715053,0.2138924222820146,0.9079777027060937,0.013634599029365247,0.8966667350512325,0.9271572371127836,False
