label,precision,recall,f1,support
Negative,0.8143133462282398,0.8957446808510638,0.8530901722391084,470
Neutral,0.9168831168831169,0.8959390862944162,0.9062901155327343,788
Positive,0.9180633147113594,0.8710247349823321,0.8939256572982774,566
