brand,weekday_number,weekday_name_id,n_active_hcc,active_hcc_share_within_brand,n_community_actors,n_comments,n_unique_videos,comments_per_active_hcc,comments_per_active_video,positive_ratio,neutral_ratio,negative_ratio,hcc_ids
Azarine,1,Senin,6,0.6666666666666666,33,48,10,8.0,4.8,0.3333333333333333,0.5625,0.10416666666666667,1;17;45;48;54;180
Azarine,2,Selasa,8,0.8888888888888888,33,45,9,5.625,5.0,0.4,0.4222222222222222,0.17777777777777778,1;17;45;54;90;132;180;204
Azarine,3,Rabu,4,0.4444444444444444,19,19,8,4.75,2.375,0.2631578947368421,0.5789473684210527,0.15789473684210525,45;54;90;132
Azarine,4,Kamis,7,0.7777777777777778,33,48,10,6.857142857142857,4.8,0.3333333333333333,0.5416666666666666,0.125,1;17;45;48;54;132;204
Azarine,5,Jumat,5,0.5555555555555556,23,32,10,6.4,3.2,0.21875,0.46875,0.3125,1;17;48;54;90
Azarine,6,Sabtu,4,0.4444444444444444,19,33,10,8.25,3.3,0.36363636363636365,0.5151515151515151,0.12121212121212122,17;45;48;54
Azarine,7,Minggu,3,0.3333333333333333,15,17,6,5.666666666666667,2.8333333333333335,0.29411764705882354,0.29411764705882354,0.4117647058823529,1;17;54
Daviena,1,Senin,6,0.3,26,35,10,5.833333333333333,3.5,0.34285714285714286,0.5714285714285714,0.08571428571428572,1;14;52;54;87;103
Daviena,2,Selasa,14,0.7,56,78,19,5.571428571428571,4.105263157894737,0.3333333333333333,0.5256410256410257,0.14102564102564102,1;14;34;42;46;52;54;63;74;87;90;103;134;168
Daviena,3,Rabu,10,0.5,37,49,18,4.9,2.7222222222222223,0.30612244897959184,0.5102040816326531,0.1836734693877551,20;49;52;54;63;74;75;90;103;134
Daviena,4,Kamis,14,0.7,59,87,19,6.214285714285714,4.578947368421052,0.28735632183908044,0.5402298850574713,0.1724137931034483,1;14;16;20;34;46;52;54;60;63;75;87;103;134
Daviena,5,Jumat,11,0.55,42,52,14,4.7272727272727275,3.7142857142857144,0.2692307692307692,0.6346153846153846,0.09615384615384616,1;16;20;49;54;63;74;87;90;103;134
Daviena,6,Sabtu,10,0.5,42,69,23,6.9,3.0,0.5072463768115942,0.30434782608695654,0.18840579710144928,20;42;46;52;54;63;75;87;103;134
Daviena,7,Minggu,12,0.6,41,56,17,4.666666666666667,3.2941176470588234,0.39285714285714285,0.35714285714285715,0.25,1;16;20;34;49;54;60;63;74;103;134;181
Maryame,1,Senin,9,0.4090909090909091,44,65,14,7.222222222222222,4.642857142857143,0.4461538461538462,0.4153846153846154,0.13846153846153847,1;14;17;45;48;52;87;113;150
Maryame,2,Selasa,15,0.6818181818181818,60,72,15,4.8,4.8,0.3611111111111111,0.4861111111111111,0.1527777777777778,1;3;14;17;34;45;50;52;63;74;87;90;113;132;150
Maryame,3,Rabu,12,0.5454545454545454,44,59,14,4.916666666666667,4.214285714285714,0.4406779661016949,0.3898305084745763,0.1694915254237288,2;20;45;49;52;63;74;75;90;132;150;206
Maryame,4,Kamis,17,0.7727272727272727,76,101,22,5.9411764705882355,4.590909090909091,0.38613861386138615,0.48514851485148514,0.12871287128712872,1;2;3;14;17;20;34;45;48;52;63;75;87;113;114;132;150
Maryame,5,Jumat,13,0.5909090909090909,58,79,16,6.076923076923077,4.9375,0.3291139240506329,0.46835443037974683,0.20253164556962025,1;3;17;20;48;49;50;63;74;87;90;114;150
Maryame,6,Sabtu,12,0.5454545454545454,57,84,18,7.0,4.666666666666667,0.42857142857142855,0.36904761904761907,0.20238095238095238,2;17;20;45;48;50;52;63;75;87;114;150
Maryame,7,Minggu,8,0.36363636363636365,27,33,10,4.125,3.3,0.3333333333333333,0.45454545454545453,0.21212121212121213,1;17;20;34;49;63;74;150
The Originote,1,Senin,9,0.4090909090909091,50,87,19,9.666666666666666,4.578947368421052,0.47126436781609193,0.39080459770114945,0.13793103448275862,5;14;17;45;48;52;99;150;191
The Originote,2,Selasa,15,0.6818181818181818,63,80,18,5.333333333333333,4.444444444444445,0.225,0.575,0.2,3;5;14;15;17;18;34;45;46;52;63;132;134;150;191
The Originote,3,Rabu,12,0.5454545454545454,53,91,21,7.583333333333333,4.333333333333333,0.45054945054945056,0.4065934065934066,0.14285714285714285,5;18;45;49;52;63;117;132;134;150;183;205
The Originote,4,Kamis,17,0.7727272727272727,79,100,24,5.882352941176471,4.166666666666667,0.41,0.49,0.1,3;5;14;16;17;34;45;46;48;52;63;99;117;132;134;150;191
The Originote,5,Jumat,9,0.4090909090909091,39,57,16,6.333333333333333,3.5625,0.19298245614035087,0.5614035087719298,0.24561403508771928,3;5;16;17;48;49;63;134;150
The Originote,6,Sabtu,11,0.5,55,78,22,7.090909090909091,3.5454545454545454,0.2692307692307692,0.5128205128205128,0.21794871794871795,5;17;45;46;48;52;63;117;134;150;183
The Originote,7,Minggu,11,0.5,42,47,15,4.2727272727272725,3.1333333333333333,0.40425531914893614,0.3829787234042553,0.2127659574468085,5;15;16;17;34;49;63;134;150;183;205
