weekday,weekday_number,all_comment_count,community_comment_count,overall_weekday_share,community_weekday_share,weekday_activity_lift,community_comment_prevalence,active_video_count,community_active_video_count,community_comments_per_active_video
Senin,1,3941,128,0.11663904344737777,0.13473684210526315,1.1551607259712335,0.03247906622684598,55,25,5.12
Selasa,2,6604,162,0.195454007339884,0.1705263157894737,0.8724626223341515,0.024530587522713507,55,30,5.4
Rabu,3,5087,142,0.1505564105599621,0.14947368421052631,0.9928085005121414,0.027914291330843326,55,35,4.057142857142857
Kamis,4,6013,177,0.17796259026873446,0.1863157894736842,1.0469379502306406,0.029436221520039912,55,33,5.363636363636363
Jumat,5,4194,109,0.12412690896176157,0.11473684210526315,0.9243510779810757,0.025989508822126847,55,25,4.36
Sabtu,6,4193,145,0.12409731265538061,0.15263157894736842,1.2299346027840887,0.034581445265919386,55,37,3.918918918918919
Minggu,7,3756,87,0.11116372676689949,0.09157894736842105,0.8238204136539431,0.0231629392971246,54,26,3.3461538461538463
