scope,weekday_number,hour_local,weekday_name_id,n_comments,n_accounts,n_unique_videos
All Dataset,6,11,Sabtu,242,196,45
All Dataset,6,12,Sabtu,200,174,44
All Dataset,6,13,Sabtu,200,174,40
All Dataset,6,14,Sabtu,202,187,45
All Dataset,6,15,Sabtu,424,397,39
All Dataset,6,16,Sabtu,246,229,39
All Dataset,6,17,Sabtu,329,265,47
All Dataset,6,18,Sabtu,230,214,44
All Dataset,6,19,Sabtu,226,213,46
All Dataset,6,20,Sabtu,228,212,45
All Dataset,6,21,Sabtu,218,204,42
All Dataset,6,22,Sabtu,204,191,46
All Dataset,6,23,Sabtu,131,118,32
All Dataset,7,0,Minggu,78,77,29
All Dataset,7,1,Minggu,47,45,20
All Dataset,7,2,Minggu,40,34,21
All Dataset,7,3,Minggu,46,43,17
All Dataset,7,4,Minggu,40,37,19
All Dataset,7,5,Minggu,65,62,26
All Dataset,7,6,Minggu,134,124,39
All Dataset,7,7,Minggu,125,116,38
All Dataset,7,8,Minggu,179,166,44
All Dataset,7,9,Minggu,204,192,42
All Dataset,7,10,Minggu,250,207,48
All Dataset,7,11,Minggu,210,188,45
All Dataset,7,12,Minggu,156,146,41
All Dataset,7,13,Minggu,188,177,40
All Dataset,7,14,Minggu,184,169,44
All Dataset,7,15,Minggu,209,191,42
All Dataset,7,16,Minggu,158,148,43
All Dataset,7,17,Minggu,193,173,40
All Dataset,7,18,Minggu,196,180,45
All Dataset,7,19,Minggu,214,198,43
All Dataset,7,20,Minggu,205,194,45
All Dataset,7,21,Minggu,235,210,43
All Dataset,7,22,Minggu,224,199,45
All Dataset,7,23,Minggu,176,158,36
LCN,1,0,Senin,8,8,8
LCN,1,1,Senin,2,2,2
LCN,1,2,Senin,1,1,1
LCN,1,3,Senin,0,0,0
LCN,1,4,Senin,3,3,2
LCN,1,5,Senin,8,8,5
LCN,1,6,Senin,12,12,5
LCN,1,7,Senin,18,18,7
LCN,1,8,Senin,20,20,10
LCN,1,9,Senin,3,3,3
LCN,1,10,Senin,26,21,11
LCN,1,11,Senin,22,19,14
LCN,1,12,Senin,20,20,14
LCN,1,13,Senin,21,17,14
LCN,1,14,Senin,12,12,9
LCN,1,15,Senin,19,19,14
LCN,1,16,Senin,18,14,8
LCN,1,17,Senin,30,29,14
LCN,1,18,Senin,18,18,12
LCN,1,19,Senin,20,20,10
LCN,1,20,Senin,22,22,14
LCN,1,21,Senin,21,21,12
LCN,1,22,Senin,32,32,16
LCN,1,23,Senin,25,22,12
LCN,2,0,Selasa,12,12,5
LCN,2,1,Selasa,6,6,6
LCN,2,2,Selasa,4,4,4
LCN,2,3,Selasa,9,9,3
LCN,2,4,Selasa,10,8,4
LCN,2,5,Selasa,9,8,4
LCN,2,6,Selasa,13,13,6
LCN,2,7,Selasa,25,21,8
LCN,2,8,Selasa,18,18,12
LCN,2,9,Selasa,11,11,7
LCN,2,10,Selasa,31,31,19
LCN,2,11,Selasa,36,32,14
LCN,2,12,Selasa,16,16,10
LCN,2,13,Selasa,23,23,14
LCN,2,14,Selasa,32,30,24
LCN,2,15,Selasa,14,13,9
LCN,2,16,Selasa,19,19,15
LCN,2,17,Selasa,27,24,13
LCN,2,18,Selasa,32,32,14
LCN,2,19,Selasa,13,13,10
LCN,2,20,Selasa,42,36,18
LCN,2,21,Selasa,27,19,15
LCN,2,22,Selasa,23,23,15
LCN,2,23,Selasa,14,14,7
LCN,3,0,Rabu,21,12,8
LCN,3,1,Rabu,0,0,0
LCN,3,2,Rabu,0,0,0
LCN,3,3,Rabu,4,1,4
LCN,3,4,Rabu,1,1,1
LCN,3,5,Rabu,2,2,2
LCN,3,6,Rabu,4,4,4
