metric,value,notes
analysis_timezone,Asia/Jakarta,Output utama menggunakan WIB.
total_comments,33847,Semua komentar pada comment_sentiment.csv.
valid_timestamp_comments,33788,Timestamp berhasil dibaca.
invalid_timestamp_comments,59,Dikeluarkan dari agregasi temporal.
community_actor_comments,1009,Komentar dari akun yang terdaftar pada gephi_hcc_nodes.csv.
individual_actor_comments,32838,Komentar dari akun di luar HCC valid.
valid_hcc_count,42,Jumlah HCC valid dari node Gephi dan focal_structures.csv.
