weekday_number,weekday_name_id,n_comments,comment_share,n_unique_community_actors,n_active_hcc,n_unique_videos,comments_per_active_video,comments_per_active_hcc,positive_ratio,neutral_ratio,negative_ratio,dominant_sentiment,dominant_goal_orientation_context
1,Senin,128,0.13473684210526315,84,16,25,5.12,8.0,0.453125,0.421875,0.125,Positive,Mixed Goals
2,Selasa,162,0.1705263157894737,118,27,30,5.4,6.0,0.42592592592592593,0.42592592592592593,0.14814814814814814,Positive,Mixed Goals
3,Rabu,142,0.14947368421052631,95,21,35,4.057142857142857,6.761904761904762,0.4084507042253521,0.44366197183098594,0.14788732394366197,Neutral,Mixed Goals
4,Kamis,177,0.1863157894736842,131,28,33,5.363636363636363,6.321428571428571,0.4406779661016949,0.4519774011299435,0.10734463276836158,Neutral,Mixed Goals
5,Jumat,109,0.11473684210526315,84,19,25,4.36,5.7368421052631575,0.30275229357798167,0.48623853211009177,0.21100917431192662,Neutral,Mixed Goals
6,Sabtu,145,0.15263157894736842,98,20,37,3.918918918918919,7.25,0.41379310344827586,0.41379310344827586,0.1724137931034483,Positive,Mixed Goals
7,Minggu,87,0.09157894736842105,67,18,26,3.3461538461538463,4.833333333333333,0.42528735632183906,0.3448275862068966,0.22988505747126436,Positive,Mixed Goals
