brand_label_auto,weekday_name_id,weekday_number,brand_weekday_share,overall_weekday_share,brand_weekday_activity_lift,n_comments
Azarine,Senin,1,0.20202020202020202,0.11663904344737777,1.7320118208217674,20
Azarine,Selasa,2,0.2828282828282828,0.195454007339884,1.4470324076623289,28
Azarine,Rabu,3,0.0707070707070707,0.1505564105599621,0.4696383929723816,7
Azarine,Kamis,4,0.20202020202020202,0.17796259026873446,1.1351835333209024,20
Azarine,Jumat,5,0.0707070707070707,0.12412690896176157,0.5696353135551991,7
Azarine,Sabtu,6,0.10101010101010101,0.12409731265538061,0.8139588106199124,10
Azarine,Minggu,7,0.0707070707070707,0.11116372676689949,0.6360624347844794,7
Daviena,Senin,1,0.06,0.11663904344737777,0.5144075107840649,12
Daviena,Selasa,2,0.165,0.195454007339884,0.8441883706844336,33
Daviena,Rabu,3,0.12,0.1505564105599621,0.7970434440731277,24
Daviena,Kamis,4,0.185,0.17796259026873446,1.0395443206386163,37
Daviena,Jumat,5,0.085,0.12412690896176157,0.6847830233667145,17
Daviena,Sabtu,6,0.19,0.12409731265538061,1.5310565227760553,38
Daviena,Minggu,7,0.195,0.11116372676689949,1.7541693290734826,39
Maryame,Senin,1,0.1342281879194631,0.11663904344737777,1.1507998004117783,20
Maryame,Selasa,2,0.174496644295302,0.195454007339884,0.8927759868942556,26
Maryame,Rabu,3,0.11409395973154363,0.1505564105599621,0.7578153551030856,17
Maryame,Kamis,4,0.2080536912751678,0.17796259026873446,1.169086665691896,31
Maryame,Jumat,5,0.1476510067114094,0.12412690896176157,1.1895165032820938,22
Maryame,Sabtu,6,0.2080536912751678,0.12409731265538061,1.6765366374446384,31
Maryame,Minggu,7,0.013422818791946308,0.11116372676689949,0.12074818992073531,2
The Originote,Senin,1,0.15350877192982457,0.11663904344737777,1.31610108753233,35
The Originote,Selasa,2,0.17105263157894737,0.195454007339884,0.8751554082055533,39
The Originote,Rabu,3,0.2719298245614035,0.1505564105599621,1.8061656992885202,62
The Originote,Kamis,4,0.15350877192982457,0.17796259026873446,0.8625901190695016,35
The Originote,Jumat,5,0.02631578947368421,0.12412690896176157,0.21200712797731094,6
The Originote,Sabtu,6,0.12719298245614036,0.12409731265538061,1.024945502320074,29
The Originote,Minggu,7,0.09649122807017543,0.11116372676689949,0.8680100143863385,22
Mixed_2_Brands,Senin,1,0.07142857142857142,0.11663904344737777,0.6123898937905534,4
Mixed_2_Brands,Selasa,2,0.19642857142857142,0.195454007339884,1.0049861555767066,11
Mixed_2_Brands,Rabu,3,0.14285714285714285,0.1505564105599621,0.9488612429441995,8
Mixed_2_Brands,Kamis,4,0.25,0.17796259026873446,1.4047896224846168,14
Mixed_2_Brands,Jumat,5,0.17857142857142858,0.12412690896176157,1.4386197969888959,10
Mixed_2_Brands,Sabtu,6,0.16071428571428573,0.12409731265538061,1.295066607611325,9
Mixed_2_Brands,Minggu,7,0.0,0.11116372676689949,0.0,0
Mixed_3plus_Brands,Senin,1,0.155,0.11663904344737777,1.3288860695255011,31
Mixed_3plus_Brands,Selasa,2,0.125,0.195454007339884,0.6395366444579043,25
Mixed_3plus_Brands,Rabu,3,0.09,0.1505564105599621,0.5977825830548457,18
Mixed_3plus_Brands,Kamis,4,0.2,0.17796259026873446,1.1238316979876934,40
Mixed_3plus_Brands,Jumat,5,0.205,0.12412690896176157,1.6515355269432523,41
Mixed_3plus_Brands,Sabtu,6,0.14,0.12409731265538061,1.1281469115191987,28
Mixed_3plus_Brands,Minggu,7,0.085,0.11116372676689949,0.7646379126730565,17
Not identified,Senin,1,0.3333333333333333,0.11663904344737777,2.8578195043559163,6
Not identified,Selasa,2,0.0,0.195454007339884,0.0,0
Not identified,Rabu,3,0.3333333333333333,0.1505564105599621,2.214009566869799,6
Not identified,Kamis,4,0.0,0.17796259026873446,0.0,0
Not identified,Jumat,5,0.3333333333333333,0.12412690896176157,2.685423621045939,6
Not identified,Sabtu,6,0.0,0.12409731265538061,0.0,0
Not identified,Minggu,7,0.0,0.11116372676689949,0.0,0
