metric,value
timestamp_source_timezone_for_naive_values,UTC
analysis_timezone,Asia/Jakarta
timezone_sensitivity,Asia/Jakarta; Asia/Makassar
total_comments,33847
valid_timestamps,33788
invalid_timestamps,59
timestamp_rows_with_explicit_offset,33847
timestamp_rows_without_explicit_offset,0
timezone_aware_valid_timestamps,33788
timezone_naive_valid_timestamps,0
n_comments_weekday_changed_wib_vs_wita,1037
weekday_changed_percentage_wib_vs_wita,0.03069136971705931
