comment_id,timestamp
7313610614231597829,2023-12-17T17:04:42+00:00
7313864638628709126,2023-12-18T09:30:29+00:00
7419214368988971781,2024-09-27T07:28:07+00:00
7412679702211789573,2024-09-09T16:23:32+00:00
7340244506267239173,2023-12-17T10:51:44+00:00
7340244606807933702,2024-02-27T11:38:10+00:00
7340944424291091206,2024-02-29T08:53:50+00:00
7413911087689646854,2024-09-13T00:01:42+00:00
7327069054786601733,2024-01-22T23:30:26+00:00
7327146012157444870,2024-01-23T04:29:05+00:00
7342497001139356421,2024-03-04T13:18:38+00:00
7327189956396696325,2024-01-23T07:19:38+00:00
7327455034182484742,2024-01-24T00:28:16+00:00
7327474378933158662,2024-01-24T01:43:20+00:00
7327505321357673222,2024-01-24T03:43:20+00:00
7327508415033869061,2024-01-24T03:55:19+00:00
7327508556155405062,2024-01-24T03:55:48+00:00
7327644262292013829,2024-01-24T12:42:29+00:00
7330585451604329222,2024-02-01T10:55:46+00:00
7332754460739191557,2024-02-07T07:12:39+00:00
