weekday_number,weekday_name_id,hour_local,n_active_hcc,n_comments,n_community_actors,n_unique_videos,hcc_ids
6,Sabtu,11,6,19,18,7,5;20;40;43;44;52
6,Sabtu,12,3,4,4,4,5;52;150
6,Sabtu,13,2,2,2,2,5;52
6,Sabtu,14,1,1,1,1,150
6,Sabtu,15,4,7,7,3,5;52;86;150
6,Sabtu,16,2,7,7,3,50;150
6,Sabtu,17,6,14,14,6,2;5;43;53;133;150
6,Sabtu,18,3,7,7,3,5;40;62
6,Sabtu,19,0,0,0,0,
6,Sabtu,20,2,5,5,2,62;74
6,Sabtu,21,2,10,10,2,46;184
6,Sabtu,22,2,7,7,2,53;116
6,Sabtu,23,2,7,7,2,5;48
7,Minggu,0,0,0,0,0,
7,Minggu,1,2,2,2,2,58;133
7,Minggu,2,0,0,0,0,
7,Minggu,3,0,0,0,0,
7,Minggu,4,0,0,0,0,
7,Minggu,5,0,0,0,0,
7,Minggu,6,2,8,8,2,16;20
7,Minggu,7,0,0,0,0,
7,Minggu,8,4,13,9,5,5;52;53;205
7,Minggu,9,2,4,4,2,53;73
7,Minggu,10,3,8,8,4,1;5;20
7,Minggu,11,2,2,2,2,53;150
7,Minggu,12,2,2,2,2,52;53
7,Minggu,13,1,9,5,1,182
7,Minggu,14,1,1,1,1,150
7,Minggu,15,1,5,5,1,47
7,Minggu,16,0,0,0,0,
7,Minggu,17,2,4,4,2,20;34
7,Minggu,18,2,3,3,3,5;52
7,Minggu,19,1,6,6,1,15
7,Minggu,20,2,8,8,2,5;17
7,Minggu,21,2,2,2,2,5;52
7,Minggu,22,1,1,1,1,53
7,Minggu,23,1,1,1,1,52
