username,n_comments,n_valid_text_comments,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,dominant_sentiment,avg_sentiment_confidence,is_hcc_member,community,primary_brand,brand_label_auto,brand_combo,brand_confidence,degree,weighted_degree,betweenness,narrative_similarity_level
keyra5024,1,1,1,0,0,1.0,0.0,0.0,Positive,0.9349061250686646,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
puteriashsindarila,1,1,1,0,0,1.0,0.0,0.0,Positive,0.9349061250686646,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
mad_sulaeman,1,1,1,0,0,1.0,0.0,0.0,Positive,0.9349061250686646,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
mbakdesa02,1,1,1,0,0,1.0,0.0,0.0,Positive,0.9864615797996521,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
adekrozene.04,1,1,1,0,0,1.0,0.0,0.0,Positive,0.9349061250686646,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
2017.1112candra,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.5542645454406738,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
varida6069,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9756799340248108,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
hasibuan26m,1,1,1,0,0,1.0,0.0,0.0,Positive,0.7788127064704895,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
reshakharina1,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9106934070587158,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
liaalezaa,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9972620010375977,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
teuku_alfa88,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.9789469242095947,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
sipencuridonat,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.6861620545387268,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
awesomebaby__1,1,1,0,1,0,0.0,1.0,0.0,Neutral,0.6123958230018616,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
chapcuttemplat,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9966174960136414,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
mami.nduuett,1,1,0,0,1,0.0,0.0,1.0,Negative,0.78075110912323,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
kawaitoriy.com_,1,1,0,0,1,0.0,0.0,1.0,Negative,0.9914625287055969,False,Non-HCC,Non-HCC,Non-HCC,Non-HCC,Non-HCC,,,,Non-HCC
