brand_label_auto,n_comments,n_valid_text_comments,positive_count,neutral_count,negative_count,uncertain_count,no_text_count,positive_ratio,neutral_ratio,negative_ratio,evaluable_coverage,soft_denominator,positive_probability_mass,neutral_probability_mass,negative_probability_mass,soft_positive_share,soft_neutral_share,soft_negative_share,dominant_sentiment,n_hcc,dominant_goal_orientation
Azarine,110,98,67,2,29,12,0,0.6836734693877551,0.02040816326530612,0.29591836734693877,0.8909090909090909,110,54.75811580682466,17.43371172413588,37.80817246903946,0.49780105278931513,0.15848828840123527,0.3437106588094497,Positive,3,Promotional / Supportive
Daviena,228,182,124,8,50,35,11,0.6813186813186813,0.04395604395604396,0.27472527472527475,0.7982456140350878,217,108.72817824541988,37.66867617380986,70.60314558077027,0.5010515126517046,0.17358836946456155,0.325360117883734,Positive,11,Promotional / Supportive
Maryame,163,129,88,4,37,28,6,0.6821705426356589,0.031007751937984496,0.2868217054263566,0.7914110429447853,157,73.93922748076659,32.08732184165737,50.97345067757604,0.47095049350806745,0.20437784612520618,0.32467166036672634,Positive,6,Polarized / Contested
Mixed_2_Brands,56,44,25,2,17,9,3,0.5681818181818182,0.045454545454545456,0.38636363636363635,0.7857142857142857,53,23.36492547876724,11.285329782191305,18.34974473904145,0.44084765054277814,0.21293075060738312,0.3462215988498387,Positive,3,Promotional / Supportive
Mixed_3plus_Brands,200,141,77,7,57,43,16,0.5460992907801419,0.04964539007092199,0.40425531914893614,0.705,184,76.76798764423856,40.321779896469444,66.910232459292,0.4172173241534704,0.2191401081329861,0.3636425677135435,Positive,9,Promotional / Supportive
Non-HCC,32838,22457,12308,2475,7674,8710,1671,0.5480696442089327,0.11021062474952131,0.34171973104154607,0.6838723430172361,31167,12914.529498701504,7466.158580025032,10786.311921273464,0.41436549872305656,0.23955332820050157,0.3460811730764419,Positive,0,
Not identified,18,12,3,1,8,6,0,0.25,0.08333333333333333,0.6666666666666666,0.6666666666666666,18,5.8158206156311545,3.854842591334028,8.32933679303482,0.3231011453128419,0.21415792174077933,0.46274093294637886,Negative,1,Critical / Complaint
The Originote,234,186,121,11,54,35,13,0.6505376344086021,0.05913978494623656,0.2903225806451613,0.7948717948717948,221,107.23846089829016,38.62489819362767,75.13664090808217,0.48524190451715005,0.17477329499379038,0.3399848004890596,Positive,9,Promotional / Supportive
