group,n_comments,n_valid_text_comments,positive_count,neutral_count,negative_count,uncertain_count,no_text_count,positive_ratio,neutral_ratio,negative_ratio,evaluable_coverage,soft_denominator,positive_probability_mass,neutral_probability_mass,negative_probability_mass,soft_positive_share,soft_neutral_share,soft_negative_share,dominant_sentiment
HCC,1009,959,413,343,203,1,49,0.4306569343065693,0.35766423357664234,0.2116788321167883,0.9504459861248761,960,386.58243923893815,325.4097183194211,248.00784244164083,0.40269004087389393,0.3389684565827303,0.25834150254337584,Positive
Non-HCC,32838,30860,5964,15268,9628,307,1671,0.1932598833441348,0.494750486066105,0.3119896305897602,0.9397649065107497,31167,6418.910146297103,13951.64518954811,10796.444664154787,0.20595213354821135,0.44764158210761734,0.3464062843441713,Neutral
