candidate,preprocessing_variant,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,accuracy_mean,accuracy_std,weighted_f1_mean,weighted_f1_std,positive_precision_mean,positive_precision_std,positive_recall_mean,positive_recall_std,positive_f1_mean,positive_f1_std,neutral_precision_mean,neutral_precision_std,neutral_recall_mean,neutral_recall_std,neutral_f1_mean,neutral_f1_std,negative_precision_mean,negative_precision_std,negative_recall_mean,negative_recall_std,negative_f1_mean,negative_f1_std,min_per_class_recall_mean,min_per_class_recall_std,min_per_class_f1_mean,min_per_class_f1_std,brier_score_mean,brier_score_std,ece_mean,ece_std,coverage_mean,coverage_std,reference_label_source,modeling_mode,notes
ensemble_transformer_A0.50_B0.50,minimal_raw,0.5177447203143836,0.037773830533650785,0.5729808053774119,0.03788330850922395,0.34693577284323657,0.05321497926709197,0.5235000779180302,0.03650520361025465,0.5024880323672511,0.04013756548404137,0.4476795148830986,0.03310378522029356,0.7714975845410628,0.079211179059958,0.5650220835586414,0.03777349820366297,0.8008278159748748,0.07910812232214684,0.29268292682926833,0.05974365226300434,0.4259613190587738,0.0693532433328563,0.494429733531115,0.050955151098662325,0.6547619047619048,0.09980544728653884,0.5622507583257357,0.06669152457725032,0.29268292682926833,0.05974365226300434,0.42058017894769784,0.06327628073030485,0.578219873228575,0.024248942835399856,0.13241262803678563,0.03299252810474286,1.0,0.0,human_adjudicated_label,HUMAN_VALIDATED,Mean/std over repeated stratified CV folds using human_adjudicated_label.
ensemble_transformer_A0.50_B0.50,social_normalized,0.5129411232429396,0.03510130546110699,0.5715290051451238,0.03480098291851659,0.3450525427612191,0.05082981613120362,0.5198768895122331,0.03348520695787607,0.4957123349550077,0.03843015639890486,0.45165676054732845,0.03364094551006406,0.7714975845410628,0.079211179059958,0.5679896587346788,0.036369696163640705,0.815838720103426,0.11948923063859815,0.2764227642276423,0.05806039372799064,0.40990187882578044,0.0725422744237007,0.48611410393357285,0.04496901732376537,0.6666666666666666,0.09796272669329706,0.5609318321683594,0.06087770847991687,0.2764227642276423,0.05806039372799064,0.4067317156556173,0.06884271204881982,0.5785397224006835,0.02130099301802865,0.12872116525365634,0.03370940532981298,1.0,0.0,human_adjudicated_label,HUMAN_VALIDATED,Mean/std over repeated stratified CV folds using human_adjudicated_label.
model_A,minimal_raw,0.4748126458156963,0.05108886292641027,0.48201338742165883,0.05251895346441028,0.21585999167693393,0.0806666377736073,0.4872837774661057,0.04846219793387452,0.4854054795210569,0.050701553877004764,0.4155183879049164,0.049458025350822235,0.5285024154589372,0.09481918043637554,0.46300500394531846,0.06077407134195273,0.5592287682014756,0.08099562058635267,0.5365853658536586,0.0708097610902494,0.5458722752417184,0.06833291086966164,0.4618941789200081,0.06188580780275677,0.380952380952381,0.0828459997198544,0.415560658260052,0.07130341333466583,0.3753774680603949,0.07109275508861908,0.4115219551488851,0.06412409395160662,0.6313817872507481,0.023002075878133764,0.1600757036645194,0.035033176954610314,1.0,0.0,human_adjudicated_label,HUMAN_VALIDATED,Mean/std over repeated stratified CV folds using human_adjudicated_label.
model_A,social_normalized,0.47061082264312615,0.05189857808513026,0.4772227271962161,0.05341286325821359,0.20960521599239415,0.08041060692128266,0.4836839644693782,0.0478666348019181,0.4820343513130427,0.05042494650031592,0.4126083355527182,0.05104406326235513,0.5141304347826087,0.10556259284231058,0.4551342369236057,0.06687152795013135,0.5596923761565545,0.07897237350863912,0.5365853658536586,0.06319985068716745,0.5461397878787789,0.06343545678229628,0.4504480084198773,0.06712496928879826,0.380952380952381,0.0828459997198544,0.4105584431269939,0.07186731196210318,0.37451901227086803,0.07282595658429221,0.40607675168119406,0.06553908587912946,0.6252104167489644,0.023693190521124556,0.15543785800518625,0.03091006204179563,1.0,0.0,human_adjudicated_label,HUMAN_VALIDATED,Mean/std over repeated stratified CV folds using human_adjudicated_label.
model_B,minimal_raw,0.4825281401387843,0.03909537947294436,0.5689073484937749,0.03704444414069721,0.3419579286264644,0.054260467823967554,0.5017999064983637,0.03607707635179257,0.44770873546458356,0.04504962649788696,0.503242573310485,0.047002007815879564,0.7859903381642511,0.09442378016977339,0.6107322751599855,0.0477045431586696,0.8815971065971067,0.1111985103969179,0.17073170731707318,0.061840555224037794,0.28146502143942786,0.08452304576354762,0.4421438818344903,0.042029532758068415,0.75,0.07269289208558677,0.5553871238169398,0.04759764571090311,0.17073170731707318,0.061840555224037794,0.28146502143942786,0.08452304576354762,0.7121067516704057,0.03985450784686558,0.297973457979965,0.03425933674360971,1.0,0.0,human_adjudicated_label,HUMAN_VALIDATED,Mean/std over repeated stratified CV folds using human_adjudicated_label.
model_B,social_normalized,0.4720211361424103,0.0374861583849735,0.558260813456996,0.03570096006205942,0.3239515155427238,0.05252116299015857,0.4909615084930653,0.035033984278805594,0.43647527673840236,0.04360066903734078,0.4988917923743382,0.0473518020369611,0.7859903381642511,0.09442378016977339,0.6074280191171908,0.04755454497457244,0.8345641395641397,0.11987492281250221,0.16260162601626016,0.05878769214793851,0.26842511225679366,0.082016351791494,0.4313161397127122,0.044270010927086566,0.7261904761904762,0.07475258835318335,0.5402102770532465,0.05020965797563014,0.16260162601626016,0.05878769214793851,0.26842511225679366,0.082016351791494,0.7175062857228204,0.03670602924056305,0.30749470019807046,0.0352927255156624,1.0,0.0,human_adjudicated_label,HUMAN_VALIDATED,Mean/std over repeated stratified CV folds using human_adjudicated_label.
model_C_pseudo_label_experiment,minimal_raw,0.6550403130434342,0.048612260279586574,0.6538863359648089,0.04797345786674163,0.5011415683941317,0.07113474009686566,0.6779336138382421,0.04529793448744825,0.6737965702487508,0.045840642441217355,0.6601942058056609,0.09412077609293823,0.579951690821256,0.09187445931319585,0.6137601822632279,0.07379181187731396,0.7528945638981425,0.04433842224844983,0.7983739837398375,0.07627930291315169,0.7733371911682891,0.050690579376541464,0.5821560656837357,0.07286732756785529,0.5833333333333334,0.12420788868374297,0.5780235656987858,0.0860947936126081,0.5106452726017944,0.0628852977869491,0.5530657210169531,0.06546465505702699,0.4278444516214366,0.04535283652666976,0.08901485445866486,0.019788626535779123,1.0,0.0,human_adjudicated_label,HUMAN_VALIDATED,Mean/std over repeated stratified CV folds using human_adjudicated_label.
model_C_pseudo_label_experiment,social_normalized,0.6555087072953366,0.04908344547038298,0.654734692274459,0.04834526015599182,0.5016562963348375,0.07268121533452476,0.6779258220352189,0.04646683489676964,0.6739829533067228,0.0470876681808254,0.6609734527736556,0.09370300129274838,0.5857487922705313,0.09067455352073522,0.617133932695802,0.07132568348629767,0.7553482770085005,0.04612250639477961,0.7951219512195122,0.08183333150154522,0.772978438075322,0.05535375041974935,0.5794614674820217,0.07195888712012542,0.5833333333333334,0.12638926711391982,0.5764137511148861,0.0859767266016859,0.5137786362335673,0.06747871428147992,0.5535894609365685,0.0677044240584945,0.42813071895511634,0.04564764729338102,0.08794345592342666,0.024539618961505798,1.0,0.0,human_adjudicated_label,HUMAN_VALIDATED,Mean/std over repeated stratified CV folds using human_adjudicated_label.
