hcc_id,community_size,n_accounts_with_comments,n_comments,n_valid_text_comments,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,dominant_sentiment,goal_orientation,goal_confidence,avg_sentiment_confidence,primary_brand,brand_label_auto,brand_combo,brand_confidence,narrative_similarity_level,mean_weighted_degree,mean_betweenness
90,4,4,12,12,1,10,1,0.08333333333333333,0.8333333333333334,0.08333333333333333,Neutral,Neutral Engagement,High,0.9243249793847402,Azarine,Mixed_3plus_Brands,Azarine + Daviena + Maryame,Low,Low,2.383928571428571,4.160871714118228e-06
99,6,6,28,28,23,3,2,0.8214285714285714,0.10714285714285714,0.07142857142857142,Positive,Promotional / Supportive,High,0.8957990322794233,The Originote,The Originote,The Originote,High,Medium,3.6011904761904763,0.0
103,5,5,30,30,4,22,4,0.13333333333333333,0.7333333333333333,0.13333333333333333,Neutral,Neutral Engagement,Medium,0.8889480173587799,Daviena,Daviena,Daviena,High,Low,3.9285714285714284,8.321743428232374e-05
113,6,6,28,28,28,0,0,1.0,0.0,0.0,Positive,Promotional / Supportive,High,0.9692144287484032,Maryame,Maryame,Maryame,High,Medium,4.226190476190475,0.0
114,6,6,28,28,26,2,0,0.9285714285714286,0.07142857142857142,0.0,Positive,Promotional / Supportive,High,0.9039586314133236,Maryame,Maryame,Maryame,High,Medium,4.226190476190475,0.0
117,6,6,18,18,2,15,1,0.1111111111111111,0.8333333333333334,0.05555555555555555,Neutral,Neutral Engagement,High,0.9159936838679843,The Originote,The Originote,The Originote,High,Low,3.839285714285714,1.8492763173858794e-06
132,4,4,12,12,2,7,3,0.16666666666666666,0.5833333333333334,0.25,Neutral,Mixed Goals,Low,0.9339777678251266,Azarine,Mixed_3plus_Brands,Azarine + Maryame + The Originote,Medium,Low,2.25,0.0
134,3,3,15,15,5,8,2,0.3333333333333333,0.5333333333333333,0.13333333333333333,Neutral,Mixed Goals,Low,0.8316844781239827,Daviena,Daviena,Daviena + The Originote,Medium,Low,1.6904761904761905,9.246381586929396e-07
150,6,6,48,48,18,19,11,0.375,0.3958333333333333,0.22916666666666666,Mixed,Mixed Goals,Low,0.8781755982587734,Maryame,Maryame,Maryame + The Originote,Medium,Low,8.309523809523808,0.00017059574027881668
168,5,5,23,23,23,0,0,1.0,0.0,0.0,Positive,Promotional / Supportive,High,0.9240593184595522,Daviena,Daviena,Daviena,High,Low,2.457142857142857,0.0
180,4,4,18,18,18,0,0,1.0,0.0,0.0,Positive,Promotional / Supportive,High,0.9404744969473945,Azarine,Azarine,Azarine,High,Low,2.3035714285714284,0.0
181,5,5,23,23,23,0,0,1.0,0.0,0.0,Positive,Promotional / Supportive,High,0.9075609549232151,Daviena,Daviena,Daviena,High,Medium,2.457142857142857,0.0
182,6,6,18,18,2,9,7,0.1111111111111111,0.5,0.3888888888888889,Neutral,Mixed Goals,Low,0.9022372629907396,Not identified,Not identified,,,Low,3.839285714285714,4.623190793464698e-06
183,7,7,21,21,5,11,5,0.23809523809523808,0.5238095238095238,0.23809523809523808,Neutral,Mixed Goals,Low,0.8870844670704433,The Originote,The Originote,The Originote,High,Low,2.9081632653061225,2.1795042312047865e-05
191,5,5,23,23,21,0,2,0.9130434782608695,0.0,0.08695652173913043,Positive,Promotional / Supportive,High,0.9202151246692823,The Originote,The Originote,The Originote,High,Medium,3.457142857142857,0.0
204,4,4,18,18,17,0,1,0.9444444444444444,0.0,0.05555555555555555,Positive,Promotional / Supportive,High,0.9679684771431817,Azarine,Azarine,Azarine,High,Low,2.3035714285714284,0.0
205,5,5,23,23,23,0,0,1.0,0.0,0.0,Positive,Promotional / Supportive,High,0.9252126035482987,The Originote,The Originote,The Originote,High,Medium,3.457142857142857,0.0
206,5,5,23,23,21,0,2,0.9130434782608695,0.0,0.08695652173913043,Positive,Promotional / Supportive,High,0.9380958080291748,Maryame,Maryame,Maryame,High,Medium,2.457142857142857,0.0
