actor_type_primary,weekday_name_id,weekday_number,hour_local,n_comments,n_unique_actors,n_unique_videos,comment_share_within_actor_type
Individual Actor,Jumat,5,7,7,4,4,0.0050578034682080926
Individual Actor,Jumat,5,8,7,3,4,0.0050578034682080926
Individual Actor,Jumat,5,9,19,5,6,0.013728323699421965
Individual Actor,Jumat,5,10,20,6,6,0.014450867052023121
Individual Actor,Jumat,5,11,21,7,7,0.015173410404624277
Individual Actor,Jumat,5,12,13,3,3,0.00939306358381503
Individual Actor,Jumat,5,13,13,5,6,0.00939306358381503
Individual Actor,Jumat,5,14,10,4,4,0.0072254335260115606
Individual Actor,Jumat,5,15,10,7,7,0.0072254335260115606
Individual Actor,Jumat,5,16,11,4,4,0.007947976878612716
Individual Actor,Jumat,5,17,10,6,6,0.0072254335260115606
Individual Actor,Jumat,5,18,7,4,4,0.0050578034682080926
Individual Actor,Jumat,5,19,11,6,6,0.007947976878612716
Individual Actor,Jumat,5,20,1,1,1,0.000722543352601156
Individual Actor,Jumat,5,21,18,10,10,0.01300578034682081
Individual Actor,Jumat,5,22,7,5,5,0.0050578034682080926
Individual Actor,Jumat,5,23,1,1,1,0.000722543352601156
Individual Actor,Sabtu,6,0,1,1,1,0.000722543352601156
Individual Actor,Sabtu,6,1,0,0,0,0.0
Individual Actor,Sabtu,6,2,0,0,0,0.0
Individual Actor,Sabtu,6,3,0,0,0,0.0
Individual Actor,Sabtu,6,4,0,0,0,0.0
Individual Actor,Sabtu,6,5,1,1,1,0.000722543352601156
Individual Actor,Sabtu,6,6,4,3,3,0.002890173410404624
Individual Actor,Sabtu,6,7,6,4,4,0.004335260115606936
Individual Actor,Sabtu,6,8,3,3,3,0.002167630057803468
Individual Actor,Sabtu,6,9,10,7,8,0.0072254335260115606
Individual Actor,Sabtu,6,10,3,3,3,0.002167630057803468
Individual Actor,Sabtu,6,11,15,7,8,0.01083815028901734
Individual Actor,Sabtu,6,12,13,7,7,0.00939306358381503
Individual Actor,Sabtu,6,13,21,5,5,0.015173410404624277
Individual Actor,Sabtu,6,14,11,8,8,0.007947976878612716
Individual Actor,Sabtu,6,15,11,3,3,0.007947976878612716
Individual Actor,Sabtu,6,16,9,6,6,0.006502890173410405
Individual Actor,Sabtu,6,17,59,5,5,0.04263005780346821
Individual Actor,Sabtu,6,18,9,5,5,0.006502890173410405
Individual Actor,Sabtu,6,19,11,7,7,0.007947976878612716
Individual Actor,Sabtu,6,20,5,4,4,0.0036127167630057803
Individual Actor,Sabtu,6,21,0,0,0,0.0
Individual Actor,Sabtu,6,22,3,3,3,0.002167630057803468
Individual Actor,Sabtu,6,23,3,3,3,0.002167630057803468
Individual Actor,Minggu,7,0,0,0,0,0.0
Individual Actor,Minggu,7,1,0,0,0,0.0
Individual Actor,Minggu,7,2,1,1,1,0.000722543352601156
Individual Actor,Minggu,7,3,4,3,3,0.002890173410404624
Individual Actor,Minggu,7,4,1,1,1,0.000722543352601156
Individual Actor,Minggu,7,5,4,3,3,0.002890173410404624
Individual Actor,Minggu,7,6,8,2,2,0.005780346820809248
Individual Actor,Minggu,7,7,5,2,2,0.0036127167630057803
Individual Actor,Minggu,7,8,2,2,2,0.001445086705202312
Individual Actor,Minggu,7,9,5,4,4,0.0036127167630057803
Individual Actor,Minggu,7,10,25,6,6,0.018063583815028903
Individual Actor,Minggu,7,11,6,3,3,0.004335260115606936
Individual Actor,Minggu,7,12,7,5,5,0.0050578034682080926
Individual Actor,Minggu,7,13,7,5,5,0.0050578034682080926
Individual Actor,Minggu,7,14,10,4,4,0.0072254335260115606
Individual Actor,Minggu,7,15,9,4,4,0.006502890173410405
Individual Actor,Minggu,7,16,6,6,6,0.004335260115606936
Individual Actor,Minggu,7,17,6,4,4,0.004335260115606936
Individual Actor,Minggu,7,18,14,10,10,0.010115606936416185
Individual Actor,Minggu,7,19,8,5,5,0.005780346820809248
Individual Actor,Minggu,7,20,11,8,8,0.007947976878612716
Individual Actor,Minggu,7,21,24,9,9,0.017341040462427744
Individual Actor,Minggu,7,22,19,7,7,0.013728323699421965
Individual Actor,Minggu,7,23,7,2,2,0.0050578034682080926
Community Actor,Senin,1,0,3,3,3,0.003157894736842105
Community Actor,Senin,1,1,0,0,0,0.0
Community Actor,Senin,1,2,0,0,0,0.0
Community Actor,Senin,1,3,0,0,0,0.0
Community Actor,Senin,1,4,0,0,0,0.0
Community Actor,Senin,1,5,4,4,1,0.004210526315789474
Community Actor,Senin,1,6,7,7,1,0.007368421052631579
Community Actor,Senin,1,7,13,13,3,0.01368421052631579
Community Actor,Senin,1,8,8,8,3,0.008421052631578947
Community Actor,Senin,1,9,0,0,0,0.0
Community Actor,Senin,1,10,15,10,3,0.015789473684210527
Community Actor,Senin,1,11,2,2,2,0.002105263157894737
Community Actor,Senin,1,12,4,4,2,0.004210526315789474
Community Actor,Senin,1,13,5,5,1,0.005263157894736842
Community Actor,Senin,1,14,4,4,2,0.004210526315789474
Community Actor,Senin,1,15,7,7,3,0.007368421052631579
Community Actor,Senin,1,16,10,6,2,0.010526315789473684
Community Actor,Senin,1,17,3,3,3,0.003157894736842105
Community Actor,Senin,1,18,4,4,2,0.004210526315789474
Community Actor,Senin,1,19,5,5,4,0.005263157894736842
Community Actor,Senin,1,20,3,3,2,0.003157894736842105
Community Actor,Senin,1,21,7,7,4,0.007368421052631579
Community Actor,Senin,1,22,9,9,3,0.009473684210526316
Community Actor,Senin,1,23,15,12,3,0.015789473684210527
Community Actor,Selasa,2,0,1,1,1,0.0010526315789473684
Community Actor,Selasa,2,1,0,0,0,0.0
Community Actor,Selasa,2,2,2,2,2,0.002105263157894737
Community Actor,Selasa,2,3,5,5,1,0.005263157894736842
