actor_type_primary,weekday_name_id,weekday_number,hour_local,n_comments,n_unique_actors,n_unique_videos,comment_share_within_actor_type
Mass Actor,Jumat,5,21,168,158,41,0.005341133083232657
Mass Actor,Jumat,5,22,166,154,42,0.005277548165575126
Mass Actor,Jumat,5,23,101,97,34,0.0032110383417053474
Mass Actor,Sabtu,6,0,80,77,30,0.002543396706301265
Mass Actor,Sabtu,6,1,36,35,18,0.0011445285178355695
Mass Actor,Sabtu,6,2,31,30,17,0.0009855662236917403
Mass Actor,Sabtu,6,3,24,23,14,0.0007630190118903796
Mass Actor,Sabtu,6,4,36,33,25,0.0011445285178355695
Mass Actor,Sabtu,6,5,59,56,30,0.001875755070897183
Mass Actor,Sabtu,6,6,92,87,31,0.0029249062122464553
Mass Actor,Sabtu,6,7,122,116,38,0.0038786799771094297
Mass Actor,Sabtu,6,8,179,161,35,0.005690850130349081
Mass Actor,Sabtu,6,9,190,176,44,0.006040567177465505
Mass Actor,Sabtu,6,10,189,177,38,0.006008774718636739
Mass Actor,Sabtu,6,11,208,171,43,0.00661283143638329
Mass Actor,Sabtu,6,12,182,162,43,0.005786227506835379
Mass Actor,Sabtu,6,13,177,167,38,0.0056272652126915495
Mass Actor,Sabtu,6,14,190,178,43,0.006040567177465505
Mass Actor,Sabtu,6,15,406,387,38,0.012907738284478922
Mass Actor,Sabtu,6,16,230,216,39,0.007312265530616138
Mass Actor,Sabtu,6,17,255,245,47,0.008107077001335283
Mass Actor,Sabtu,6,18,213,201,42,0.006771793730527119
Mass Actor,Sabtu,6,19,215,206,45,0.0068353786481846505
Mass Actor,Sabtu,6,20,215,200,44,0.0068353786481846505
Mass Actor,Sabtu,6,21,208,194,42,0.00661283143638329
Mass Actor,Sabtu,6,22,192,179,46,0.006104152095123037
Mass Actor,Sabtu,6,23,121,108,31,0.003846887518280664
Mass Actor,Minggu,7,0,77,76,28,0.002448019329814968
Mass Actor,Minggu,7,1,45,43,18,0.0014306606472944618
Mass Actor,Minggu,7,2,38,32,19,0.001208113435493101
Mass Actor,Minggu,7,3,40,38,13,0.0012716983531506326
Mass Actor,Minggu,7,4,39,36,19,0.001239905894321867
Mass Actor,Minggu,7,5,61,59,25,0.0019393399885547149
Mass Actor,Minggu,7,6,118,114,39,0.003751510141794366
Mass Actor,Minggu,7,7,120,114,38,0.003815095059451898
Mass Actor,Minggu,7,8,164,155,42,0.005213963247917594
Mass Actor,Minggu,7,9,193,182,42,0.006135944553951803
Mass Actor,Minggu,7,10,217,193,47,0.006898963565842182
Mass Actor,Minggu,7,11,202,183,45,0.006422076683410695
Mass Actor,Minggu,7,12,147,139,39,0.004673491447828575
Mass Actor,Minggu,7,13,172,167,40,0.00546830291854772
Mass Actor,Minggu,7,14,173,164,44,0.005500095377376486
Mass Actor,Minggu,7,15,195,182,41,0.0061995294716093345
Mass Actor,Minggu,7,16,152,142,41,0.004832453741972404
Mass Actor,Minggu,7,17,182,164,39,0.005786227506835379
Mass Actor,Minggu,7,18,178,166,44,0.005659057671520315
Mass Actor,Minggu,7,19,200,187,43,0.006358491765753163
Mass Actor,Minggu,7,20,186,178,43,0.005913397342150442
Mass Actor,Minggu,7,21,209,199,42,0.006644623895212056
Mass Actor,Minggu,7,22,204,191,42,0.006485661601068227
Mass Actor,Minggu,7,23,168,155,35,0.005341133083232657
