brand_label_auto,classification_approach,n_hcc,hcc_percentage,n_community_actors,community_actor_percentage,n_comments,n_unique_videos,mean_community_size,median_community_size,min_community_size,max_community_size,hcc_ids
Azarine,Exclusive HCC Brand Classification,3,7.142857142857142,19,8.715596330275229,110,10,6.333333333333333,4.0,4,11,54;180;204
Daviena,Exclusive HCC Brand Classification,11,26.190476190476193,45,20.642201834862387,228,30,4.090909090909091,5.0,3,5,16;20;34;42;52;60;74;103;134;168;181
Maryame,Exclusive HCC Brand Classification,6,14.285714285714285,35,16.055045871559635,163,18,5.833333333333333,6.0,5,6,2;50;113;114;150;206
The Originote,Exclusive HCC Brand Classification,9,21.428571428571427,56,25.688073394495415,234,20,6.222222222222222,6.0,5,8,5;15;18;46;99;117;183;191;205
Mixed_2_Brands,Exclusive HCC Brand Classification,3,7.142857142857142,14,6.422018348623854,56,12,4.666666666666667,5.0,4,5,3;75;87
Mixed_3plus_Brands,Exclusive HCC Brand Classification,9,21.428571428571427,43,19.724770642201836,200,38,4.777777777777778,4.0,3,11,1;14;17;45;48;49;63;90;132
Not identified,Exclusive HCC Brand Classification,1,2.380952380952381,6,2.7522935779816518,18,3,6.0,6.0,6,6,182
Total,Exclusive HCC Brand Classification,42,100.0,218,100.0,1009,55,5.190476190476191,5.0,3,11,1;2;3;5;14;15;16;17;18;20;34;42;45;46;48;49;50;52;54;60;63;74;75;87;90;99;103;113;114;117;132;134;150;168;180;181;182;183;191;204;205;206
