weekday_name_id,weekday_number,hour_local,n_comments,n_unique_community_actors,n_unique_videos,n_active_hcc,comment_share
Sabtu,6,5,5,5,1,1,0.005263157894736842
Sabtu,6,6,13,8,3,3,0.01368421052631579
Sabtu,6,7,2,2,2,2,0.002105263157894737
Sabtu,6,8,10,10,4,4,0.010526315789473684
Sabtu,6,9,0,0,0,0,0.0
Sabtu,6,10,11,9,2,2,0.011578947368421053
Sabtu,6,11,19,18,7,6,0.02
Sabtu,6,12,5,5,5,4,0.005263157894736842
Sabtu,6,13,2,2,2,2,0.002105263157894737
Sabtu,6,14,1,1,1,1,0.0010526315789473684
Sabtu,6,15,7,7,3,4,0.007368421052631579
Sabtu,6,16,7,7,3,2,0.007368421052631579
Sabtu,6,17,15,15,7,7,0.015789473684210527
Sabtu,6,18,8,8,4,4,0.008421052631578947
Sabtu,6,19,0,0,0,0,0.0
Sabtu,6,20,8,8,4,3,0.008421052631578947
Sabtu,6,21,10,10,2,2,0.010526315789473684
Sabtu,6,22,9,9,4,4,0.009473684210526316
Sabtu,6,23,7,7,2,2,0.007368421052631579
Minggu,7,0,1,1,1,1,0.0010526315789473684
Minggu,7,1,2,2,2,2,0.002105263157894737
Minggu,7,2,1,1,1,1,0.0010526315789473684
Minggu,7,3,2,2,2,2,0.002105263157894737
Minggu,7,4,0,0,0,0,0.0
Minggu,7,5,0,0,0,0,0.0
Minggu,7,6,8,8,2,2,0.008421052631578947
Minggu,7,7,0,0,0,0,0.0
Minggu,7,8,13,9,5,4,0.01368421052631579
Minggu,7,9,6,6,4,4,0.00631578947368421
Minggu,7,10,8,8,4,3,0.008421052631578947
Minggu,7,11,2,2,2,2,0.002105263157894737
Minggu,7,12,2,2,2,2,0.002105263157894737
Minggu,7,13,9,5,1,1,0.009473684210526316
Minggu,7,14,1,1,1,1,0.0010526315789473684
Minggu,7,15,5,5,1,1,0.005263157894736842
Minggu,7,16,0,0,0,0,0.0
Minggu,7,17,5,5,3,3,0.005263157894736842
Minggu,7,18,4,4,4,3,0.004210526315789474
Minggu,7,19,6,6,1,1,0.00631578947368421
Minggu,7,20,8,8,2,2,0.008421052631578947
Minggu,7,21,2,2,2,2,0.002105263157894737
Minggu,7,22,1,1,1,1,0.0010526315789473684
Minggu,7,23,1,1,1,1,0.0010526315789473684
