hcc_id,community_size,primary_brand,brand_label_auto,goal_orientation,dominant_sentiment,positive_ratio,neutral_ratio,negative_ratio,narrative_similarity_level,n_comments,n_valid_timestamp_comments,n_unique_commenting_accounts,n_active_videos,n_active_dates,n_active_weeks,comments_Senin,comments_Selasa,comments_Rabu,comments_Kamis,comments_Jumat,comments_Sabtu,comments_Minggu,share_Senin,share_Selasa,share_Rabu,share_Kamis,share_Jumat,share_Sabtu,share_Minggu,dominant_weekday,dominant_weekday_comment_count,dominant_weekday_share,second_weekday,second_weekday_share,weekday_entropy_normalized,weekday_concentration_score,weekday_concentration_level,weekend_comment_share,dominant_daypart,peak_hour,dominant_weekday_active_weeks,dominant_weekday_week_coverage,temporal_profile_reliability
46,7,The Originote,The Originote,Neutral Engagement,Neutral,0.1904761904761904,0.6190476190476191,0.1904761904761904,Low,21,21,7,3,3,3,0,7,0,7,0,7,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,Selasa,7,0.3333333333333333,Kamis,0.3333333333333333,0.5645750340535796,0.43542496594642044,High weekday concentration,0.3333333333333333,Siang,11,1,0.3333333333333333,Descriptively sufficient
48,5,The Originote,Mixed_3plus_Brands,Mixed Goals,Mixed,0.3666666666666666,0.3666666666666666,0.2666666666666666,Low,30,30,5,6,6,6,5,0,0,5,10,10,0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,Jumat,10,0.3333333333333333,Sabtu,0.3333333333333333,0.683310763089587,0.31668923691041295,Moderate weekday concentration,0.3333333333333333,Siang,12,2,0.3333333333333333,Descriptively sufficient
49,6,Daviena,Mixed_3plus_Brands,Neutral Engagement,Neutral,0.25,0.6,0.15,Low,20,20,6,4,4,4,0,0,2,0,12,0,6,0.0,0.0,0.1,0.0,0.6,0.0,0.3,Jumat,12,0.6,Minggu,0.3,0.4614528195419034,0.5385471804580966,High weekday concentration,0.3,Pagi,5,2,0.5,Descriptively sufficient
50,6,Maryame,Maryame,Mixed Goals,Neutral,0.3333333333333333,0.5,0.1666666666666666,Low,18,18,6,3,3,3,0,6,0,0,6,6,0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,Selasa,6,0.3333333333333333,Jumat,0.3333333333333333,0.5645750340535796,0.43542496594642044,High weekday concentration,0.3333333333333333,Pagi,6,1,0.3333333333333333,Descriptively sufficient
52,5,Daviena,Daviena,Mixed Goals,Neutral,0.35,0.45,0.2,Low,40,40,5,8,8,8,10,5,10,5,0,10,0,0.25,0.125,0.25,0.125,0.0,0.25,0.0,Senin,10,0.25,Rabu,0.25,0.80146617099305,0.19853382900695005,Low weekday concentration,0.25,Malam,19,2,0.25,Descriptively sufficient
54,11,Azarine,Azarine,Mixed Goals,Neutral,0.2297297297297297,0.5540540540540541,0.2162162162162162,Low,74,74,11,10,55,37,13,17,7,13,7,10,7,0.17567567567567569,0.22972972972972974,0.0945945945945946,0.17567567567567569,0.0945945945945946,0.13513513513513514,0.0945945945945946,Selasa,17,0.22972972972972974,Senin,0.17567567567567569,0.9705563449208434,0.029443655079156583,Low weekday concentration,0.22972972972972974,Malam,23,10,0.2702702702702703,Descriptively sufficient
60,3,Daviena,Daviena,Mixed Goals,Mixed,0.3636363636363636,0.3636363636363636,0.2727272727272727,Low,11,11,3,4,4,4,0,0,0,8,0,0,3,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.2727272727272727,Kamis,8,0.7272727272727273,Minggu,0.2727272727272727,0.30112007925341,0.69887992074659,High weekday concentration,0.2727272727272727,Dini Hari,10,3,0.75,Descriptively sufficient
63,3,Maryame,Mixed_3plus_Brands,Mixed Goals,Neutral,0.3181818181818182,0.5,0.1818181818181818,Low,22,22,3,12,12,11,0,2,4,6,4,5,1,0.0,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.22727272727272727,0.045454545454545456,Kamis,6,0.2727272727272727,Sabtu,0.22727272727272727,0.8579424988095209,0.1420575011904791,Low weekday concentration,0.2727272727272727,Malam,20,3,0.2727272727272727,Descriptively sufficient
74,3,Daviena,Daviena,Mixed Goals,Neutral,0.25,0.5,0.25,Low,12,12,3,4,4,4,0,3,3,0,3,0,3,0.0,0.25,0.25,0.0,0.25,0.0,0.25,Selasa,3,0.25,Rabu,0.25,0.7124143742160444,0.28758562578395563,Moderate weekday concentration,0.25,Siang,9,1,0.25,Descriptively sufficient
75,4,Daviena,Mixed_2_Brands,Mixed Goals,Neutral,0.375,0.5,0.125,Low,16,16,4,4,4,4,0,0,8,4,0,4,0,0.0,0.0,0.5,0.25,0.0,0.25,0.0,Rabu,8,0.5,Kamis,0.25,0.5343107806620332,0.4656892193379668,High weekday concentration,0.25,Malam,20,2,0.5,Descriptively sufficient
