hcc_id,brand,is_active_brand,is_primary_brand,brand_label_auto,brand_combo,brand_confidence,brand_score,brand_user_count,brand_video_count,community_size,n_comments,goal_orientation,dominant_sentiment,narrative_similarity_level
90,Azarine,True,True,Mixed_3plus_Brands,Azarine + Daviena + Maryame,Low,2,8,2,4,12,Neutral Engagement,Neutral,Low
90,Daviena,True,False,Mixed_3plus_Brands,Azarine + Daviena + Maryame,Low,2,8,2,4,12,Neutral Engagement,Neutral,Low
90,Maryame,True,False,Mixed_3plus_Brands,Azarine + Daviena + Maryame,Low,1,4,1,4,12,Neutral Engagement,Neutral,Low
99,The Originote,True,True,The Originote,The Originote,High,3,12,3,6,28,Promotional / Supportive,Positive,Medium
103,Daviena,True,True,Daviena,Daviena,High,8,15,8,5,30,Neutral Engagement,Neutral,Low
113,Maryame,True,True,Maryame,Maryame,High,2,12,2,6,28,Promotional / Supportive,Positive,Medium
114,Maryame,True,True,Maryame,Maryame,High,2,6,2,6,28,Promotional / Supportive,Positive,Medium
117,The Originote,True,True,The Originote,The Originote,High,2,12,2,6,18,Neutral Engagement,Neutral,Low
132,Azarine,True,True,Mixed_3plus_Brands,Azarine + Maryame + The Originote,Medium,2,8,2,4,12,Mixed Goals,Neutral,Low
132,Maryame,True,False,Mixed_3plus_Brands,Azarine + Maryame + The Originote,Medium,1,4,1,4,12,Mixed Goals,Neutral,Low
132,The Originote,True,False,Mixed_3plus_Brands,Azarine + Maryame + The Originote,Medium,1,4,1,4,12,Mixed Goals,Neutral,Low
134,Daviena,True,True,Daviena,Daviena + The Originote,Medium,2,6,2,3,15,Mixed Goals,Neutral,Low
134,The Originote,True,False,Daviena,Daviena + The Originote,Medium,1,2,1,3,15,Mixed Goals,Neutral,Low
150,Maryame,True,True,Maryame,Maryame + The Originote,Medium,5,24,5,6,48,Mixed Goals,Mixed,Low
150,The Originote,True,False,Maryame,Maryame + The Originote,Medium,2,12,2,6,48,Mixed Goals,Mixed,Low
168,Daviena,True,True,Daviena,Daviena,High,4,15,4,5,23,Promotional / Supportive,Positive,Low
180,Azarine,True,True,Azarine,Azarine,High,2,8,2,4,18,Promotional / Supportive,Positive,Low
181,Daviena,True,True,Daviena,Daviena,High,3,15,3,5,23,Promotional / Supportive,Positive,Medium
183,The Originote,True,True,The Originote,The Originote,High,1,7,1,7,21,Mixed Goals,Neutral,Low
191,The Originote,True,True,The Originote,The Originote,High,3,10,3,5,23,Promotional / Supportive,Positive,Medium
204,Azarine,True,True,Azarine,Azarine,High,1,4,1,4,18,Promotional / Supportive,Positive,Low
205,The Originote,True,True,The Originote,The Originote,High,3,5,3,5,23,Promotional / Supportive,Positive,Medium
206,Maryame,True,True,Maryame,Maryame,High,3,10,3,5,23,Promotional / Supportive,Positive,Medium
