hcc_id,daypart,n_comments,n_unique_community_actors,n_unique_videos,brand_label_auto,goal_orientation,n_valid_timestamp_comments,dominant_daypart,temporal_profile_reliability,comment_share_within_hcc
45,Dini Hari,0,0,0,Mixed_3plus_Brands,Neutral Engagement,24,Pagi,Descriptively sufficient,0.0
45,Pagi,12,4,3,Mixed_3plus_Brands,Neutral Engagement,24,Pagi,Descriptively sufficient,0.5
45,Siang,4,4,1,Mixed_3plus_Brands,Neutral Engagement,24,Pagi,Descriptively sufficient,0.16666666666666666
45,Sore,4,4,1,Mixed_3plus_Brands,Neutral Engagement,24,Pagi,Descriptively sufficient,0.16666666666666666
45,Malam,4,4,1,Mixed_3plus_Brands,Neutral Engagement,24,Pagi,Descriptively sufficient,0.16666666666666666
46,Dini Hari,0,0,0,The Originote,Neutral Engagement,21,Siang,Descriptively sufficient,0.0
46,Pagi,0,0,0,The Originote,Neutral Engagement,21,Siang,Descriptively sufficient,0.0
46,Siang,14,7,2,The Originote,Neutral Engagement,21,Siang,Descriptively sufficient,0.6666666666666666
46,Sore,7,7,1,The Originote,Neutral Engagement,21,Siang,Descriptively sufficient,0.3333333333333333
46,Malam,0,0,0,The Originote,Neutral Engagement,21,Siang,Descriptively sufficient,0.0
48,Dini Hari,0,0,0,Mixed_3plus_Brands,Mixed Goals,30,Siang,Descriptively sufficient,0.0
48,Pagi,5,5,1,Mixed_3plus_Brands,Mixed Goals,30,Siang,Descriptively sufficient,0.16666666666666666
48,Siang,10,5,2,Mixed_3plus_Brands,Mixed Goals,30,Siang,Descriptively sufficient,0.3333333333333333
48,Sore,10,5,2,Mixed_3plus_Brands,Mixed Goals,30,Siang,Descriptively sufficient,0.3333333333333333
48,Malam,5,5,1,Mixed_3plus_Brands,Mixed Goals,30,Siang,Descriptively sufficient,0.16666666666666666
49,Dini Hari,0,0,0,Mixed_3plus_Brands,Neutral Engagement,20,Pagi,Descriptively sufficient,0.0
49,Pagi,6,6,1,Mixed_3plus_Brands,Neutral Engagement,20,Pagi,Descriptively sufficient,0.3
49,Siang,6,6,1,Mixed_3plus_Brands,Neutral Engagement,20,Pagi,Descriptively sufficient,0.3
49,Sore,6,6,1,Mixed_3plus_Brands,Neutral Engagement,20,Pagi,Descriptively sufficient,0.3
49,Malam,2,2,1,Mixed_3plus_Brands,Neutral Engagement,20,Pagi,Descriptively sufficient,0.1
50,Dini Hari,0,0,0,Maryame,Mixed Goals,18,Pagi,Descriptively sufficient,0.0
50,Pagi,12,6,2,Maryame,Mixed Goals,18,Pagi,Descriptively sufficient,0.6666666666666666
50,Siang,0,0,0,Maryame,Mixed Goals,18,Pagi,Descriptively sufficient,0.0
50,Sore,0,0,0,Maryame,Mixed Goals,18,Pagi,Descriptively sufficient,0.0
50,Malam,6,6,1,Maryame,Mixed Goals,18,Pagi,Descriptively sufficient,0.3333333333333333
52,Dini Hari,0,0,0,Daviena,Mixed Goals,40,Malam,Descriptively sufficient,0.0
52,Pagi,10,5,2,Daviena,Mixed Goals,40,Malam,Descriptively sufficient,0.25
