username,actor_id_anonymous,display_name,actor_type_primary,individual_subtype,is_video_creator,is_verified_registry_actor,individual_identification_source,individual_verification_level,is_hcc_member,individual_in_hcc,community,is_lcn_member,mass_position_secondary,n_comments,n_valid_text_comments,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,dominant_sentiment,avg_sentiment_confidence,target_brand_primary,target_brand_label,target_scope,target_source,target_confidence,creator_target_brand_primary,creator_target_brand_label,creator_target_scope,creator_product_category_primary,creator_video_count,creator_target_confidence,creator_target_source,account_goal_orientation,account_goal_confidence,is_goal_evaluable,goal_evaluation_reason,exposure_level,hcc_association_status,primary_associated_hcc,associated_hcc_ids,n_associated_hcc,primary_association_basis,is_ambiguous_hcc_association,shared_video_context_count,verified_direct_interaction_count,temporal_mass_comment_count,temporal_hcc_comment_pair_count,strong_association_score,contextual_association_score,sentiment_alignment,hcc_dominant_sentiment
MASS_bb54f1cdd27c,MASS_bb54f1cdd27c,.a.y323,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Negative,0.6831061302951835,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,14;20;34,3.0,Multiple shared-video contexts only,True,3.0,0.0,0.0,0.0,0.0,3.0,Ambiguous HCC Association,
MASS_6d1f1257da8a,MASS_6d1f1257da8a,.abcdefghi58,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.8485731992963067,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,133;14;150;34;74,5.0,Multiple shared-video contexts only,True,5.0,0.0,0.0,0.0,0.0,5.0,Ambiguous HCC Association,
MASS_21c77a3252dd,MASS_21c77a3252dd,.aicrl,Mass Actor,,False,False,,,False,False,,False,Outside LCN,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,Neutral,0.6911249772575959,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,112;150;17;206;34;43;46,7.0,Multiple shared-video contexts only,True,7.0,0.0,0.0,0.0,0.0,7.0,Ambiguous HCC Association,
MASS_a49437b55fd9,MASS_a49437b55fd9,.akuntidakditemukan028,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.5611889168090851,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,133;14;150;34;74,5.0,Multiple shared-video contexts only,True,5.0,0.0,0.0,0.0,0.0,5.0,Ambiguous HCC Association,
MASS_f5a273571b5f,MASS_f5a273571b5f,.anakewong09,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.6676392927149875,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,14;20;34,3.0,Multiple shared-video contexts only,True,3.0,0.0,0.0,0.0,0.0,3.0,Ambiguous HCC Association,
MASS_a492fa91817f,MASS_a492fa91817f,.ang_el4_n,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Negative,0.422900780864458,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,1;150;86;90,4.0,Multiple shared-video contexts only,True,4.0,0.0,0.0,0.0,0.0,4.0,Ambiguous HCC Association,
MASS_02481057b0df,MASS_02481057b0df,.anuraini,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.6270003130879285,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,184;20,2.0,Multiple shared-video contexts only,True,2.0,0.0,0.0,0.0,0.0,2.0,Ambiguous HCC Association,
MASS_f058b7258b2e,MASS_f058b7258b2e,.asics8,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,0.0,0.0,0.0,0.0,,,,No evaluable sentiment,0.4177821875414567,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,No valid text,Shared-Video Context Only,Multiple / Ambiguous HCC,,14;20;34,3.0,Multiple shared-video contexts only,True,3.0,0.0,0.0,0.0,0.0,3.0,Ambiguous HCC Association,
MASS_aad7e4033760,MASS_aad7e4033760,.atheuy,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.6796203901805951,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,14;15;17;18;193;47,6.0,Multiple shared-video contexts only,True,6.0,0.0,0.0,0.0,0.0,6.0,Ambiguous HCC Association,
MASS_0fa2b0ffc1d5,MASS_0fa2b0ffc1d5,.ayamkucing,Mass Actor,,False,False,,,False,False,,False,Outside LCN,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,Negative,0.7353451510447205,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,14;20;34,3.0,Multiple shared-video contexts only,True,3.0,0.0,0.0,0.0,0.0,3.0,Ambiguous HCC Association,
MASS_05700505080d,MASS_05700505080d,.ayng_,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.825342390831705,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,133;14;150;34;74,5.0,Multiple shared-video contexts only,True,5.0,0.0,0.0,0.0,0.0,5.0,Ambiguous HCC Association,
MASS_004be21fe6cc,MASS_004be21fe6cc,.bakoelgedhang02,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,Neutral,0.5145670469801988,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,133;43;46;52,4.0,Multiple shared-video contexts only,True,4.0,0.0,0.0,0.0,0.0,4.0,Ambiguous HCC Association,
MASS_b8d98f60384e,MASS_b8d98f60384e,.bintang15.3,Mass Actor,,False,False,,,False,False,,False,Outside LCN,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,Negative,0.4474187795009866,,,Associated HCC Brand Context,primary associated HCC brand context,Medium,,,,,0,None,,Insufficient Text,None,False,Fewer than 3 valid comments,Shared-Video Context Only,Multiple / Ambiguous HCC,,133;14;150;34;74,5.0,Multiple shared-video contexts only,True,5.0,0.0,0.0,0.0,0.0,5.0,Ambiguous HCC Association,
