individual_username,individual_subtype,hcc_id,shared_video_count,creator_video_count,hcc_account_count,hcc_comment_count,first_hcc_comment_timestamp,last_hcc_comment_timestamp,target_brand,hcc_goal_orientation,association_type
mimiaudmua,Video Creator,17,1,1,5,5,2024-10-25 09:45:48+00:00,2024-10-25 10:30:22+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
mimiaudmua,Video Creator,52,1,1,5,5,2024-09-26 10:28:56+00:00,2024-09-26 10:31:34+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
mputrizahro,Video Creator,150,1,1,6,6,2024-10-11 01:42:44+00:00,2024-11-03 07:00:40+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
mputrizahro,Video Creator,2,1,1,6,6,2026-03-28 10:42:29+00:00,2026-03-28 10:45:17+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
mputrizahro,Video Creator,3,1,1,5,5,2024-10-14 20:13:30+00:00,2024-10-14 20:14:35+00:00,Maryame,Neutral Engagement,Observed Creator-Community Context
nabellaolivia,Video Creator,1,1,1,3,3,2023-10-13 03:23:28+00:00,2023-10-13 03:24:40+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
nabellaolivia,Video Creator,181,1,1,5,9,,,Daviena/Davina,Promotional / Supportive,Observed Creator-Community Context
nabellaolivia,Video Creator,49,1,1,6,6,2023-10-19 22:39:19+00:00,2023-10-20 01:34:10+00:00,Daviena/Davina,Neutral Engagement,Observed Creator-Community Context
namicwn_,Video Creator,14,1,1,3,3,2024-05-27 22:43:21+00:00,2024-05-27 22:43:49+00:00,The Originote,Mixed Goals,Observed Creator-Community Context
namicwn_,Video Creator,15,1,1,6,6,2024-06-04 11:12:48+00:00,2024-06-04 11:16:15+00:00,The Originote,Neutral Engagement,Observed Creator-Community Context
namicwn_,Video Creator,17,1,1,2,2,2023-08-22 11:29:05+00:00,2023-08-22 13:25:38+00:00,The Originote,Mixed Goals,Observed Creator-Community Context
namicwn_,Video Creator,18,1,1,6,6,2024-09-25 14:31:19+00:00,2024-09-25 14:34:01+00:00,The Originote,Mixed Goals,Observed Creator-Community Context
namicwn_,Video Creator,191,1,1,5,9,2023-08-14 09:36:11+00:00,2023-08-14 09:39:11+00:00,The Originote,Promotional / Supportive,Observed Creator-Community Context
namicwn_,Video Creator,49,1,1,2,2,2023-08-16 14:48:16+00:00,2023-08-16 16:58:59+00:00,The Originote,Neutral Engagement,Observed Creator-Community Context
nooraabeautycreator,Video Creator,114,1,1,6,6,2025-01-23 09:52:38+00:00,2025-01-23 09:56:19+00:00,Maryame,Promotional / Supportive,Observed Creator-Community Context
nooraabeautycreator,Video Creator,2,1,1,6,6,2025-04-02 01:07:39+00:00,2025-04-02 01:11:23+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
nooraabeautycreator,Video Creator,20,1,1,3,3,2025-01-18 01:24:51+00:00,2025-01-18 01:25:51+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
nooraabeautycreator,Video Creator,49,1,1,6,6,2025-04-11 05:53:29+00:00,2025-04-11 07:54:28+00:00,Maryame,Neutral Engagement,Observed Creator-Community Context
nooraabeautycreator,Video Creator,63,1,1,2,2,2024-11-29 14:55:22+00:00,2024-11-29 15:26:25+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
