hcc_id,community_size,n_verified_individuals_in_hcc,mean_degree,mean_weighted_degree,mean_betweenness,primary_brand,brand_label_auto,target_scope,hcc_goal_orientation,hcc_goal_confidence,positive_ratio,neutral_ratio,negative_ratio,hcc_dominant_sentiment,hcc_n_comments,n_mass_actors_associated,n_mass_direct_interaction,n_mass_temporal_exposure,n_mass_shared_video_exposure,dominant_mass_exposure_level,mass_sentiment_alignment_rate
16,5,0,4.0,3.0,0.0,Daviena,Daviena,Single-brand Context,Mixed Goals,Low,0.2666666666666666,0.5333333333333333,0.2,Neutral,15,1069,0,21,1048,Shared-Video Exposure,0.78125
168,5,0,4.0,2.457142857142857,0.0,Daviena,Daviena,Single-brand Context,Promotional / Supportive,High,1.0,0.0,0.0,Positive,23,0,0,0,0,No Observed HCC Exposure,
17,11,0,5.181818181818182,4.071428571428571,2.5721752414539995e-05,Maryame,Mixed_3plus_Brands,Cross-brand Context,Mixed Goals,Low,0.2272727272727272,0.5454545454545454,0.2272727272727272,Neutral,44,1621,1,8,1612,Shared-Video Exposure,0.6172839506172839
18,6,0,5.166666666666667,3.839285714285714,3.2362335554252888e-06,The Originote,The Originote,Single-brand Context,Mixed Goals,Low,0.4444444444444444,0.3888888888888889,0.1666666666666666,Mixed,18,466,1,2,463,Shared-Video Exposure,
180,4,0,3.0,2.3035714285714284,0.0,Azarine,Azarine,Single-brand Context,Promotional / Supportive,High,1.0,0.0,0.0,Positive,18,7,0,7,0,Temporal-Context Exposure,0.6666666666666666
181,5,0,4.0,2.457142857142857,0.0,Daviena,Daviena,Single-brand Context,Promotional / Supportive,High,1.0,0.0,0.0,Positive,23,6,0,0,6,Shared-Video Exposure,0.0
182,6,0,5.166666666666667,3.839285714285714,4.623190793464698e-06,Not identified,Not identified,Unidentified Brand Context,Mixed Goals,Low,0.1111111111111111,0.5,0.3888888888888889,Neutral,18,3,1,2,0,Temporal-Context Exposure,1.0
183,7,0,4.0,2.9081632653061225,2.1795042312047865e-05,The Originote,The Originote,Single-brand Context,Mixed Goals,Low,0.238095238095238,0.5238095238095238,0.238095238095238,Neutral,21,150,4,6,140,Shared-Video Exposure,0.6666666666666666
191,5,0,4.0,3.457142857142857,0.0,The Originote,The Originote,Single-brand Context,Promotional / Supportive,High,0.9130434782608696,0.0,0.0869565217391304,Positive,23,1,0,1,0,Temporal-Context Exposure,0.0
2,6,0,5.333333333333333,3.9285714285714284,1.0171019745622336e-05,Maryame,Maryame,Single-brand Context,Mixed Goals,Low,0.2777777777777778,0.5,0.2222222222222222,Neutral,18,513,2,3,508,Shared-Video Exposure,0.5945945945945946
20,3,0,3.6666666666666665,5.023809523809524,3.236233555425289e-05,Daviena,Daviena,Single-brand Context,Mixed Goals,Low,0.375,0.375,0.25,Mixed,24,1952,1,27,1924,Shared-Video Exposure,
204,4,0,3.0,2.3035714285714284,0.0,Azarine,Azarine,Single-brand Context,Promotional / Supportive,High,0.9444444444444444,0.0,0.0555555555555555,Positive,18,0,0,0,0,No Observed HCC Exposure,
205,5,0,4.0,3.457142857142857,0.0,The Originote,The Originote,Single-brand Context,Promotional / Supportive,High,1.0,0.0,0.0,Positive,23,3,0,1,2,Shared-Video Exposure,0.0
206,5,0,4.0,2.457142857142857,0.0,Maryame,Maryame,Single-brand Context,Promotional / Supportive,High,0.9130434782608696,0.0,0.0869565217391304,Positive,23,3,0,0,3,Shared-Video Exposure,0.0
3,5,0,4.0,3.0,0.0,Maryame,Mixed_2_Brands,Cross-brand Context,Neutral Engagement,Medium,0.1333333333333333,0.6666666666666666,0.2,Neutral,15,144,0,5,139,Shared-Video Exposure,0.6923076923076923
34,3,0,1.3333333333333333,1.0714285714285714,1.8492763173858792e-06,Daviena,Daviena,Single-brand Context,Mixed Goals,Low,0.25,0.5,0.25,Neutral,12,675,0,522,153,Temporal-Context Exposure,0.4444444444444444
42,5,0,4.0,3.457142857142857,0.0,Daviena,Daviena,Single-brand Context,Promotional / Supportive,High,1.0,0.0,0.0,Positive,23,174,0,4,170,Shared-Video Exposure,0.09090909090909091
45,4,0,3.0,4.5,0.0,Maryame,Mixed_3plus_Brands,Cross-brand Context,Neutral Engagement,Medium,0.2916666666666667,0.625,0.0833333333333333,Neutral,24,1130,0,7,1123,Shared-Video Exposure,0.625
46,7,0,6.0,4.5,0.0,The Originote,The Originote,Single-brand Context,Neutral Engagement,Medium,0.1904761904761904,0.6190476190476191,0.1904761904761904,Neutral,21,32,0,5,27,Shared-Video Exposure,0.5
48,5,0,4.0,6.0,0.0,The Originote,Mixed_3plus_Brands,Cross-brand Context,Mixed Goals,Low,0.3666666666666666,0.3666666666666666,0.2666666666666666,Mixed,30,36,0,5,31,Shared-Video Exposure,
49,6,0,3.8333333333333335,2.946428571428571,7.859424348889986e-06,Daviena,Mixed_3plus_Brands,Cross-brand Context,Neutral Engagement,Medium,0.25,0.6,0.15,Neutral,20,81,1,5,75,Shared-Video Exposure,0.45454545454545453
5,8,0,31.0,19.046875,0.0005911905227142876,The Originote,The Originote,Single-brand Context,Neutral Engagement,Medium,0.21875,0.640625,0.140625,Neutral,64,1301,0,20,1281,Shared-Video Exposure,0.6699029126213593
50,6,0,5.333333333333333,3.9285714285714284,8.784062507582925e-06,Maryame,Maryame,Single-brand Context,Mixed Goals,Low,0.3333333333333333,0.5,0.1666666666666666,Neutral,18,793,2,9,782,Shared-Video Exposure,0.7777777777777778
52,5,0,5.0,9.075,0.0,Daviena,Daviena,Single-brand Context,Mixed Goals,Low,0.35,0.45,0.2,Neutral,40,267,1,11,255,Shared-Video Exposure,0.8333333333333334
54,11,0,12.090909090909092,9.012987012987013,3.9339150751659525e-05,Azarine,Azarine,Single-brand Context,Mixed Goals,Low,0.2297297297297297,0.5540540540540541,0.2162162162162162,Neutral,74,626,3,90,533,Shared-Video Exposure,0.7073170731707317
60,3,0,1.3333333333333333,1.25,9.246381586929396e-07,Daviena,Daviena,Single-brand Context,Mixed Goals,Low,0.3636363636363636,0.3636363636363636,0.2727272727272727,Mixed,11,98,0,0,98,Shared-Video Exposure,
63,3,0,3.6666666666666665,3.1726190476190474,0.0021340648702633,Maryame,Mixed_3plus_Brands,Cross-brand Context,Mixed Goals,Low,0.3181818181818182,0.5,0.1818181818181818,Neutral,22,210,1,15,194,Shared-Video Exposure,0.6857142857142857
74,3,0,2.0,2.0,0.0,Daviena,Daviena,Single-brand Context,Mixed Goals,Low,0.25,0.5,0.25,Neutral,12,4,0,3,1,Temporal-Context Exposure,1.0
75,4,0,3.0,3.0,0.0,Daviena,Mixed_2_Brands,Cross-brand Context,Mixed Goals,Low,0.375,0.5,0.125,Neutral,16,57,0,55,2,Temporal-Context Exposure,0.6666666666666666
87,5,0,4.0,4.2857142857142865,0.0,Daviena,Mixed_2_Brands,Cross-brand Context,Mixed Goals,Low,0.4,0.48,0.12,Mixed,25,174,0,169,5,Temporal-Context Exposure,
90,4,0,3.25,2.383928571428571,4.160871714118228e-06,Azarine,Mixed_3plus_Brands,Cross-brand Context,Neutral Engagement,High,0.0833333333333333,0.8333333333333334,0.0833333333333333,Neutral,12,9,1,7,1,Temporal-Context Exposure,1.0
99,6,0,5.0,3.6011904761904763,0.0,The Originote,The Originote,Single-brand Context,Promotional / Supportive,High,0.8214285714285714,0.1071428571428571,0.0714285714285714,Positive,28,5,0,4,1,Temporal-Context Exposure,0.0
