Id,Label,Source,Target,Type,Weight,edge_weight_raw,edge_visual_weight,edge_confidence_rank,edge_visual_opacity,edge_type,original_edge_type,is_ambiguous_assignment,is_ambiguous_association,raw_account_count,fractional_account_count,shared_video_count,shared_video_context_count,verified_direct_interaction_count,temporal_mass_comment_count,temporal_pair_count,hcc_account_count,hcc_comment_count
E000158,Ambiguous: HCC_44 -> MASS_HCC_44_Ambiguous_Community_Mass_Association_Negative,HCC_44,MASS_HCC_44_Ambiguous_Community_Mass_Association_Negative,Directed,13.601959151959152,13.601959151959152,2.6811557082021733,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,65,13.601959151959152,65,65.0,0,0,0,0.0,0.0
E000159,Ambiguous: HCC_44 -> MASS_HCC_44_Ambiguous_Community_Mass_Association_Neutral,HCC_44,MASS_HCC_44_Ambiguous_Community_Mass_Association_Neutral,Directed,101.75847767213867,101.75847767213867,4.632381357730806,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,452,101.75847767213867,458,458.0,0,4,28,0.0,0.0
E000160,Ambiguous: HCC_44 -> MASS_HCC_44_Ambiguous_Community_Mass_Association_No_text,HCC_44,MASS_HCC_44_Ambiguous_Community_Mass_Association_No_text,Directed,4.25,4.25,1.6582280766035324,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,17,4.25,17,17.0,0,0,0,0.0,0.0
E000161,Ambiguous: HCC_44 -> MASS_HCC_44_Ambiguous_Community_Mass_Association_Positive,HCC_44,MASS_HCC_44_Ambiguous_Community_Mass_Association_Positive,Directed,3.378968253968254,3.378968253968254,1.4768131381853677,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,15,3.378968253968254,15,15.0,0,0,0,0.0,0.0
E000162,Observed: HCC_44 -> MASS_HCC_44_Observed_Community_Mass_Temporal_Association_Neutral,HCC_44,MASS_HCC_44_Observed_Community_Mass_Temporal_Association_Neutral,Directed,2.0,2.0,1.0986122886681098,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,2,2.0,2,2.0,0,5,31,0.0,0.0
E000163,Observed: HCC_44 -> MASS_HCC_44_Shared_Video_Context_Only_Negative,HCC_44,MASS_HCC_44_Shared_Video_Context_Only_Negative,Directed,1.0,1.0,0.6931471805599453,2,0.65,Observed,Shared-Video Context Only,False,False,1,1.0,1,1.0,0,0,0,0.0,0.0
E000164,Observed: HCC_44 -> MASS_HCC_44_Shared_Video_Context_Only_Neutral,HCC_44,MASS_HCC_44_Shared_Video_Context_Only_Neutral,Directed,24.0,24.0,3.2188758248682006,2,0.65,Observed,Shared-Video Context Only,False,False,24,24.0,24,24.0,0,0,0,0.0,0.0
E000165,Observed: HCC_44 -> MASS_HCC_44_Shared_Video_Context_Only_No_text,HCC_44,MASS_HCC_44_Shared_Video_Context_Only_No_text,Directed,1.0,1.0,0.6931471805599453,2,0.65,Observed,Shared-Video Context Only,False,False,1,1.0,1,1.0,0,0,0,0.0,0.0
E000166,Ambiguous: HCC_46 -> MASS_HCC_46_Ambiguous_Community_Mass_Association_Negative,HCC_46,MASS_HCC_46_Ambiguous_Community_Mass_Association_Negative,Directed,45.8772089022089,45.8772089022089,3.8475316064274327,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,214,45.8772089022089,216,216.0,0,0,0,0.0,0.0
E000167,Ambiguous: HCC_46 -> MASS_HCC_46_Ambiguous_Community_Mass_Association_Neutral,HCC_46,MASS_HCC_46_Ambiguous_Community_Mass_Association_Neutral,Directed,236.03533763707912,236.03533763707912,5.468209233974162,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,1038,236.03533763707912,1054,1054.0,0,0,0,0.0,0.0
E000168,Ambiguous: HCC_46 -> MASS_HCC_46_Ambiguous_Community_Mass_Association_No_text,HCC_46,MASS_HCC_46_Ambiguous_Community_Mass_Association_No_text,Directed,13.8,13.8,2.6946271807700692,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,57,13.8,57,57.0,0,0,0,0.0,0.0
E000169,Ambiguous: HCC_46 -> MASS_HCC_46_Ambiguous_Community_Mass_Association_Positive,HCC_46,MASS_HCC_46_Ambiguous_Community_Mass_Association_Positive,Directed,24.055591630591632,24.055591630591632,3.2210970214073606,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,101,24.055591630591632,101,101.0,0,0,0,0.0,0.0
E000170,Observed: HCC_46 -> MASS_HCC_46_Observed_Community_Mass_Temporal_Association_Neutral,HCC_46,MASS_HCC_46_Observed_Community_Mass_Temporal_Association_Neutral,Directed,5.0,5.0,1.791759469228055,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,5,5.0,6,6.0,0,5,13,0.0,0.0
E000171,Ambiguous: HCC_47 -> MASS_HCC_47_Ambiguous_Community_Mass_Association_Negative,HCC_47,MASS_HCC_47_Ambiguous_Community_Mass_Association_Negative,Directed,18.581285381285383,18.581285381285383,2.97457428261289,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,110,18.581285381285383,110,110.0,0,0,0,0.0,0.0
E000172,Ambiguous: HCC_47 -> MASS_HCC_47_Ambiguous_Community_Mass_Association_Neutral,HCC_47,MASS_HCC_47_Ambiguous_Community_Mass_Association_Neutral,Directed,88.10313401338944,88.10313401338944,4.489794507970284,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,425,88.10313401338944,431,431.0,0,0,0,0.0,0.0
E000173,Ambiguous: HCC_47 -> MASS_HCC_47_Ambiguous_Community_Mass_Association_No_text,HCC_47,MASS_HCC_47_Ambiguous_Community_Mass_Association_No_text,Directed,4.633333333333334,4.633333333333334,1.7287013332609182,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,16,4.633333333333334,16,16.0,0,0,0,0.0,0.0
E000174,Ambiguous: HCC_47 -> MASS_HCC_47_Ambiguous_Community_Mass_Association_Positive,HCC_47,MASS_HCC_47_Ambiguous_Community_Mass_Association_Positive,Directed,5.757936507936508,5.757936507936508,1.910717593151265,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,22,5.757936507936508,22,22.0,0,0,0,0.0,0.0
