username_norm,username,mass_network_position,shared_hcc_video_count,n_hcc_accounts_shared_video,direct_reply_with_hcc_count,mass_replies_to_hcc_count,hcc_replies_to_mass_count,temporal_after_hcc_count,associated_hcc_count,mass_exposure_score,min_minutes_after_hcc,median_minutes_after_hcc,associated_hcc_ids,primary_associated_hcc,association_basis,mass_exposure_level,associated_hcc_brand_context
rosmini4246,rosmini4246,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
rosmini9632,rosmini9632,Outside LCN,1,15,0,0,0,0,3,1,,,1;15;182,1,Shared video context,Shared-Video Exposure,Daviena
rosmivemobp,rosmivemobp,Outside LCN,1,3,0,0,0,0,1,1,,,20,20,Shared video context,Shared-Video Exposure,Daviena
rosniyat,rosniyat,Outside LCN,1,22,0,0,0,0,5,1,,,16;52;63;103;181,16,Shared video context,Shared-Video Exposure,Daviena
rosrosita536,rosrosita536,Outside LCN,1,18,0,0,0,2,4,5,0.26666666666666666,0.5333333333333333,63;75;113;117,75,Temporal association after HCC comment,Temporal-Context Exposure,Daviena
ross28_12,ross28_12,Outside LCN,1,12,0,0,0,0,3,1,,,45;74;206,45,Shared video context,Shared-Video Exposure,Maryame
rossaana1,rossaana1,Outside LCN,1,11,0,0,0,0,3,1,,,1;52;60,1,Shared video context,Shared-Video Exposure,Daviena
rossaputrichaniag,rossaputrichaniag,Outside LCN,1,21,0,0,0,0,4,1,,,45;48;113;150,45,Shared video context,Shared-Video Exposure,Maryame
rossaros49,rossaros49,Outside LCN,1,10,0,0,0,0,2,1,,,20;183,20,Shared video context,Shared-Video Exposure,Daviena
rossee914,rossee914,Outside LCN,1,22,0,0,0,0,5,1,,,16;52;63;103;181,16,Shared video context,Shared-Video Exposure,Daviena
rosspolan,rosspolan,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
rosspotcntik,rosspotcntik,Outside LCN,1,8,0,0,0,0,2,1,,,18;63,18,Shared video context,Shared-Video Exposure,The Originote
rossy.4617,rossy.4617,Outside LCN,1,25,0,0,0,0,4,1,,,5;46;48;191,5,Shared video context,Shared-Video Exposure,The Originote
rostianiani12,rostianiani12,Outside LCN,1,21,0,0,0,0,4,1,,,45;48;113;150,45,Shared video context,Shared-Video Exposure,Maryame
rostika921,rostika921,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rostikaputri_shop05,rostikaputri_shop05,Outside LCN,1,11,0,0,0,0,3,1,,,1;52;60,1,Shared video context,Shared-Video Exposure,Daviena
rostinatambunan76,rostinatambunan76,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
rostini572,rostini572,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rosyalfathramadha,rosyalfathramadha,Outside LCN,1,14,0,0,0,0,3,1,,,20;87;182,20,Shared video context,Shared-Video Exposure,Daviena
roszaanwar,roszaanwar,Outside LCN,1,10,0,0,0,0,2,1,,,20;183,20,Shared video context,Shared-Video Exposure,Daviena
rotimah2803,rotimah2803,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
rounding16,rounding16,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
roxy9595,roxy9595,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
roy.alvaro2,roy.alvaro2,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
royal_gallery,royal_gallery,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
royhan_68,royhan_68,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
royko_ayam06,royko_ayam06,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rozaiswandira02,rozaiswandira02,Outside LCN,1,17,0,0,0,1,3,3,1.8166666666666667,1.8166666666666667,2;3;150,150,Temporal association after HCC comment,Temporal-Context Exposure,Maryame
rozaqzaqly,rozaqzaqly,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
rozzemoy820,rozzemoy820,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
rqt2204,rqt2204,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
rr4_pi0,rr4_pi0,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rr_olshop87,rr_olshop87,Outside LCN,1,16,0,0,0,0,4,1,,,50;63;75;206,50,Shared video context,Shared-Video Exposure,Maryame
rra4hqyzu04,rra4hqyzu04,Outside LCN,1,22,0,0,0,0,5,1,,,16;52;63;103;181,16,Shared video context,Shared-Video Exposure,Daviena
rraann_14,rraann_14,Outside LCN,1,18,0,0,0,0,4,1,,,1;87;90;150,1,Shared video context,Shared-Video Exposure,Daviena
rrcolection06,rrcolection06,Outside LCN,1,18,0,0,0,0,4,1,,,1;87;90;150,1,Shared video context,Shared-Video Exposure,Daviena
rrerestiy,rrerestiy,Outside LCN,1,18,0,0,0,0,4,1,,,1;87;90;150,1,Shared video context,Shared-Video Exposure,Daviena
rrevayy,rrevayy,Outside LCN,1,18,0,0,0,0,4,1,,,5;17;99;134,5,Shared video context,Shared-Video Exposure,The Originote
rrieenn_,rrieenn_,Outside LCN,1,3,0,0,0,0,1,1,,,20,20,Shared video context,Shared-Video Exposure,Daviena
rrimmaa4,rrimmaa4,Outside LCN,1,21,0,0,0,0,5,1,,,52;60;75;103;168,52,Shared video context,Shared-Video Exposure,Daviena
rrindaww_,rrindaww_,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rrinloavv,rrinloavv,Outside LCN,1,31,0,0,0,0,6,1,,,15;16;87;134;181;183,15,Shared video context,Shared-Video Exposure,The Originote
rriz_26,rriz_26,Outside LCN,1,25,0,0,0,0,4,1,,,5;46;48;191,5,Shared video context,Shared-Video Exposure,The Originote
rrlinkk,rrlinkk,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
rrndrnaaa,rrndrnaaa,Outside LCN,1,25,0,0,0,0,4,1,,,17;54;132;180,17,Shared video context,Shared-Video Exposure,Maryame
