username_norm,username,mass_network_position,shared_hcc_video_count,n_hcc_accounts_shared_video,direct_reply_with_hcc_count,mass_replies_to_hcc_count,hcc_replies_to_mass_count,temporal_after_hcc_count,associated_hcc_count,mass_exposure_score,min_minutes_after_hcc,median_minutes_after_hcc,associated_hcc_ids,primary_associated_hcc,association_basis,mass_exposure_level,associated_hcc_brand_context
.............za20,.............za20,Outside LCN,1,12,0,0,0,0,2,1,,,183;191,183,Shared video context,Shared-Video Exposure,The Originote
.....sulaeman,.....sulaeman,Outside LCN,1,22,0,0,0,0,5,1,,,16;52;63;103;181,16,Shared video context,Shared-Video Exposure,Daviena
....me_cancer,....me_cancer,Outside LCN,1,10,0,0,0,0,2,1,,,20;183,20,Shared video context,Shared-Video Exposure,Daviena
...lee77,...lee77,Outside LCN,1,23,0,0,0,0,4,1,,,45;48;54;204,45,Shared video context,Shared-Video Exposure,Maryame
.._000112,.._000112,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
..ftr8,..ftr8,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
..melamun,..melamun,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
..riska83,..riska83,Outside LCN,1,18,0,0,0,0,4,1,,,1;87;90;150,1,Shared video context,Shared-Video Exposure,Daviena
.5th6,.5th6,Outside LCN,2,27,0,0,0,0,5,2,,,5;17;52;132;205,5,Shared video context,Shared-Video Exposure,The Originote
._kikyangel,._kikyangel,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.a.y323,.a.y323,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.abcdefghi58,.abcdefghi58,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.aicrl,.aicrl,Outside LCN,2,30,0,0,0,0,7,2,,,17;34;45;48;113;150;206,17,Shared video context,Shared-Video Exposure,Maryame
.akuntidakditemukan028,.akuntidakditemukan028,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.anakewong09,.anakewong09,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.ang_el4_n,.ang_el4_n,Outside LCN,1,18,0,0,0,0,4,1,,,1;87;90;150,1,Shared video context,Shared-Video Exposure,Daviena
.anuraini,.anuraini,Outside LCN,1,10,0,0,0,0,2,1,,,20;183,20,Shared video context,Shared-Video Exposure,Daviena
.asics8,.asics8,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.atheuy,.atheuy,Outside LCN,1,24,0,0,0,0,6,1,,,14;15;17;18;49;191,14,Shared video context,Shared-Video Exposure,Daviena
.ayamkucing,.ayamkucing,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.ayng_,.ayng_,Outside LCN,1,18,0,0,0,1,5,3,18.666666666666668,18.666666666666668,14;34;75;134;150,34,Temporal association after HCC comment,Temporal-Context Exposure,Daviena
.bakoelgedhang02,.bakoelgedhang02,Outside LCN,1,13,0,0,0,0,4,1,,,45;48;54;134,45,Shared video context,Shared-Video Exposure,Maryame
.bintang15.3,.bintang15.3,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.black_orchid,.black_orchid,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.cappucinosusu,.cappucinosusu,Outside LCN,1,19,0,0,0,0,4,1,,,3;5;45;63,3,Shared video context,Shared-Video Exposure,Maryame
.cloud_25,.cloud_25,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.desember112,.desember112,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.dfw02,.dfw02,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.dicky_7,.dicky_7,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.elmamirza,.elmamirza,Outside LCN,1,21,0,0,0,0,4,1,,,45;48;113;150,45,Shared video context,Shared-Video Exposure,Maryame
.em.min,.em.min,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.fav_02,.fav_02,Outside LCN,1,18,0,0,0,0,4,1,,,1;87;90;150,1,Shared video context,Shared-Video Exposure,Daviena
.fh.p3,.fh.p3,Outside LCN,1,31,0,0,0,0,6,1,,,15;16;87;134;181;183,15,Shared video context,Shared-Video Exposure,The Originote
.fitri_25,.fitri_25,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.ggg290,.ggg290,Outside LCN,1,23,0,0,0,0,5,1,,,2;20;49;63;114,2,Shared video context,Shared-Video Exposure,Maryame
.hahahihi1_,.hahahihi1_,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.hana1771,.hana1771,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.icaaahh,.icaaahh,Outside LCN,1,3,0,0,0,0,1,1,,,20,20,Shared video context,Shared-Video Exposure,Daviena
.ind27,.ind27,Outside LCN,2,27,0,0,0,0,6,2,,,49;60;63;103;150;168,49,Shared video context,Shared-Video Exposure,Daviena
.j.r18,.j.r18,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.jesuslovesyou72,.jesuslovesyou72,Outside LCN,1,11,0,0,0,0,3,1,,,1;52;60,1,Shared video context,Shared-Video Exposure,Daviena
.kholifahfurniture,.kholifahfurniture,Outside LCN,1,10,0,0,0,0,2,1,,,20;183,20,Shared video context,Shared-Video Exposure,Daviena
.kita89,.kita89,Outside LCN,1,19,0,0,0,0,4,1,,,17;52;132;205,17,Shared video context,Shared-Video Exposure,Maryame
.lala_85,.lala_85,Outside LCN,1,23,0,0,0,0,4,1,,,45;48;54;204,45,Shared video context,Shared-Video Exposure,Maryame
.libra137,.libra137,Outside LCN,1,10,0,0,0,0,2,1,,,20;183,20,Shared video context,Shared-Video Exposure,Daviena
.lucky_b,.lucky_b,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.m.apip,.m.apip,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.machalatte_1212,.machalatte_1212,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.mailandiah,.mailandiah,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.mamahrio,.mamahrio,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.mbok_nom,.mbok_nom,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.miss18u,.miss18u,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.mudahdatangmudahpergi,.mudahdatangmudahpergi,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.nakal147,.nakal147,Outside LCN,1,22,0,0,0,0,4,1,,,2;17;20;50,2,Shared video context,Shared-Video Exposure,Maryame
.nareswari,.nareswari,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.ndrana06,.ndrana06,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.niissaaa,.niissaaa,Outside LCN,1,22,0,0,0,0,5,1,,,16;52;63;103;181,16,Shared video context,Shared-Video Exposure,Daviena
.niki.nink.thakari,.niki.nink.thakari,Outside LCN,1,14,0,0,0,0,3,1,,,52;74;114,52,Shared video context,Shared-Video Exposure,Daviena
.nisak27,.nisak27,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.nitata,.nitata,Outside LCN,1,31,0,0,0,15,6,31,22.733333333333334,24.466666666666665,15;16;87;134;181;183,16,Temporal association after HCC comment,Temporal-Context Exposure,Daviena
.novitasari_14,.novitasari_14,Outside LCN,1,31,0,0,0,0,6,1,,,15;16;87;134;181;183,15,Shared video context,Shared-Video Exposure,The Originote
.nurhati,.nurhati,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.nurul003,.nurul003,Outside LCN,1,10,0,0,0,0,2,1,,,20;183,20,Shared video context,Shared-Video Exposure,Daviena
.panggilsajahoney,.panggilsajahoney,Outside LCN,1,12,0,0,0,0,4,1,,,14;20;42;63,14,Shared video context,Shared-Video Exposure,Daviena
.pendosa4,.pendosa4,Outside LCN,1,14,0,0,0,0,3,1,,,52;74;114,52,Shared video context,Shared-Video Exposure,Daviena
.pirs_,.pirs_,Outside LCN,1,18,0,0,0,4,5,9,7.35,23.766666666666666,14;34;75;134;150,14,Temporal association after HCC comment,Temporal-Context Exposure,Daviena
.rey1507,.rey1507,Outside LCN,1,29,0,0,0,0,5,1,,,17;18;54;87;180,17,Shared video context,Shared-Video Exposure,Maryame
.rezzz0a,.rezzz0a,Outside LCN,1,18,0,0,0,0,4,1,,,1;87;90;150,1,Shared video context,Shared-Video Exposure,Daviena
.ridoagss,.ridoagss,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.risna11,.risna11,Outside LCN,1,18,0,0,0,1,5,3,30.4,30.4,14;34;75;134;150,150,Temporal association after HCC comment,Temporal-Context Exposure,Maryame
.rista.17,.rista.17,Outside LCN,1,3,0,0,0,0,1,1,,,20,20,Shared video context,Shared-Video Exposure,Daviena
.saaaaanty,.saaaaanty,Outside LCN,1,17,0,0,0,0,4,1,,,34;42;46;74,34,Shared video context,Shared-Video Exposure,Daviena
.sagitarius073,.sagitarius073,Outside LCN,1,18,0,0,0,2,5,5,34.18333333333333,35.58333333333333,14;34;75;134;150,150,Temporal association after HCC comment,Temporal-Context Exposure,Maryame
.sapadulungana,.sapadulungana,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.sary1405,.sary1405,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.sayang995,.sayang995,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.siskafina,.siskafina,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.skydin,.skydin,Outside LCN,1,3,0,0,0,0,1,1,,,20,20,Shared video context,Shared-Video Exposure,Daviena
.sm_.._,.sm_.._,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
.sofi1510,.sofi1510,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.susana24,.susana24,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.t23707,.t23707,Outside LCN,1,3,0,0,0,0,1,1,,,20,20,Shared video context,Shared-Video Exposure,Daviena
.tika555,.tika555,Outside LCN,1,18,0,0,0,2,5,5,23.083333333333332,24.483333333333334,14;34;75;134;150,150,Temporal association after HCC comment,Temporal-Context Exposure,Maryame
.tiktok_paylater,.tiktok_paylater,Outside LCN,1,13,0,0,0,0,2,1,,,5;205,5,Shared video context,Shared-Video Exposure,The Originote
.titishu,.titishu,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
.toriq044,.toriq044,Outside LCN,1,18,0,0,0,0,4,1,,,1;87;90;150,1,Shared video context,Shared-Video Exposure,Daviena
.usercry_11,.usercry_11,Outside LCN,1,3,0,0,0,0,1,1,,,20,20,Shared video context,Shared-Video Exposure,Daviena
.v_0x,.v_0x,Outside LCN,1,31,0,0,0,0,6,1,,,15;16;87;134;181;183,15,Shared video context,Shared-Video Exposure,The Originote
.vika123rahmawati,.vika123rahmawati,Outside LCN,1,12,0,0,0,0,3,1,,,45;74;206,45,Shared video context,Shared-Video Exposure,Maryame
.virgo441,.virgo441,Outside LCN,1,8,0,0,0,0,2,1,,,18;63,18,Shared video context,Shared-Video Exposure,The Originote
.xixio,.xixio,Outside LCN,1,9,0,0,0,0,3,1,,,17;34;206,17,Shared video context,Shared-Video Exposure,Maryame
.xylsangri,.xylsangri,Outside LCN,1,25,0,0,0,0,4,1,,,17;54;132;180,17,Shared video context,Shared-Video Exposure,Maryame
.xyzl__,.xyzl__,Outside LCN,1,15,0,0,0,0,3,1,,,42;52;103,42,Shared video context,Shared-Video Exposure,Daviena
.xyzraa_18,.xyzraa_18,Outside LCN,1,19,0,0,0,0,4,1,,,17;52;132;205,17,Shared video context,Shared-Video Exposure,Maryame
.yourbadgirl,.yourbadgirl,Outside LCN,1,13,0,0,0,0,2,1,,,5;205,5,Shared video context,Shared-Video Exposure,The Originote
.zzahrah1,.zzahrah1,Outside LCN,1,9,0,0,0,0,3,1,,,17;34;206,17,Shared video context,Shared-Video Exposure,Maryame
00.00_zero.oclock,00.00_zero.oclock,Outside LCN,1,29,0,0,0,0,5,1,,,17;18;54;87;180,17,Shared video context,Shared-Video Exposure,Maryame
000h000_,000h000_,Outside LCN,1,29,0,0,0,0,5,1,,,17;18;54;87;180,17,Shared video context,Shared-Video Exposure,Maryame
00_1hhhi,00_1hhhi,Outside LCN,1,15,0,0,0,0,4,1,,,50;54;63;103,50,Shared video context,Shared-Video Exposure,Maryame
00_nanana_00,00_nanana_00,Outside LCN,1,11,0,0,0,0,3,1,,,20;63;114,20,Shared video context,Shared-Video Exposure,Daviena
00b74,00b74,Outside LCN,1,31,0,0,0,12,6,25,13.316666666666666,39.74166666666667,15;16;87;134;181;183,183,Temporal association after HCC comment,Temporal-Context Exposure,The Originote
00butwhoknows,00butwhoknows,Outside LCN,1,28,0,0,0,0,5,1,,,5;34;99;117;150,5,Shared video context,Shared-Video Exposure,The Originote
00rainb0ws4lt,00rainb0ws4lt,Outside LCN,1,15,0,0,0,0,4,1,,,50;54;63;103,50,Shared video context,Shared-Video Exposure,Maryame
0101ayang0183296850675,0101ayang0183296850675,Outside LCN,1,8,0,0,0,1,3,3,47.31666666666667,47.31666666666667,14;20;34,34,Temporal association after HCC comment,Temporal-Context Exposure,Daviena
01akudewe,01akudewe,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
01februariulangtahunku,01februariulangtahunku,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
01whoare_you,01whoare_you,Outside LCN,1,3,0,0,0,0,1,1,,,20,20,Shared video context,Shared-Video Exposure,Daviena
020326pashakobun,020326pashakobun,Outside LCN,1,17,0,0,0,0,3,1,,,16;99;150,16,Shared video context,Shared-Video Exposure,Daviena
021117ha,021117ha,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
02nudia98,02nudia98,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
02setiaa,02setiaa,Outside LCN,1,8,0,0,0,0,2,1,,,18;63,18,Shared video context,Shared-Video Exposure,The Originote
0311lni,0311lni,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
0351hayati,0351hayati,Outside LCN,1,29,0,0,0,0,5,1,,,17;18;54;87;180,17,Shared video context,Shared-Video Exposure,Maryame
03_ony,03_ony,Outside LCN,1,31,0,0,0,0,6,1,,,15;16;87;134;181;183,15,Shared video context,Shared-Video Exposure,The Originote
03ryss,03ryss,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
0404lp,0404lp,Outside LCN,1,18,0,0,0,0,4,1,,,1;87;90;150,1,Shared video context,Shared-Video Exposure,Daviena
04april19977,04april19977,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
04scorpi,04scorpi,Outside LCN,1,8,0,0,0,0,2,1,,,18;63,18,Shared video context,Shared-Video Exposure,The Originote
050599chycisohra,050599chycisohra,Outside LCN,1,15,0,0,0,0,3,1,,,1;15;182,1,Shared video context,Shared-Video Exposure,Daviena
0526mp,0526mp,Outside LCN,1,24,0,0,0,0,4,1,,,5;48;117;205,5,Shared video context,Shared-Video Exposure,The Originote
05eliska,05eliska,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
05foaqsy,05foaqsy,Outside LCN,1,19,0,0,0,0,4,1,,,17;52;132;205,17,Shared video context,Shared-Video Exposure,Maryame
05wardaaa,05wardaaa,Outside LCN,1,22,0,0,0,0,5,1,,,16;52;63;103;181,16,Shared video context,Shared-Video Exposure,Daviena
06.libra,06.libra,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
0621010207d,0621010207d,Outside LCN,1,17,0,0,0,0,3,1,,,16;99;150,16,Shared video context,Shared-Video Exposure,Daviena
06feby04,06feby04,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
06widyaanggraini03,06widyaanggraini03,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
07021999_,07021999_,Outside LCN,1,16,0,0,0,0,4,1,,,50;63;75;206,50,Shared video context,Shared-Video Exposure,Maryame
0802.2008,0802.2008,Outside LCN,1,3,0,0,0,0,1,1,,,20,20,Shared video context,Shared-Video Exposure,Daviena
0889manismanismanja,0889manismanismanja,Outside LCN,1,11,0,0,0,0,3,1,,,1;52;60,1,Shared video context,Shared-Video Exposure,Daviena
08novitaaaaaa,08novitaaaaaa,Outside LCN,3,39,0,0,0,0,9,3,,,16;34;42;46;52;63;74;103;181,42,Shared video context,Shared-Video Exposure,Daviena
08pm.xx,08pm.xx,Outside LCN,1,18,0,0,0,0,4,1,,,5;17;99;134,5,Shared video context,Shared-Video Exposure,The Originote
09.03.9930,09.03.9930,Outside LCN,1,18,0,0,0,1,5,3,28.183333333333334,28.183333333333334,14;34;75;134;150,150,Temporal association after HCC comment,Temporal-Context Exposure,Maryame
09nkeenn,09nkeenn,Outside LCN,1,29,0,0,0,0,5,1,,,17;18;54;87;180,17,Shared video context,Shared-Video Exposure,Maryame
0caak8,0caak8,Outside LCN,1,29,0,0,0,0,5,1,,,17;18;54;87;180,17,Shared video context,Shared-Video Exposure,Maryame
0cta222,0cta222,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
0ctt_aviiee,0ctt_aviiee,Outside LCN,2,38,0,0,0,0,9,2,,,17;34;52;54;60;75;103;168;204,52,Shared video context,Shared-Video Exposure,Daviena
0mn1buslaw,0mn1buslaw,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
0nely_,0nely_,Outside LCN,1,8,0,0,0,0,1,1,,,5,5,Shared video context,Shared-Video Exposure,The Originote
0whiee,0whiee,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
1.july_,1.july_,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
10.11.wonk,10.11.wonk,Outside LCN,1,18,0,0,0,1,5,3,57.483333333333334,57.483333333333334,14;34;75;134;150,34,Temporal association after HCC comment,Temporal-Context Exposure,Daviena
100813karsan,100813karsan,Outside LCN,1,17,0,0,0,0,3,1,,,16;99;150,16,Shared video context,Shared-Video Exposure,Daviena
10_maysha,10_maysha,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
11111183639sbaffwiw,11111183639sbaffwiw,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
1111baho,1111baho,Outside LCN,1,29,0,0,0,0,5,1,,,17;18;54;87;180,17,Shared video context,Shared-Video Exposure,Maryame
1111mikomiko,1111mikomiko,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
112233.elisabeth,112233.elisabeth,Outside LCN,1,3,0,0,0,0,1,1,,,20,20,Shared video context,Shared-Video Exposure,Daviena
11caaaa,11caaaa,Outside LCN,1,31,0,0,0,0,6,1,,,15;16;87;134;181;183,15,Shared video context,Shared-Video Exposure,The Originote
11username015,11username015,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
1200rl,1200rl,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
1212_tiktok,1212_tiktok,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
1227_89,1227_89,Outside LCN,1,8,0,0,0,0,2,1,,,18;63,18,Shared video context,Shared-Video Exposure,The Originote
12345678_m222,12345678_m222,Outside LCN,1,19,0,0,0,0,4,1,,,17;52;132;205,17,Shared video context,Shared-Video Exposure,Maryame
12345yulie,12345yulie,Outside LCN,1,18,0,0,0,1,5,3,58.95,58.95,14;34;75;134;150,150,Temporal association after HCC comment,Temporal-Context Exposure,Maryame
12346salwa,12346salwa,Outside LCN,1,18,0,0,0,11,4,23,25.016666666666666,26.966666666666665,63;75;113;117,113,Temporal association after HCC comment,Temporal-Context Exposure,Maryame
1234adzka,1234adzka,Outside LCN,1,23,0,0,0,0,4,1,,,45;48;54;204,45,Shared video context,Shared-Video Exposure,Maryame
1234seriritonga,1234seriritonga,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
123_akusayangkamu80,123_akusayangkamu80,Outside LCN,1,24,0,0,0,1,4,3,21.333333333333332,21.333333333333332,5;48;117;205,5,Temporal association after HCC comment,Temporal-Context Exposure,The Originote
123cibaliung,123cibaliung,Outside LCN,1,7,0,0,0,0,2,1,,,54;87,54,Shared video context,Shared-Video Exposure,Azarine
123hasna3,123hasna3,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
123indahmustika80,123indahmustika80,Outside LCN,1,18,0,0,0,2,5,5,38.483333333333334,39.88333333333333,14;34;75;134;150,150,Temporal association after HCC comment,Temporal-Context Exposure,Maryame
129zahara,129zahara,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
12acunmu,12acunmu,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
12anis09,12anis09,Outside LCN,1,3,0,0,0,0,1,1,,,20,20,Shared video context,Shared-Video Exposure,Daviena
12bismillah.bisa,12bismillah.bisa,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
12dsbj,12dsbj,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
12izk,12izk,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
12lvez,12lvez,Outside LCN,1,13,0,0,0,0,2,1,,,5;205,5,Shared video context,Shared-Video Exposure,The Originote
12november50,12november50,Outside LCN,1,22,0,0,0,0,5,1,,,16;52;63;103;181,16,Shared video context,Shared-Video Exposure,Daviena
13.12.24._,13.12.24._,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
140414hj,140414hj,Outside LCN,1,8,0,0,0,0,2,1,,,18;63,18,Shared video context,Shared-Video Exposure,The Originote
14april819,14april819,Outside LCN,1,25,0,0,0,0,4,1,,,5;46;48;191,5,Shared video context,Shared-Video Exposure,The Originote
14shin_,14shin_,Outside LCN,1,15,0,0,0,0,4,1,,,50;54;63;103,50,Shared video context,Shared-Video Exposure,Maryame
151018zan,151018zan,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
15107libra7,15107libra7,Outside LCN,1,18,0,0,0,0,4,1,,,1;87;90;150,1,Shared video context,Shared-Video Exposure,Daviena
15_a_y,15_a_y,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
1670fc,1670fc,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
1674ie,1674ie,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
1738ckjgi,1738ckjgi,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
17cwekampung,17cwekampung,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
17februari__2,17februari__2,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
17juwitaa,17juwitaa,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
17mei_05,17mei_05,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
17mery,17mery,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
1811archives,1811archives,Outside LCN,1,19,0,0,0,0,4,1,,,17;52;132;205,17,Shared video context,Shared-Video Exposure,Maryame
18mayev_,18mayev_,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
18yann._,18yann._,Outside LCN,1,29,0,0,0,0,5,1,,,17;18;54;87;180,17,Shared video context,Shared-Video Exposure,Maryame
196devina,196devina,Outside LCN,1,11,0,0,0,0,3,1,,,20;63;114,20,Shared video context,Shared-Video Exposure,Daviena
1983_1213,1983_1213,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
1985.bebalu.lengi,1985.bebalu.lengi,Outside LCN,1,18,0,0,0,0,4,1,,,1;87;90;150,1,Shared video context,Shared-Video Exposure,Daviena
19juni23_,19juni23_,Outside LCN,1,13,0,0,0,0,4,1,,,45;48;54;134,45,Shared video context,Shared-Video Exposure,Maryame
