candidate_id,coverage_target,confidence_threshold,actual_coverage,covered_accuracy,covered_macro_f1,full_set_accuracy_abstain_wrong,n_abstained,locked_test_used
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0__seed42,1.0,0.0,1.0,0.7574206755373593,0.711486727477627,0.7574206755373593,0,False
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0__seed52,0.9343,0.5294358134269714,0.9344933469805528,0.7897042716319824,0.7469557707342389,0.7379733879222109,64,False
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0__seed52,0.95,0.5013258457183838,0.9508700102354145,0.7836383207750269,0.7424210337505136,0.7451381780962129,48,False
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0__seed52,1.0,0.0,1.0,0.7676560900716479,0.7252996804116548,0.7676560900716479,0,False
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0__seed62,0.9343,0.5447669625282288,0.9344933469805528,0.7951807228915663,0.7417556912983198,0.7430910951893551,64,False
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0__seed62,0.95,0.5182551145553589,0.9508700102354145,0.7879440258342304,0.7356291396708089,0.7492323439099283,48,False
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0__seed62,1.0,0.0,1.0,0.7737973387922211,0.7257479829151907,0.7737973387922211,0,False
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0__seed42,0.9343,0.5120049118995667,0.9344933469805528,0.8039430449069004,0.7456414143747878,0.7512794268167861,64,False
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0__seed42,0.95,0.4934565424919128,0.9508700102354145,0.7976318622174381,0.7410559879867039,0.7584442169907881,48,False
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0__seed42,1.0,0.0,1.0,0.7840327533265097,0.7299503367135532,0.7840327533265097,0,False
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0__seed52,0.9343,0.5758936405181885,0.9344933469805528,0.7995618838992333,0.7408986241322392,0.7471852610030706,64,False
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0__seed52,0.95,0.5524703860282898,0.9508700102354145,0.7922497308934338,0.7339271998703367,0.7533265097236438,48,False
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0__seed52,1.0,0.0,1.0,0.77482088024565,0.7205119376034966,0.77482088024565,0,False
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0__seed62,0.9343,0.524918258190155,0.9344933469805528,0.7940854326396495,0.7448743629854543,0.7420675537359263,64,False
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0__seed62,0.95,0.49787238240242,0.9508700102354145,0.7868675995694295,0.738513178923962,0.7482088024564995,48,False
single__stage2__indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0__seed62,1.0,0.0,1.0,0.7737973387922211,0.7276222962167141,0.7737973387922211,0,False
seed_prob_average__stage2__indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0,0.9343,0.5021046102046967,0.9344933469805528,0.7940854326396495,0.7456898324540222,0.7420675537359263,64,False
seed_prob_average__stage2__indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0,0.95,0.48769062757492065,0.9508700102354145,0.7868675995694295,0.7377299063528627,0.7482088024564995,48,False
seed_prob_average__stage2__indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0,1.0,0.0,1.0,0.7686796315250768,0.7202276904781009,0.7686796315250768,0,False
seed_majority_vote__stage2__indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0,0.9343,0.6666666666666666,0.9938587512794268,0.7703398558187435,0.7236995974500949,0.7656090071647902,6,False
seed_majority_vote__stage2__indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0,0.95,0.6666666666666666,0.9938587512794268,0.7703398558187435,0.7236995974500949,0.7656090071647902,6,False
