input_mode,max_length,learning_rate,classifier_dropout,loss,label_smoothing,warmup_ratio,weight_decay,model_id,trial_id,stage,seed,fold,best_epoch,max_epochs,early_stopping_patience,class_weights_source,class_weights_negative,class_weights_neutral,class_weights_positive,model_revision,training_seconds,n,accuracy,macro_f1,weighted_f1,balanced_accuracy,mcc,min_class_recall,positive_recall,selection_score_raw,selection_score,class_collapse,auto_disqualified,negative_prediction_share,negative_prediction_drift,predicted_negative,predicted_neutral,predicted_positive,ece,brier_score,mean_confidence,negative_precision,negative_recall,negative_f1,negative_support,neutral_precision,neutral_recall,neutral_f1,neutral_support,positive_precision,positive_f1,positive_support
comment_only,128,1e-05,0.1,cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr1em05__drop0p1__cross_entropy__ls0p0,stage1,42,1,5,8,2,training_fold_only,1.8389830589294434,0.5771276354789734,1.382165551185608,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,18.42905020713806,326,0.745398773006135,0.6835520035520036,0.7446977970904352,0.6850143137672416,0.5504939858699163,0.5,0.726027397260274,0.6391637090547803,0.6391637090547803,False,True,0.17484662576687116,0.009202453987730064,57,192,77,0.08495568287518854,0.12232897516776858,0.8303544521331787,0.5263157894736842,0.5,0.5128205128205128,60,0.8333333333333334,0.8290155440414507,0.8311688311688312,193,0.6883116883116883,0.7066666666666667,73
comment_only,128,1e-05,0.1,cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr1em05__drop0p1__cross_entropy__ls0p0,stage1,42,2,7,8,2,training_fold_only,1.7359999418258667,0.5817694664001465,1.4183006286621094,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,19.615548133850098,326,0.8128834355828221,0.7313824331213964,0.8032823038132,0.7165464813712793,0.6533079147551084,0.4339622641509434,0.7922077922077922,0.6813861677385782,0.6813861677385782,False,True,0.11042944785276074,0.052147239263803685,36,213,77,0.10371583352791017,0.10235074544394955,0.8976430892944336,0.6388888888888888,0.4339622641509434,0.5168539325842697,53,0.8497652582159625,0.923469387755102,0.8850855745721271,196,0.7922077922077922,0.7922077922077922,77
comment_only,128,1e-05,0.1,cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr1em05__drop0p1__cross_entropy__ls0p0,stage1,42,3,4,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,14.371092796325684,325,0.7353846153846154,0.6763373448520807,0.7357722133911221,0.6749287749287749,0.5530918035290258,0.5692307692307692,0.6,0.6268422980584264,0.6268422980584264,False,False,0.2246153846153846,0.024615384615384595,73,183,69,0.05373577337998611,0.12087015614500347,0.7839052081108093,0.5068493150684932,0.5692307692307692,0.5362318840579711,65,0.8415300546448088,0.8555555555555555,0.8484848484848485,180,0.6956521739130435,0.6442953020134228,80
comment_only,128,1e-05,0.1,cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr1em05__drop0p1__cross_entropy__ls0p0,stage1,42,ALL_OOF,5,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,14.371092796325684,977,0.7645854657113613,0.698049598257601,0.7620410079948522,0.6933043598459059,0.583544322480957,0.5056179775280899,0.7043478260869566,0.6496062798575978,0.6496062798575978,False,True,0.1699078812691914,0.012282497441146373,166,588,223,0.07277011331418648,0.11517747138388945,0.8373555790255477,0.5421686746987951,0.5056179775280899,0.5232558139534884,178,0.8418367346938775,0.8699472759226714,0.8556611927398444,569,0.726457399103139,0.7152317880794702,230
comment_only,128,2e-05,0.2,cross_entropy,0.025,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr2em05__drop0p2__cross_entropy__ls0p025,stage1,42,1,7,8,2,training_fold_only,1.8389830589294434,0.5771276354789734,1.382165551185608,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,20.97458004951477,326,0.7484662576687117,0.6872506321325219,0.7484622763353259,0.6924196181418129,0.5597790887713092,0.5,0.7534246575342466,0.6476894109293274,0.6476894109293274,False,True,0.17484662576687116,0.009202453987730064,57,188,81,0.15880861311602446,0.13293221596672603,0.8930121064186096,0.5263157894736842,0.5,0.5128205128205128,60,0.8457446808510638,0.8238341968911918,0.8346456692913385,193,0.6790123456790124,0.7142857142857143,73
comment_only,128,2e-05,0.2,cross_entropy,0.025,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr2em05__drop0p2__cross_entropy__ls0p025,stage1,42,2,5,8,2,training_fold_only,1.7359999418258667,0.5817694664001465,1.4183006286621094,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,17.091443300247192,326,0.8067484662576687,0.7259963291764145,0.7966207346626769,0.7164414650937562,0.6449435177246262,0.41509433962264153,0.8311688311688312,0.6810529777893846,0.6810529777893846,False,True,0.10122699386503067,0.06134969325153375,33,208,85,0.1016029179827567,0.10808540385085469,0.9014149308204651,0.6666666666666666,0.41509433962264153,0.5116279069767442,53,0.8509615384615384,0.9030612244897959,0.8762376237623762,196,0.7529411764705882,0.7901234567901234,77
comment_only,128,2e-05,0.2,cross_entropy,0.025,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr2em05__drop0p2__cross_entropy__ls0p025,stage1,42,3,4,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,14.834676027297974,325,0.72,0.6750738871970062,0.726515062845538,0.6847578347578347,0.5425125233367574,0.6153846153846154,0.65,0.6400302357258624,0.6400302357258624,False,False,0.24923076923076923,0.04923076923076922,81,165,79,0.10142928526951717,0.12788015873749806,0.8214293718338013,0.49382716049382713,0.6153846153846154,0.547945205479452,65,0.8606060606060606,0.7888888888888889,0.8231884057971014,180,0.6582278481012658,0.6540880503144654,80
comment_only,128,2e-05,0.2,cross_entropy,0.025,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr2em05__drop0p2__cross_entropy__ls0p025,stage1,42,ALL_OOF,5,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,14.834676027297974,977,0.7584442169907881,0.6977461098291791,0.7582695424797994,0.7001341640745355,0.5798394682009114,0.5168539325842697,0.7434782608695653,0.6574032937799987,0.6574032937799987,False,True,0.1750255885363357,0.007164790174002067,171,561,245,0.11889418962668011,0.12296089616097376,0.8720037806607561,0.5380116959064327,0.5168539325842697,0.5272206303724928,178,0.8520499108734403,0.8400702987697716,0.8460176991150442,569,0.6979591836734694,0.72,230
comment_only,128,3e-05,0.3,cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr3em05__drop0p3__cross_entropy__ls0p0,stage1,42,1,3,8,2,training_fold_only,1.8389830589294434,0.5771276354789734,1.382165551185608,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,12.886054277420044,326,0.7423312883435583,0.6784613806463322,0.743582161440454,0.6768775482843195,0.544638665711667,0.5833333333333334,0.6027397260273972,0.6289461112820678,0.6289461112820678,False,False,0.2147239263803681,0.03067484662576689,70,195,61,0.05635449454828273,0.12168377043448864,0.7964149117469788,0.5,0.5833333333333334,0.5384615384615384,60,0.8358974358974359,0.844559585492228,0.8402061855670103,193,0.7213114754098361,0.6567164179104478,73
comment_only,128,3e-05,0.3,cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr3em05__drop0p3__cross_entropy__ls0p0,stage1,42,2,6,8,2,training_fold_only,1.7359999418258667,0.5817694664001465,1.4183006286621094,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,19.883700847625732,326,0.7975460122699386,0.7164666758584204,0.7882602339354039,0.7087111002205342,0.6289696424923239,0.41509433962264153,0.8181818181818182,0.6715215417913426,0.6715215417913426,False,True,0.10429447852760736,0.058282208588957066,34,206,86,0.135536056171897,0.11505238564133279,0.9196557402610779,0.6470588235294118,0.41509433962264153,0.5057471264367817,53,0.8495145631067961,0.8928571428571429,0.8706467661691543,196,0.7325581395348837,0.7730061349693251,77
comment_only,128,3e-05,0.3,cross_entropy,0.0,0.06,0.01,indobenchmark/indobert-base-p2,indobert_base_p2__comment_only__len128__lr3em05__drop0p3__cross_entropy__ls0p0,stage1,42,3,4,8,2,training_fold_only,1.9233038425445557,0.558697521686554,1.448888897895813,94b4e0a82081fa57f227fcc2024d1ea89b57ac1f,14.317119598388672,325,0.7169230769230769,0.6682471721837021,0.7238897643648899,0.6773148148148147,0.5374408544144376,0.6,0.6375,0.6314840807379298,0.6314840807379298,False,False,0.24923076923076923,0.04923076923076922,81,165,79,0.11376278932277972,0.13143687026210105,0.8245019316673279,0.48148148148148145,0.6,0.5342465753424658,65,0.8666666666666667,0.7944444444444444,0.8289855072463768,180,0.6455696202531646,0.6415094339622641,80
