stage,trial_id,n_seeds,input_mode,max_length,learning_rate,classifier_dropout,loss,label_smoothing,model_id,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_macro_f1,std_macro_f1,min_macro_f1,max_macro_f1,mean_weighted_f1,std_weighted_f1,min_weighted_f1,max_weighted_f1,mean_balanced_accuracy,std_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy,mean_mcc,std_mcc,min_mcc,max_mcc,mean_min_class_recall,std_min_class_recall,min_min_class_recall,max_min_class_recall,mean_positive_recall,std_positive_recall,min_positive_recall,max_positive_recall,mean_selection_score,std_selection_score,min_selection_score,max_selection_score,mean_negative_prediction_share,std_negative_prediction_share,min_negative_prediction_share,max_negative_prediction_share,auto_disqualified_any_seed,selected_for_stage2
stage1,indobert_base_p2__comment_only__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,1,comment_only,128,3e-05,0.1,weighted_cross_entropy,0.0,indobenchmark/indobert-base-p2,0.7676560900716479,0.0,0.7676560900716479,0.7676560900716479,0.7209773567865442,0.0,0.7209773567865442,0.7209773567865442,0.7737573843955694,0.0,0.7737573843955694,0.7737573843955694,0.735833884957168,0.0,0.735833884957168,0.735833884957168,0.6100738337335004,0.0,0.6100738337335004,0.6100738337335004,0.6685393258426966,0.0,0.6685393258426966,0.6685393258426966,0.7217391304347827,0.0,0.7217391304347827,0.7217391304347827,0.696350455879974,0.0,0.696350455879974,0.696350455879974,0.2262026612077789,0.0,0.2262026612077789,0.2262026612077789,False,True
stage1,indobert_base_p2__comment_only__len128__lr1em05__drop0p2__weighted_cross_entropy__ls0p0,1,comment_only,128,1e-05,0.2,weighted_cross_entropy,0.0,indobenchmark/indobert-base-p2,0.7615148413510747,0.0,0.7615148413510747,0.7615148413510747,0.7084236447847218,0.0,0.7084236447847218,0.7084236447847218,0.7664224295002398,0.0,0.7664224295002398,0.7664224295002398,0.7242579693546131,0.0,0.7242579693546131,0.7242579693546131,0.6017763203837435,0.0,0.6017763203837435,0.6017763203837435,0.5730337078651685,0.0,0.5730337078651685,0.5730337078651685,0.7913043478260869,0.0,0.7913043478260869,0.7913043478260869,0.6850392195650938,0.0,0.6850392195650938,0.6850392195650938,0.1914022517911975,0.0,0.1914022517911975,0.1914022517911975,False,True
stage1,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p3__cross_entropy__ls0p0,1,context_sep_comment,128,3e-05,0.3,cross_entropy,0.0,indobenchmark/indobert-base-p2,0.7625383828045036,0.0,0.7625383828045036,0.7625383828045036,0.7087530854927738,0.0,0.7087530854927738,0.7087530854927738,0.7691613792952823,0.0,0.7691613792952823,0.7691613792952823,0.7221700123260382,0.0,0.7221700123260382,0.7221700123260382,0.6010331528544736,0.0,0.6010331528544736,0.6010331528544736,0.6292134831460674,0.0,0.6292134831460674,0.6292134831460674,0.7130434782608696,0.0,0.7130434782608696,0.7130434782608696,0.6812943677605614,0.0,0.6812943677605614,0.6812943677605614,0.2210849539406346,0.0,0.2210849539406346,0.2210849539406346,False,True
stage1,indobert_base_p2__context_sep_comment__len128__lr3em05__drop0p1__weighted_cross_entropy__ls0p0,1,context_sep_comment,128,3e-05,0.1,weighted_cross_entropy,0.0,indobenchmark/indobert-base-p2,0.7461617195496417,0.0,0.7461617195496417,0.7461617195496417,0.698220255797524,0.0,0.698220255797524,0.698220255797524,0.7561753080197746,0.0,0.7561753080197746,0.7561753080197746,0.7188076396824593,0.0,0.7188076396824593,0.7188076396824593,0.5840729822911652,0.0,0.5840729822911652,0.5840729822911652,0.651685393258427,0.0,0.651685393258427,0.651685393258427,0.717391304347826,0.0,0.717391304347826,0.717391304347826,0.677800778962526,0.0,0.677800778962526,0.677800778962526,0.2436028659160696,0.0,0.2436028659160696,0.2436028659160696,False,True
stage1,indobert_base_p2__context_sep_comment__len128__lr2em05__drop0p2__cross_entropy__ls0p025,1,context_sep_comment,128,2e-05,0.2,cross_entropy,0.025,indobenchmark/indobert-base-p2,0.7635619242579325,0.0,0.7635619242579325,0.7635619242579325,0.7046573315033013,0.0,0.7046573315033013,0.7046573315033013,0.7660187533322774,0.0,0.7660187533322774,0.7660187533322774,0.7090073375271054,0.0,0.7090073375271054,0.7090073375271054,0.5917815281915527,0.0,0.5917815281915527,0.5917815281915527,0.5842696629213483,0.0,0.5842696629213483,0.5842696629213483,0.6956521739130435,0.0,0.6956521739130435,0.6956521739130435,0.6664884777576123,0.0,0.6664884777576123,0.6664884777576123,0.1985670419651996,0.0,0.1985670419651996,0.1985670419651996,False,True
stage1,indobert_base_p2__comment_only__len128__lr2em05__drop0p3__weighted_cross_entropy__ls0p025,1,comment_only,128,2e-05,0.3,weighted_cross_entropy,0.025,indobenchmark/indobert-base-p2,0.7543500511770727,0.0,0.7543500511770727,0.7543500511770727,0.6958533179527654,0.0,0.6958533179527654,0.6958533179527654,0.7584239276164608,0.0,0.7584239276164608,0.7584239276164608,0.7076788613453783,0.0,0.7076788613453783,0.7076788613453783,0.5849778605594435,0.0,0.5849778605594435,0.5849778605594435,0.5449438202247191,0.0,0.5449438202247191,0.5449438202247191,0.7608695652173914,0.0,0.7608695652173914,0.7608695652173914,0.6660841842443259,0.0,0.6660841842443259,0.6660841842443259,0.1883316274309109,0.0,0.1883316274309109,0.1883316274309109,True,False
stage1,indobert_base_p2__comment_only__len128__lr2em05__drop0p1__focal_loss_gamma_1.0__ls0p0,1,comment_only,128,2e-05,0.1,focal_loss_gamma_1.0,0.0,indobenchmark/indobert-base-p2,0.7523029682702149,0.0,0.7523029682702149,0.7523029682702149,0.6983015583929881,0.0,0.6983015583929881,0.6983015583929881,0.7568567088954713,0.0,0.7568567088954713,0.7568567088954713,0.7064237919151836,0.0,0.7064237919151836,0.7064237919151836,0.577330011284754,0.0,0.577330011284754,0.577330011284754,0.601123595505618,0.0,0.601123595505618,0.601123595505618,0.6956521739130435,0.0,0.6956521739130435,0.6956521739130435,0.6634576640645445,0.0,0.6634576640645445,0.6634576640645445,0.2139201637666325,0.0,0.2139201637666325,0.2139201637666325,False,False
stage1,indobert_base_p2__comment_only__len128__lr2em05__drop0p1__cross_entropy__ls0p05,1,comment_only,128,2e-05,0.1,cross_entropy,0.05,indobenchmark/indobert-base-p2,0.7533265097236438,0.0,0.7533265097236438,0.7533265097236438,0.6973596025880523,0.0,0.6973596025880523,0.6973596025880523,0.7568589039420112,0.0,0.7568589039420112,0.7568589039420112,0.7035724905265225,0.0,0.7035724905265225,0.7035724905265225,0.5765698938725764,0.0,0.5765698938725764,0.5765698938725764,0.5898876404494382,0.0,0.5898876404494382,0.5898876404494382,0.691304347826087,0.0,0.691304347826087,0.691304347826087,0.6602135012543439,0.0,0.6602135012543439,0.6602135012543439,0.2067553735926305,0.0,0.2067553735926305,0.2067553735926305,False,False
stage1,indobert_base_p2__comment_only__len128__lr2em05__drop0p2__cross_entropy__ls0p025,1,comment_only,128,2e-05,0.2,cross_entropy,0.025,indobenchmark/indobert-base-p2,0.7584442169907881,0.0,0.7584442169907881,0.7584442169907881,0.6977461098291791,0.0,0.6977461098291791,0.6977461098291791,0.7582695424797994,0.0,0.7582695424797994,0.7582695424797994,0.7001341640745355,0.0,0.7001341640745355,0.7001341640745355,0.5798394682009114,0.0,0.5798394682009114,0.5798394682009114,0.5168539325842697,0.0,0.5168539325842697,0.5168539325842697,0.7434782608695653,0.0,0.7434782608695653,0.7434782608695653,0.6574032937799987,0.0,0.6574032937799987,0.6574032937799987,0.1750255885363357,0.0,0.1750255885363357,0.1750255885363357,True,False
stage1,indobert_base_p2__context_sep_comment__len128__lr1em05__drop0p1__cross_entropy__ls0p0,1,context_sep_comment,128,1e-05,0.1,cross_entropy,0.0,indobenchmark/indobert-base-p2,0.759467758444217,0.0,0.759467758444217,0.759467758444217,0.6956584096543529,0.0,0.6956584096543529,0.6956584096543529,0.7603638998458176,0.0,0.7603638998458176,0.7603638998458176,0.6993997817544299,0.0,0.6993997817544299,0.6993997817544299,0.583951933892251,0.0,0.583951933892251,0.583951933892251,0.5337078651685393,0.0,0.5337078651685393,0.5337078651685393,0.717391304347826,0.0,0.717391304347826,0.717391304347826,0.65622320889259,0.0,0.65622320889259,0.65622320889259,0.1740020470829068,0.0,0.1740020470829068,0.1740020470829068,True,False
