Id,Label,Source,Target,Type,Weight,edge_weight_raw,edge_visual_weight,edge_confidence_rank,edge_visual_opacity,edge_type,original_edge_type,is_ambiguous_assignment,is_ambiguous_association,raw_account_count,fractional_account_count,shared_video_count,shared_video_context_count,verified_direct_interaction_count,temporal_mass_comment_count,temporal_pair_count,hcc_account_count,hcc_comment_count
E000037,Ambiguous: HCC_132 -> MASS_HCC_132_Ambiguous_Community_Mass_Association_Mixed,HCC_132,MASS_HCC_132_Ambiguous_Community_Mass_Association_Mixed,Directed,2.3853756949354343,9.86314312622362,2.3853756949354343,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,69,9.86314312622362,70,70.0,0,0,0,0.0,0.0
E000038,Ambiguous: HCC_132 -> MASS_HCC_132_Ambiguous_Community_Mass_Association_Negative,HCC_132,MASS_HCC_132_Ambiguous_Community_Mass_Association_Negative,Directed,3.3466417603616008,27.407175177763413,3.3466417603616008,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,80,27.407175177763413,80,80.0,0,0,0,0.0,0.0
E000039,Ambiguous: HCC_132 -> MASS_HCC_132_Ambiguous_Community_Mass_Association_Neutral,HCC_132,MASS_HCC_132_Ambiguous_Community_Mass_Association_Neutral,Directed,4.643870006249813,102.94584124595734,4.643870006249813,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,364,102.94584124595734,366,366.0,0,0,0,0.0,0.0
E000040,Ambiguous: HCC_132 -> MASS_HCC_132_Ambiguous_Community_Mass_Association_Positive,HCC_132,MASS_HCC_132_Ambiguous_Community_Mass_Association_Positive,Directed,3.5871180773143956,35.12980244729471,3.5871180773143956,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,104,35.12980244729471,106,106.0,0,0,0,0.0,0.0
E000041,Observed: HCC_132 -> MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Negative,HCC_132,MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Negative,Directed,0.6931471805599453,1.0,0.6931471805599453,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,1,1.0,1,1.0,0,1,4,0.0,0.0
E000042,Observed: HCC_132 -> MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Neutral,HCC_132,MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Neutral,Directed,1.3862943611198906,3.0,1.3862943611198906,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,3,3.0,3,3.0,0,3,7,0.0,0.0
E000043,Observed: HCC_132 -> MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Positive,HCC_132,MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Positive,Directed,0.6931471805599453,1.0,0.6931471805599453,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,1,1.0,1,1.0,0,1,4,0.0,0.0
E000044,Ambiguous: HCC_134 -> MASS_HCC_134_Ambiguous_Community_Mass_Association_Mixed,HCC_134,MASS_HCC_134_Ambiguous_Community_Mass_Association_Mixed,Directed,3.440111689978585,30.19044163352987,3.440111689978585,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,207,30.19044163352987,212,212.0,0,0,0,0.0,0.0
E000045,Ambiguous: HCC_134 -> MASS_HCC_134_Ambiguous_Community_Mass_Association_Negative,HCC_134,MASS_HCC_134_Ambiguous_Community_Mass_Association_Negative,Directed,4.995161783028098,146.69683829242652,4.995161783028098,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,777,146.69683829242652,780,780.0,0,0,0,0.0,0.0
E000046,Ambiguous: HCC_134 -> MASS_HCC_134_Ambiguous_Community_Mass_Association_Neutral,HCC_134,MASS_HCC_134_Ambiguous_Community_Mass_Association_Neutral,Directed,7.009494926572977,1106.095199301043,7.009494926572977,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,5672,1106.095199301043,5684,5684.0,0,0,0,0.0,0.0
E000047,Ambiguous: HCC_134 -> MASS_HCC_134_Ambiguous_Community_Mass_Association_Positive,HCC_134,MASS_HCC_134_Ambiguous_Community_Mass_Association_Positive,Directed,5.822715576662909,336.8883706764512,5.822715576662909,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,1717,336.8883706764512,1721,1721.0,0,0,0,0.0,0.0
E000048,Observed: HCC_134 -> MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Mixed,HCC_134,MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Mixed,Directed,0.6931471805599453,1.0,0.6931471805599453,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,1,1.0,1,1.0,0,2,2,0.0,0.0
E000049,Observed: HCC_134 -> MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Negative,HCC_134,MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Negative,Directed,1.0986122886681098,2.0,1.0986122886681098,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,2,2.0,2,2.0,0,2,2,0.0,0.0
E000050,Observed: HCC_134 -> MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Neutral,HCC_134,MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Neutral,Directed,2.70805020110221,14.0,2.70805020110221,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,14,14.0,14,14.0,0,15,15,0.0,0.0
E000051,Observed: HCC_134 -> MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Positive,HCC_134,MASS_HCC_134_Observed_Community_Mass_Temporal_Association_Positive,Directed,1.0986122886681098,2.0,1.0986122886681098,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,2,2.0,2,2.0,0,2,2,0.0,0.0
