source,target,edge_type,is_ambiguous_association,weight,raw_account_count,fractional_account_weight,shared_video_count,verified_direct_interaction_count,temporal_mass_comment_count,temporal_pair_count,hcc_account_count,hcc_comment_count
HCC_117,MASS_HCC_117_Ambiguous_Community_Mass_Association_Negative,Ambiguous Community-Mass Association,True,10.068658139246375,55,10.068658139246375,0.0,0,0,0,0.0,0.0
HCC_117,MASS_HCC_117_Ambiguous_Community_Mass_Association_Neutral,Ambiguous Community-Mass Association,True,47.59265497144754,260,47.59265497144754,0.0,0,0,0,0.0,0.0
HCC_117,MASS_HCC_117_Ambiguous_Community_Mass_Association_Positive,Ambiguous Community-Mass Association,True,15.226188006180266,83,15.226188006180266,0.0,0,0,0,0.0,0.0
HCC_117,MASS_HCC_117_Observed_Community_Mass_Temporal_Association_Mixed,Observed Community-Mass Temporal Association,False,1.0,1,1.0,0.0,0,1,3,0.0,0.0
HCC_117,MASS_HCC_117_Observed_Community_Mass_Temporal_Association_Neutral,Observed Community-Mass Temporal Association,False,2.0,2,2.0,0.0,0,2,6,0.0,0.0
HCC_117,MASS_HCC_117_Verified_Community_Mass_Direct_Interaction_Mixed,Verified Community-Mass Direct Interaction,False,1.0,1,1.0,0.0,2,0,0,0.0,0.0
HCC_132,MASS_HCC_132_Ambiguous_Community_Mass_Association_Mixed,Ambiguous Community-Mass Association,True,9.61314312622362,67,9.61314312622362,0.0,0,0,0,0.0,0.0
HCC_132,MASS_HCC_132_Ambiguous_Community_Mass_Association_Negative,Ambiguous Community-Mass Association,True,27.857175177763413,82,27.857175177763413,0.0,0,0,0,0.0,0.0
HCC_132,MASS_HCC_132_Ambiguous_Community_Mass_Association_Neutral,Ambiguous Community-Mass Association,True,102.74584124595737,364,102.74584124595737,0.0,0,0,0,0.0,0.0
HCC_132,MASS_HCC_132_Ambiguous_Community_Mass_Association_Positive,Ambiguous Community-Mass Association,True,35.12980244729471,104,35.12980244729471,0.0,0,0,0,0.0,0.0
HCC_132,MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Negative,Observed Community-Mass Temporal Association,False,1.0,1,1.0,0.0,0,1,4,0.0,0.0
HCC_132,MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Neutral,Observed Community-Mass Temporal Association,False,3.0,3,3.0,0.0,0,3,7,0.0,0.0
HCC_132,MASS_HCC_132_Observed_Community_Mass_Temporal_Association_Positive,Observed Community-Mass Temporal Association,False,1.0,1,1.0,0.0,0,1,4,0.0,0.0
HCC_134,MASS_HCC_134_Ambiguous_Community_Mass_Association_Mixed,Ambiguous Community-Mass Association,True,29.241632109720346,202,29.241632109720346,0.0,0,0,0,0.0,0.0
