hcc_id,n_comments,evaluable_comments,coverage,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,dominant_sentiment,goal_orientation,goal_orientation_status,brand_label_auto,sensitivity_status
42,23,23,1.0,19,4,0,0.8260869565217391,0.17391304347826086,0.0,Positive,Promotional / Supportive,Assigned,Daviena,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
45,24,24,1.0,5,17,2,0.20833333333333334,0.7083333333333334,0.08333333333333333,Neutral,Neutral Engagement,Assigned,Mixed_3plus_Brands,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
46,21,21,1.0,4,14,3,0.19047619047619047,0.6666666666666666,0.14285714285714285,Neutral,Neutral Engagement,Assigned,The Originote,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
48,30,30,1.0,9,18,3,0.3,0.6,0.1,Neutral,Neutral Engagement,Assigned,Mixed_3plus_Brands,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
49,16,16,1.0,2,11,3,0.125,0.6875,0.1875,Neutral,Neutral Engagement,Assigned,Mixed_3plus_Brands,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
5,64,64,1.0,17,40,7,0.265625,0.625,0.109375,Neutral,Neutral Engagement,Assigned,The Originote,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
50,18,18,1.0,5,12,1,0.2777777777777778,0.6666666666666666,0.05555555555555555,Neutral,Neutral Engagement,Assigned,Maryame,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
52,40,40,1.0,15,22,3,0.375,0.55,0.075,Neutral,Neutral Engagement,Assigned,Daviena,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
54,66,66,1.0,12,47,7,0.18181818181818182,0.7121212121212122,0.10606060606060606,Neutral,Neutral Engagement,Assigned,Azarine,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
60,4,4,1.0,0,3,1,0.0,0.75,0.25,Neutral,Neutral Engagement,LOW_EVIDENCE_GOAL_ORIENTATION,Daviena,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
63,10,10,1.0,2,7,1,0.2,0.7,0.1,Neutral,Neutral Engagement,Assigned,Mixed_3plus_Brands,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
74,12,12,1.0,3,7,2,0.25,0.5833333333333334,0.16666666666666666,Neutral,Neutral Engagement,Assigned,Daviena,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
75,16,16,1.0,4,11,1,0.25,0.6875,0.0625,Neutral,Neutral Engagement,Assigned,Mixed_2_Brands,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
87,20,20,1.0,8,10,2,0.4,0.5,0.1,Neutral,Mixed Goals,Assigned,Mixed_2_Brands,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
90,12,12,1.0,1,11,0,0.08333333333333333,0.9166666666666666,0.0,Neutral,Neutral Engagement,Assigned,Mixed_3plus_Brands,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
99,28,28,1.0,27,1,0,0.9642857142857143,0.03571428571428571,0.0,Positive,Promotional / Supportive,Assigned,The Originote,EXPLORATORY_SENSITIVITY_ANALYSIS_NOT_CANONICAL
