brand_label_auto,n_comments,evaluable_comments,coverage,negative_count,negative_ratio,neutral_count,neutral_ratio,positive_count,positive_ratio
Azarine,102,102,1.0,7,0.06862745098039216,49,0.4803921568627451,46,0.45098039215686275
Daviena,206,206,1.0,19,0.09223300970873786,86,0.4174757281553398,101,0.49029126213592233
Maryame,163,163,1.0,15,0.09202453987730061,49,0.3006134969325153,99,0.6073619631901841
Mixed_2_Brands,51,51,1.0,4,0.0784313725490196,33,0.6470588235294118,14,0.27450980392156865
Mixed_3plus_Brands,177,177,1.0,13,0.07344632768361582,124,0.7005649717514124,40,0.22598870056497175
Not identified,18,18,1.0,6,0.3333333333333333,11,0.6111111111111112,1,0.05555555555555555
The Originote,228,228,1.0,16,0.07017543859649122,100,0.43859649122807015,112,0.49122807017543857
