actor_type,n_comments,evaluable_comments,coverage,negative_count,negative_ratio,neutral_count,neutral_ratio,positive_count,positive_ratio
Community Actor,945,945,1.0,80,0.08465608465608465,452,0.4783068783068783,413,0.43703703703703706
Mass Actor,1163,1163,1.0,176,0.15133276010318142,709,0.6096302665520207,278,0.23903697334479793
Not in LCN,30955,30951,0.9998707801647553,5671,0.1832250977351297,18377,0.593744951697845,6903,0.2230299505670253
