username_norm,username,is_hcc_member,n_comments,evaluable_comments,coverage,positive_count,neutral_count,negative_count,uncertain_count,no text_count,negative_ratio,neutral_ratio,positive_ratio,dominant_sentiment
2160997393,2160997393,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
2165365241,2165365241,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
2177032172,2177032172,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
2179207032,2179207032,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
220718la,220718la,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
234555isma,234555isma,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
234ghofur,234ghofur,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
23dwi23,23dwi23,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
23oktober312,23oktober312,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
24.lilis,24.lilis,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
240996ndy,240996ndy,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
2417.enccccaaaaaaaaa,2417.enccccaaaaaaaaa,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
2426isdar,2426isdar,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
25.yuli3,25.yuli3,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
25_13.3,25_13.3,False,1,1,1.0,1,0,0,0,0,0.0,0.0,1.0,Positive
25juni_,25juni_,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
25sa20sa,25sa20sa,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
26.mall,26.mall,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
2612ddbw,2612ddbw,False,1,1,1.0,1,0,0,0,0,0.0,0.0,1.0,Positive
26_aquarius96,26_aquarius96,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
26lofty,26lofty,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
26miftahuljannah3,26miftahuljannah3,False,1,0,0.0,0,0,0,1,0,,,,No evaluable sentiment
26novvvvvv,26novvvvvv,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
277.gallery_,277.gallery_,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
27sagitarian,27sagitarian,False,5,5,1.0,0,3,2,0,0,0.4,0.6,0.0,Neutral
27sap9,27sap9,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
28.0889,28.0889,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
2823oet,2823oet,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
28paintingcustom,28paintingcustom,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
28shareenat,28shareenat,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
291295irma,291295irma,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
2929flow___,2929flow___,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
29nonaaa,29nonaaa,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
2h_444,2h_444,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
2putrifashion,2putrifashion,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
2rt_maxxboy,2rt_maxxboy,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
2tasya2,2tasya2,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
30224380473,30224380473,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
30328941241,30328941241,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
30471651849,30471651849,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
30625419993,30625419993,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
30september97,30september97,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
31820808129,31820808129,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
31837319417,31837319417,False,3,3,1.0,1,0,2,0,0,0.6666666666666666,0.0,0.3333333333333333,Negative
31907469337,31907469337,False,2,2,1.0,0,2,0,0,0,0.0,1.0,0.0,Neutral
31925923665,31925923665,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
31_7leo,31_7leo,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
31miliksuami,31miliksuami,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
321izasri.com,321izasri.com,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
