group,n_accounts,mean_negative_ratio,median_negative_ratio,iqr_negative_ratio,mean_negative_ratio_ci_low,mean_negative_ratio_ci_high,mean_neutral_ratio,median_neutral_ratio,iqr_neutral_ratio,mean_neutral_ratio_ci_low,mean_neutral_ratio_ci_high,mean_positive_ratio,median_positive_ratio,iqr_positive_ratio,mean_positive_ratio_ci_low,mean_positive_ratio_ci_high,median_coverage,mean_coverage
HCC,207,0.09321946169772256,0.0,0.16666666666666666,0.07066942719116631,0.1152414021164021,0.5954911433172303,0.6666666666666666,0.8,0.5433008396595354,0.649781314699793,0.31128939498504715,0.0,0.775,0.25410570508396596,0.3618842017483322,1.0,0.9717966413618586
Non-HCC,25983,0.14953151754663857,0.0,0.0,0.14542150301975754,0.15345127637130354,0.7772202924231403,1.0,0.0,0.7725164487428114,0.7822998208689603,0.07324819003022118,0.0,0.0,0.07009001246751856,0.07625063336012483,1.0,0.9536847530626248
