hcc_id,community_size,n_accounts,n_comments,evaluable_comments,coverage,positive_count,neutral_count,negative_count,uncertain_count,no_text_count,positive_ratio,neutral_ratio,negative_ratio,soft_positive_share,soft_neutral_share,soft_negative_share,effective_sample_size,dominant_sentiment,goal_orientation,goal_orientation_status,goal_confidence,goal_stability,goal_method,goal_validation_status,small_sample_warning,primary_brand,brand_label_auto,brand_combo,brand_confidence,narrative_similarity_level,negative_ratio_ci_low,negative_ratio_ci_high,neutral_ratio_ci_low,neutral_ratio_ci_high,positive_ratio_ci_low,positive_ratio_ci_high
34,3,3,6,6,1.0,5,1,0,0,0,0.8333333333333334,0.16666666666666666,0.0,0.7043350397679202,0.1888295771910831,0.10683538304099673,4.55185604095459,Positive,Promotional / Supportive,Assigned,Low,0.6666666666666667,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,True,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low,0.0,0.3903430336530645,0.030052585871730285,0.563509436563646,0.4364905634363539,0.9699474141282696
40,5,5,0,0,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No evaluable sentiment,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,True,Daviena,Daviena,Daviena,High,Medium,,,,,,
43,4,4,0,0,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No evaluable sentiment,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,True,Maryame,Mixed_3plus_Brands,Maryame + Azarine + The Originote,Medium,Low,,,,,,
44,7,7,0,0,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No evaluable sentiment,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,True,The Originote,The Originote,The Originote + Daviena,Medium,Low,,,,,,
46,5,5,21,21,1.0,5,15,1,0,0,0.23809523809523808,0.7142857142857143,0.047619047619047616,0.21001237500190237,0.7106913087539047,0.07929631624419285,18.983739852905273,Neutral,Neutral Engagement,Assigned,High,0.4761904761904762,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,The Originote,Mixed_3plus_Brands,The Originote + Azarine + Maryame,Medium,Low,0.008455769471923294,0.22669816586235464,0.5004322617716241,0.8618632425437179,0.10627856389112264,0.4509158197234593
47,6,6,0,0,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No evaluable sentiment,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,True,Daviena,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,Low,,,,,,
48,6,6,30,30,1.0,9,19,2,0,0,0.3,0.6333333333333333,0.06666666666666667,0.3004950793505497,0.6012445990046724,0.09826032164477791,26.651647567749023,Neutral,Neutral Engagement,Assigned,High,0.3333333333333333,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,Maryame,Maryame,Maryame,High,Low,0.018476635327693364,0.21323817721072086,0.4551324643360493,0.7812629779598231,0.16664562643958936,0.47876121011660183
50,5,5,18,18,1.0,7,11,0,0,0,0.3888888888888889,0.6111111111111112,0.0,0.3553789144704221,0.5855379556876029,0.059083129841974974,16.469295501708984,Neutral,Neutral Engagement,Assigned,High,0.22222222222222227,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,Low,0.0,0.1758845505823749,0.3861866858065617,0.7969500807306884,0.2030499192693116,0.6138133141934383
52,11,11,40,40,1.0,20,18,2,0,0,0.5,0.45,0.05,0.42328841572758996,0.48155281742796513,0.09515876684444488,34.40110778808594,Positive,Mixed Goals,Assigned,Low,0.04999999999999999,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,False,Azarine,Azarine,Azarine + Daviena,High,Low,0.013820377146101093,0.165041708179252,0.30705075280944705,0.6017117011155924,0.3519927879709976,0.6480072120290024
53,5,5,0,0,,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No evaluable sentiment,Mixed Goals,LOW_EVIDENCE_GOAL_ORIENTATION,Low,0.0,hard_label_ratios_with_soft_probability_mass_and_bootstrap_stability_v5,INDOBERT_V5_ACCEPTED_AS_FINAL_RM2_SENTIMENT_MODEL,True,Daviena,Daviena,Daviena,High,Low,,,,,,
