brand_label_auto,n_comments,evaluable_comments,negative_count,negative_ratio,negative_ci_low,negative_ci_high,neutral_count,neutral_ratio,neutral_ci_low,neutral_ci_high,positive_count,positive_ratio,positive_ci_low,positive_ci_high,dominant_sentiment
Non-HCC,32118,32118,4875,0.15178404632916123,0.14790153212613225,0.15574985005364916,17469,0.543900616476742,0.5384485142204115,0.5493422181764509,9774,0.30431533719409676,0.29930687845418724,0.3093706016066072,Neutral
The Originote,228,228,11,0.04824561403508772,0.027149847138490064,0.08431246161024183,92,0.40350877192982454,0.3419351271996298,0.4682801232127206,125,0.5482456140350878,0.48337939613465364,0.6115129786591711,Positive
Daviena,206,206,13,0.06310679611650485,0.037246979711380905,0.1049631444965931,74,0.3592233009708738,0.2968342579510457,0.42676678207152363,119,0.5776699029126213,0.50940214048785,0.6430938374307323,Positive
Mixed_3plus_Brands,177,177,7,0.03954802259887006,0.019286649436886086,0.0793720662568481,111,0.6271186440677966,0.5538863694811078,0.6949501814009901,59,0.3333333333333333,0.2680757103020021,0.4056719229859138,Neutral
Maryame,163,163,9,0.05521472392638037,0.029317035586734753,0.10159515897385443,42,0.25766871165644173,0.19665017483988861,0.3298468139207083,112,0.6871165644171779,0.6123188323401395,0.7532974168447162,Positive
Azarine,102,102,3,0.029411764705882353,0.010052266068000587,0.08293196697458381,48,0.47058823529411764,0.3765574986256038,0.5667540159395579,51,0.5,0.40474278556489024,0.5952572144351098,Positive
Mixed_2_Brands,51,51,2,0.0392156862745098,0.01082085626875121,0.13216548986265267,30,0.5882352941176471,0.4516509274741746,0.7124580700751311,19,0.37254901960784315,0.25320329720990103,0.5097503729966575,Neutral
Not identified,18,18,5,0.2777777777777778,0.12499569146355476,0.5087307754619452,9,0.5,0.2903070395897999,0.7096929604102001,4,0.2222222222222222,0.09000781913382,0.4521502645230549,Neutral
