group,total_comments,evaluable_comments,coverage,uncertain_count,no_text_count,negative_count,negative_ratio_evaluable,negative_ratio_total,negative_ci_low,negative_ci_high,neutral_count,neutral_ratio_evaluable,neutral_ratio_total,neutral_ci_low,neutral_ci_high,positive_count,positive_ratio_evaluable,positive_ratio_total,positive_ci_low,positive_ci_high,negative_hcc_minus_nonhcc,neutral_hcc_minus_nonhcc,positive_hcc_minus_nonhcc
HCC,945,945,1.0,0,0,50,0.05291005291005291,0.05291005291005291,0.040361902340685804,0.06907849319003291,406,0.42962962962962964,0.42962962962962964,0.39841511911827554,0.46141396088833464,489,0.5174603174603175,0.5174603174603175,0.48559414959520764,0.5491851012302201,-0.09887399341910832,-0.1142709868471124,0.21314498026622075
Non-HCC,32118,32118,1.0,0,0,4875,0.15178404632916123,0.15178404632916123,0.14790153212613225,0.15574985005364916,17469,0.543900616476742,0.543900616476742,0.5384485142204115,0.5493422181764509,9774,0.30431533719409676,0.30431533719409676,0.29930687845418724,0.3093706016066072,-0.09887399341910832,-0.1142709868471124,0.21314498026622075
