group,n_accounts,mean_negative_ratio,median_negative_ratio,iqr_negative_ratio,mean_negative_ratio_ci_low,mean_negative_ratio_ci_high,mean_neutral_ratio,median_neutral_ratio,iqr_neutral_ratio,mean_neutral_ratio_ci_low,mean_neutral_ratio_ci_high,mean_positive_ratio,median_positive_ratio,iqr_positive_ratio,mean_positive_ratio_ci_low,mean_positive_ratio_ci_high,median_coverage,mean_coverage
HCC,207,0.05259949390384173,0.0,0.0,0.03651943869335173,0.06929807913503565,0.4365251897860593,0.5,0.6666666666666666,0.3922518403496664,0.48255894870025307,0.5108753163100989,0.375,0.6666666666666667,0.46064038417299286,0.558902260179434,1.0,1.0
Non-HCC,25983,0.15839949450240354,0.0,0.0,0.15454366622562551,0.16243778974842468,0.5457371454257323,1.0,1.0,0.5391579787812584,0.551795304571041,0.29586336007186403,0.0,1.0,0.29050924589223853,0.30153674710516526,1.0,1.0
